,Ensembl,Symbol,s22mo_AR_F-s06mo_AR_F_logFC,s22mo_AR_F-s06mo_AR_F_logCPM,s22mo_AR_F-s06mo_AR_F_LR,s22mo_AR_F-s06mo_AR_F_PValue,s22mo_AR_F-s06mo_AR_F_FDR,s22mo_AR_F-s06mo_AR_F_Status,Description
2153,ENSMUSG00000020900,Myh10,1.4203339013,5.1080895,140.8701833742315,0.000000000000000000000000000000017176,0.00000000000000000000000000024387,UP,"myosin, heavy polypeptide 10, non-muscle"
9888,ENSMUSG00000047205,Dusp18,1.9339510797,4.8604704,127.0682305449704,0.000000000000000000000000000017949521,0.00000000000000000000000012742365,UP,dual specificity phosphatase 18
1767,ENSMUSG00000020108,Ddit4,2.2305557967,5.4069431,115.3009182042273,0.000000000000000000000000006761750932,0.00000000000000000000003200111324,UP,DNA-damage-inducible transcript 4
1880,ENSMUSG00000020340,Cyfip2,1.8655757582,3.4104366,111.4306511199977,0.000000000000000000000000047617395451,0.00000000000000000000016901794515,UP,cytoplasmic FMR1 interacting protein 2
4793,ENSMUSG00000027894,Slc6a17,2.5451039948,2.0238331,91.0058501723173,0.000000000000000000001432479669515251,0.00000000000000000406766926955551,UP,"solute carrier family 6 (neurotransmitter transporter), member 17"
2639,ENSMUSG00000022096,Hr,1.3766997694,6.4640698,90.4836030921312,0.000000000000000000001865161979248445,0.00000000000000000441359496356157,UP,lysine demethylase and nuclear receptor corepressor
7471,ENSMUSG00000035513,Ntng2,1.2367802082,3.4369544,85.3931613917761,0.000000000000000000024456496601850469,0.00000000000000004340416734413412,UP,netrin G2
13462,ENSMUSG00000099906,Lincmd1,3.0705870909,1.0371979,85.5458731276104,0.000000000000000000022638826751584248,0.00000000000000004340416734413412,UP,long intergenic non-protein coding RNA of muscle differentiation 1
1401,ENSMUSG00000017765,Slc12a4,0.9285409604,4.8298910,83.9800063436081,0.000000000000000000049980389180128274,0.00000000000000007884684061994014,UP,"solute carrier family 12, member 4"
7529,ENSMUSG00000035783,Acta2,1.0017455864,4.7071649,80.2087415798870,0.000000000000000000336873570337164784,0.00000000000000047829309516470653,UP,"actin alpha 2, smooth muscle, aorta"
10943,ENSMUSG00000056501,Cebpb,1.1181245548,5.6568197,78.7577364514925,0.000000000000000000702132272331877478,0.00000000000000090626127296072694,UP,"CCAAT/enhancer binding protein (C/EBP), beta"
409,ENSMUSG00000002997,Prkar2b,1.9593238601,3.0561165,77.3042431921363,0.000000000000000001465508469031722797,0.00000000000000160056071102403078,UP,"protein kinase, cAMP dependent regulatory, type II beta"
9092,ENSMUSG00000041737,Tmem45b,3.0092668986,2.8158016,77.4528109492868,0.000000000000000001359316121717008959,0.00000000000000160056071102403078,UP,transmembrane protein 45b
12423,ENSMUSG00000078234,Klhdc7a,2.1348762840,2.0255451,75.4613100353160,0.000000000000000003726376068520528940,0.00000000000000377907767291817664,UP,kelch domain containing 7A
3694,ENSMUSG00000025172,Ankrd2,2.0249666831,7.0997503,74.8284682837240,0.000000000000000005134398191864112788,0.00000000000000485987903520577809,UP,ankyrin repeat domain 2 (stretch responsive muscle)
1015,ENSMUSG00000010492,Uckl1os,-0.8376682112,5.8869354,69.8109988712482,0.000000000000000065267924844702687555,0.00000000000005451023511441698025,DOWN,"uridine-cytidine kinase 1-like 1, opposite strand"
4641,ENSMUSG00000027513,Pck1,2.0688452011,4.6342546,69.8226321663783,0.000000000000000064884125205518680532,0.00000000000005451023511441698025,UP,"phosphoenolpyruvate carboxykinase 1, cytosolic"
5766,ENSMUSG00000030208,Emp1,1.0084386646,4.9111923,68.7867027121336,0.000000000000000109709942681489035065,0.00000000000008198219822062007620,UP,epithelial membrane protein 1
5860,ENSMUSG00000030470,Csrp3,1.9535643559,6.3313439,68.8368248339054,0.000000000000000106956758773928747960,0.00000000000008198219822062007620,UP,cysteine and glycine-rich protein 3
617,ENSMUSG00000004939,Nmrk2,1.4289884830,3.9548458,67.7333103715842,0.000000000000000187174482106363781332,0.00000000000013287516484730764507,UP,nicotinamide riboside kinase 2
3003,ENSMUSG00000022893,Adamts1,-1.2035278461,5.5557541,67.5798644108137,0.000000000000000202323306444675339057,0.00000000000013678982404292859588,DOWN,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1"
13110,ENSMUSG00000091971,Hspa1a,1.3530074424,3.6574800,66.3533248536535,0.000000000000000376922554399930028826,0.00000000000024325211033500939490,UP,heat shock protein 1A
6300,ENSMUSG00000031596,Slc7a2,-1.1748111908,6.8916717,64.1344567957495,0.000000000000001162112110940327404450,0.00000000000071737685874481602808,DOWN,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
4703,ENSMUSG00000027660,Skil,1.1346196337,3.5496578,63.8039769855499,0.000000000000001374358497219837021919,0.00000000000081304758098030193273,UP,SKI-like
7706,ENSMUSG00000036564,Ndrg4,1.7609176421,1.9269889,63.1301251050319,0.000000000000001934920586891252394398,0.00000000000109888009970727996226,UP,N-myc downstream regulated gene 4
3965,ENSMUSG00000025900,Rp1,3.1352627884,0.2750530,62.8211724752808,0.000000000000002263524717405777355743,0.00000000000123605861298950885878,UP,retinitis pigmentosa 1 (human)
12270,ENSMUSG00000074264,Amy1,0.9369612390,5.7547527,61.8202222978384,0.000000000000003762899918492251416684,0.00000000000197872789047233295818,UP,"amylase 1, salivary"
1071,ENSMUSG00000012705,Retn,1.6678010192,2.7704406,60.0759760381370,0.000000000000009126553392799315664296,0.00000000000462781446682016723693,UP,resistin
3619,ENSMUSG00000024990,Rbp4,1.8012758490,2.2319779,59.7790477939690,0.000000000000010612718310720254975378,0.00000000000519584050260711020514,UP,"retinol binding protein 4, plasma"
5588,ENSMUSG00000029638,Glcci1,2.3277398899,1.2419058,59.3227926828279,0.000000000000013381758557888060995167,0.00000000000633314026682982316050,UP,glucocorticoid induced transcript 1
927,ENSMUSG00000008845,Cd163,1.0907093271,3.6352851,59.1894588742948,0.000000000000014319887871946427952218,0.00000000000655850864535146439339,UP,CD163 antigen
11663,ENSMUSG00000064215,Ifi27,0.7475639007,4.6895633,58.9662963324139,0.000000000000016039592630926431442223,0.00000000000711656675543417109154,UP,"interferon, alpha-inducible protein 27"
7005,ENSMUSG00000033576,Apol6,1.0755788998,5.3234532,58.8476873401383,0.000000000000017036189149301345928184,0.00000000000732969131944789506589,UP,apolipoprotein L 6
10802,ENSMUSG00000055044,Pdlim1,1.1892784596,4.7444735,57.5431019105497,0.000000000000033065350487590314592947,0.00000000001380770135949433039568,UP,PDZ and LIM domain 1 (elfin)
2994,ENSMUSG00000022878,Adipoq,1.8293829309,4.5541230,55.5967341037299,0.000000000000088971320611629028335124,0.00000000003526301986259697808986,UP,"adiponectin, C1Q and collagen domain containing"
12410,ENSMUSG00000076609,Igkc,7.3608694606,4.1468245,55.5870258161239,0.000000000000089411798496512965593514,0.00000000003526301986259697808986,UP,immunoglobulin kappa constant
745,ENSMUSG00000006221,Hspb7,1.1974667207,8.7827765,55.2419518354194,0.000000000000106569763207404600862042,0.00000000004089398643293866263748,UP,"heat shock protein family, member 7 (cardiovascular)"
2898,ENSMUSG00000022665,Ccdc80,1.0265931355,4.7427710,54.6673475581299,0.000000000000142758592981471471527980,0.00000000005333911850397189366492,UP,coiled-coil domain containing 80
2761,ENSMUSG00000022371,Col14a1,1.0444447490,3.0217717,54.1821466969871,0.000000000000182739663001858231348115,0.00000000006652660859744572018835,UP,"collagen, type XIV, alpha 1"
3682,ENSMUSG00000025153,Fasn,2.2806873368,6.0525104,53.5719526387914,0.000000000000249293137777264675587942,0.00000000008848659925404009489348,UP,fatty acid synthase
851,ENSMUSG00000007480,Mc5r,-1.4789748718,2.3107101,53.2489471211137,0.000000000000293844922876349843654936,0.00000000010175634670727842077975,DOWN,melanocortin 5 receptor
10040,ENSMUSG00000048355,Arxes1,4.2244331460,-0.5929548,53.1841205884423,0.000000000000303703989776624439085281,0.00000000010266641063925032277663,UP,adipocyte-related X-chromosome expressed sequence 1
476,ENSMUSG00000003528,Slc25a1,1.5020170928,2.6381964,52.3586648307712,0.000000000000462354034661889551734154,0.00000000014919324054839790830871,UP,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1"
10051,ENSMUSG00000048416,Mlf1,-0.9068164806,6.7757110,52.3621707321627,0.000000000000461529349819219618337732,0.00000000014919324054839790830871,DOWN,myeloid leukemia factor 1
2690,ENSMUSG00000022206,Npr3,1.2099442946,4.0292038,52.2053683850073,0.000000000000499892871966098965297464,0.00000000015772175547054829370960,UP,natriuretic peptide receptor 3
820,ENSMUSG00000006800,Sulf2,0.9833690950,3.5219946,51.7983559341126,0.000000000000615032871254499326464869,0.00000000018983123274068222509121,UP,sulfatase 2
5460,ENSMUSG00000029368,Alb,3.3054296696,1.2003555,51.6386474823641,0.000000000000667152944949558323616460,0.00000000020153696834880486531406,UP,albumin
11056,ENSMUSG00000057604,Lmcd1,0.8798716467,6.9191790,50.8232450330392,0.000000000001010696259191232099499522,0.00000000029285439771422682571050,UP,LIM and cysteine-rich domains 1
12426,ENSMUSG00000078307,AI593442,3.4410535069,-0.0922404,50.8484382804980,0.000000000000997806362412261791298838,0.00000000029285439771422682571050,UP,expressed sequence AI593442
4892,ENSMUSG00000028116,Myoz2,1.1177129481,6.6950835,50.5540165966753,0.000000000001159296859348163908599074,0.00000000032919393618050458742589,UP,myozenin 2
6739,ENSMUSG00000032554,Trf,1.3798398262,5.1446019,49.6829896738275,0.000000000001807058732913879104319183,0.00000000050307097823355396451309,UP,transferrin
7645,ENSMUSG00000036304,Zdhhc23,1.7276027065,4.0283421,49.5952380874367,0.000000000001889718217064138593333238,0.00000000050623055180899321890534,UP,"zinc finger, DHHC domain containing 23"
8805,ENSMUSG00000040485,Lrrc52,2.4415725562,2.4966305,49.6192844501342,0.000000000001866697987909202939236082,0.00000000050623055180899321890534,UP,leucine rich repeat containing 52
7782,ENSMUSG00000036887,C1qa,1.5332573435,3.3540728,49.4165355028551,0.000000000002069935410023459354047174,0.00000000054423968428727917837956,UP,"complement component 1, q subcomponent, alpha polypeptide"
10355,ENSMUSG00000050947,Amigo1,-0.6771509416,5.2562678,48.4888902044037,0.000000000003321653246034191146738727,0.00000000084215772834274006059281,DOWN,adhesion molecule with Ig like domain 1
12191,ENSMUSG00000073535,Gm5532,1.7291627926,1.9376843,48.5206784657605,0.000000000003268244888016362055335568,0.00000000084215772834274006059281,UP,predicted gene 5532
3225,ENSMUSG00000024066,Xdh,0.7136229877,5.9084547,48.4087266989654,0.000000000003460249164605909997701674,0.00000000086190557261534583804664,UP,xanthine dehydrogenase
3472,ENSMUSG00000024659,Anxa1,0.8804445815,3.7692307,48.2863346897817,0.000000000003683099729447509199376804,0.00000000088631610099484298160791,UP,annexin A1
8742,ENSMUSG00000040265,Dnm3,-1.0455104990,3.1362080,48.3134535666575,0.000000000003632514538159487143403543,0.00000000088631610099484298160791,DOWN,dynamin 3
2276,ENSMUSG00000021203,Otub2,0.8327106631,4.0335393,48.2122412550544,0.000000000003824930504028539851832266,0.00000000089452584937581822830173,UP,"OTU domain, ubiquitin aldehyde binding 2"
8139,ENSMUSG00000038168,P3h2,1.2917450559,2.3770511,48.2028860366449,0.000000000003843222764609445701058857,0.00000000089452584937581822830173,UP,prolyl 3-hydroxylase 2
7505,ENSMUSG00000035686,Thrsp,1.5030062207,3.1915534,48.1462343215996,0.000000000003955879344432727460411369,0.00000000090589636987509459570435,UP,thyroid hormone responsive
3075,ENSMUSG00000023064,Sncg,1.4232813167,3.5710393,47.8627616255809,0.000000000004571219312452418526215988,0.00000000102719303785505050982720,UP,"synuclein, gamma"
6579,ENSMUSG00000032232,Cgnl1,0.9325380651,3.3911832,47.8376036686036,0.000000000004630254572666800768368573,0.00000000102719303785505050982720,UP,cingulin-like 1
1522,ENSMUSG00000018822,Sfrp5,1.3268332634,3.3007890,47.0690981560870,0.000000000006852765072802048710296731,0.00000000147417512884308326381009,UP,secreted frizzled-related sequence protein 5
7337,ENSMUSG00000034903,Cobll1,1.3019330891,3.3820088,47.0862448548060,0.000000000006793075563823448825525499,0.00000000147417512884308326381009,UP,Cobl-like 1
1107,ENSMUSG00000013936,Myl2,1.5425488396,7.4482610,46.3817312625547,0.000000000009731865270451624526409938,0.00000000205938459749155348665868,UP,"myosin, light polypeptide 2, regulatory, cardiac, slow"
1580,ENSMUSG00000019326,Aoc3,1.5857045472,4.2638706,46.3554592710405,0.000000000009863230921920385877517302,0.00000000205938459749155348665868,UP,"amine oxidase, copper containing 3"
7855,ENSMUSG00000037139,Myom3,1.3794746619,6.3775434,46.2586141298262,0.000000000010362993199132812079643644,0.00000000213237358610561859677401,UP,"myomesin family, member 3"
2610,ENSMUSG00000022018,Rgcc,0.6889176342,5.2837340,46.1305397083409,0.000000000011063044016353600998110942,0.00000000224390141348840588051466,UP,regulator of cell cycle
13165,ENSMUSG00000094410,Zbed6,-0.6845326548,5.1057440,45.8757320995861,0.000000000012599717398551474741621231,0.00000000251958855809343448552811,DOWN,"zinc finger, BED type containing 6"
5995,ENSMUSG00000030787,Lyve1,1.3616289725,2.7703493,45.8319470830252,0.000000000012884505630697636916138387,0.00000000253974637506234390509980,UP,lymphatic vessel endothelial hyaluronan receptor 1
11498,ENSMUSG00000062515,Fabp4,0.7287457932,7.7937259,45.8057030613913,0.000000000013058281826986274528684518,0.00000000253974637506234390509980,UP,"fatty acid binding protein 4, adipocyte"
5320,ENSMUSG00000029053,Prkcz,1.5077166001,1.7791276,45.6639517683192,0.000000000014038261316715000544812439,0.00000000269344911046918346618523,UP,"protein kinase C, zeta"
11782,ENSMUSG00000067242,Lgi1,1.8883921254,1.8072523,45.5367786109910,0.000000000014979943489464322600364108,0.00000000283580316884552627683049,UP,"leucine-rich repeat LGI family, member 1"
3476,ENSMUSG00000024664,Fads3,1.2355883107,3.4140094,45.3195561932768,0.000000000016736952689596811595225595,0.00000000312672703009073077457687,UP,fatty acid desaturase 3
3932,ENSMUSG00000025813,Homer2,0.9506621816,4.9975269,45.1350366998211,0.000000000018390552520302352920511147,0.00000000339102681406821826498085,UP,homer scaffolding protein 2
5871,ENSMUSG00000030513,Pcsk6,0.7454057928,4.5217782,45.0529237079737,0.000000000019178071759264434462084625,0.00000000348349360341767479567508,UP,proprotein convertase subtilisin/kexin type 6
11435,ENSMUSG00000061780,Cfd,1.1133818112,5.8536484,45.0321368516485,0.000000000019382729586561227059796043,0.00000000348349360341767479567508,UP,complement factor D (adipsin)
4207,ENSMUSG00000026483,Niban1,0.7523537075,4.1784320,44.7833875876674,0.000000000022008200825743991949770070,0.00000000390590544154891489002141,UP,niban apoptosis regulator 1
6213,ENSMUSG00000031400,G6pdx,1.3182539557,2.6033336,44.4830180081111,0.000000000025657312206155785538361286,0.00000000449731504571604733429709,UP,glucose-6-phosphate dehydrogenase X-linked
5796,ENSMUSG00000030278,Cidec,1.6816264398,4.8251661,44.0196741506107,0.000000000032509175030169837404496767,0.00000000562884472046769961069855,UP,cell death-inducing DFFA-like effector c
2226,ENSMUSG00000021069,Pygl,1.4312880666,2.0116549,43.9830916104208,0.000000000033122482436916078175908709,0.00000000566593982697993323294923,UP,liver glycogen phosphorylase
6530,ENSMUSG00000032085,Tagln,0.7226878182,4.5474338,43.9004717887282,0.000000000034550557918351901923856121,0.00000000583986692053286059749460,UP,transgelin
10004,ENSMUSG00000048096,Lmod1,-0.8090914922,4.1488679,43.8411123646579,0.000000000035614473673788424669077722,0.00000000594887408494644734751786,DOWN,leiomodin 1 (smooth muscle)
3657,ENSMUSG00000025085,Ablim1,0.9998382119,5.8261265,43.6669934783885,0.000000000038928214647482711723301220,0.00000000642677664610418133023931,UP,actin-binding LIM protein 1
11864,ENSMUSG00000068614,Actc1,-2.9627877364,7.1041294,43.6264282862807,0.000000000039743543468190133108363423,0.00000000648596356507314413377151,DOWN,"actin, alpha, cardiac muscle 1"
4002,ENSMUSG00000025993,Slc40a1,-0.8550402569,5.3062434,43.3882945703232,0.000000000044886522966669360418437880,0.00000000724203242137240481060196,DOWN,"solute carrier family 40 (iron-regulated transporter), member 1"
3864,ENSMUSG00000025584,Pde8a,0.7725827141,4.4433921,42.6587884215731,0.000000000065170964304441272128009374,0.00000001039659945162311456870143,UP,phosphodiesterase 8A
3982,ENSMUSG00000025938,Slco5a1,0.7446175393,5.2957073,42.6092072727775,0.000000000066844000278249955549935881,0.00000001054501239945103176893852,UP,"solute carrier organic anion transporter family, member 5A1"
6193,ENSMUSG00000031373,Car5b,1.6853303755,1.6628708,42.4637500042069,0.000000000072004433007088876551379887,0.00000001123427406411700882330876,UP,"carbonic anhydrase 5b, mitochondrial"
5253,ENSMUSG00000028927,Padi2,0.8700142799,7.3935064,42.3894879090269,0.000000000074790945334481082617669834,0.00000001154219393324959243715860,UP,"peptidyl arginine deiminase, type II"
7881,ENSMUSG00000037242,Clic4,0.7761976312,5.5206060,42.2050868557779,0.000000000082185964427867933980545082,0.00000001254705723598783736957614,UP,chloride intracellular channel 4 (mitochondrial)
3022,ENSMUSG00000022951,Rcan1,0.8708442735,6.0693535,42.0911903503903,0.000000000087114760211673468445769639,0.00000001301953016300357873393301,UP,regulator of calcineurin 1
7352,ENSMUSG00000034957,Cebpa,1.2327206024,3.8200460,42.1095241325575,0.000000000086301846554974699631505564,0.00000001301953016300357873393301,UP,"CCAAT/enhancer binding protein (C/EBP), alpha"
12547,ENSMUSG00000079243,Xirp1,0.9721446055,7.7237014,41.8793795367205,0.000000000097081056819660407895820400,0.00000001435788379922436062220916,UP,xin actin-binding repeat containing 1
1652,ENSMUSG00000019841,Rev3l,-0.6477836515,4.9690185,41.7879090474015,0.000000000101730570245184941382919802,0.00000001489041893135191622637845,DOWN,"REV3 like, DNA directed polymerase zeta catalytic subunit"
6578,ENSMUSG00000032231,Anxa2,0.7143453304,4.7397089,41.6934939745642,0.000000000106763671712309415026119279,0.00000001546765929562621520327787,UP,annexin A2
861,ENSMUSG00000007659,Bcl2l1,0.8450915657,3.9623650,41.3068206269366,0.000000000130114092850866736053578341,0.00000001866020091208693104564473,UP,BCL2-like 1
2494,ENSMUSG00000021750,Fam107a,1.5582474361,2.2913377,41.1683325342557,0.000000000139667121391118400123928198,0.00000001938679695864500101731372,UP,"family with sequence similarity 107, member A"
4243,ENSMUSG00000026576,Atp1b1,1.0484638870,7.3155868,41.1547320469162,0.000000000140642350101453383450657065,0.00000001938679695864500101731372,UP,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
5181,ENSMUSG00000028776,Tinagl1,0.7462439543,4.6299143,41.2106546697214,0.000000000136675490345959975039709773,0.00000001938679695864500101731372,UP,tubulointerstitial nephritis antigen-like 1
8212,ENSMUSG00000038370,Pcp4l1,0.9147900648,5.2047889,41.1775523534955,0.000000000139009863104807504374984036,0.00000001938679695864500101731372,UP,Purkinje cell protein 4-like 1
7028,ENSMUSG00000033685,Ucp2,0.8535261126,4.0027539,41.0939846519527,0.000000000145082163744110553183057662,0.00000001980650539268155371961885,UP,"uncoupling protein 2 (mitochondrial, proton carrier)"
7786,ENSMUSG00000036896,C1qc,1.2349481437,3.2846531,40.9974867268290,0.000000000152425104325010172666530021,0.00000002061077744006184954509778,UP,"complement component 1, q subcomponent, C chain"
6145,ENSMUSG00000031239,Itm2a,-0.7225808912,6.4079752,40.8719512750904,0.000000000162537269613473081402090414,0.00000002177079390539708450815008,DOWN,integral membrane protein 2A
8521,ENSMUSG00000039384,Dusp10,-1.2317196345,4.0895222,40.4217667571068,0.000000000204648412824950197519498966,0.00000002715512304008077201702191,DOWN,dual specificity phosphatase 10
4453,ENSMUSG00000027075,Slc43a1,-1.0715371484,4.3854831,40.1341715954791,0.000000000237104888376710993330370868,0.00000003117051115900502613979749,DOWN,"solute carrier family 43, member 1"
5988,ENSMUSG00000030772,Dkk3,1.2895530602,4.0400938,40.0877762801766,0.000000000242803584662668792040318520,0.00000003133932086400519425212511,UP,dickkopf WNT signaling pathway inhibitor 3
7837,ENSMUSG00000037071,Scd1,2.1499198593,8.6704951,40.0914030867708,0.000000000242353208984790817156238287,0.00000003133932086400519425212511,UP,stearoyl-Coenzyme A desaturase 1
6194,ENSMUSG00000031375,Bgn,0.6443367459,5.2880023,39.9925190263823,0.000000000254937357873114152282551927,0.00000003260901447822049728534220,UP,biglycan
5887,ENSMUSG00000030546,Plin1,1.6763746813,4.3232872,39.9336524031971,0.000000000262737317771427331649729048,0.00000003330664676534575955349450,UP,perilipin 1
8224,ENSMUSG00000038400,Pmepa1,0.8949337601,4.2913876,39.8671134763022,0.000000000271841906420998035120886480,0.00000003415585298553389591236435,UP,"prostate transmembrane protein, androgen induced 1"
2700,ENSMUSG00000022225,Cma1,1.4783560317,2.1320447,39.6755819016605,0.000000000299851156052267499732257795,0.00000003734462029500082241883870,UP,"chymase 1, mast cell"
