,Ensembl,Symbol,s22mo_AR_M-s22mo_C_M_logFC,s22mo_AR_M-s22mo_C_M_logCPM,s22mo_AR_M-s22mo_C_M_LR,s22mo_AR_M-s22mo_C_M_PValue,s22mo_AR_M-s22mo_C_M_FDR,s22mo_AR_M-s22mo_C_M_Status,Description
1789,ENSMUSG00000020108,Ddit4,-2.223526203,6.1876657,53.709360067562,0.00000000000023245,0.000000003358,DOWN,DNA-damage-inducible transcript 4
12233,ENSMUSG00000071637,Cebpd,-1.244083476,5.2380188,40.804877570513,0.00000000016821272,0.000001215000,DOWN,"CCAAT/enhancer binding protein (C/EBP), delta"
6446,ENSMUSG00000031765,Mt1,-0.909017559,3.7869392,30.704163814748,0.00000003005194760,0.000144710145,DOWN,metallothionein 1
6445,ENSMUSG00000031762,Mt2,-1.041604064,3.3088580,28.549656910490,0.00000009132600883,0.000263859105,DOWN,metallothionein 2
7660,ENSMUSG00000035963,Odf3l2,-0.739520109,5.7165402,28.901697113964,0.00000007614616681,0.000263859105,DOWN,outer dense fiber of sperm tails 3-like 2
4289,ENSMUSG00000026577,Blzf1,0.544242800,4.2913044,27.161840553333,0.00000018711567748,0.000450512179,UP,basic leucine zipper nuclear factor 1
9703,ENSMUSG00000044786,Zfp36,-0.930513736,3.9091119,23.597566271356,0.00000118737597597,0.002450404764,DOWN,zinc finger protein 36
3237,ENSMUSG00000024014,Pim1,0.558230492,3.7688701,21.890867223739,0.00000288604185032,0.005211470071,UP,proviral integration site 1
6477,ENSMUSG00000031824,6430548M08Rik,-0.549355954,5.1481087,20.995967128114,0.00000460251162179,0.007387542543,DOWN,RIKEN cDNA 6430548M08 gene
8477,ENSMUSG00000038894,Irs2,-0.496106897,5.4337052,20.585484297967,0.00000570268738420,0.007843464793,DOWN,insulin receptor substrate 2
10867,ENSMUSG00000054364,Rhob,-0.549710100,5.5991483,20.497006982681,0.00000597245692382,0.007843464793,DOWN,ras homolog family member B
10507,ENSMUSG00000051149,Adnp,0.980278838,2.2732261,20.020465953222,0.00000766177392454,0.009223498843,UP,activity-dependent neuroprotective protein
2399,ENSMUSG00000021453,Gadd45g,-1.108862639,5.8575205,18.913202710320,0.00001368026086868,0.014794489354,DOWN,growth arrest and DNA-damage-inducible 45 gamma
10190,ENSMUSG00000048489,Depp1,-1.125360355,3.5572369,18.823661911977,0.00001433773023379,0.014794489354,DOWN,DEPP1 autophagy regulator
403,ENSMUSG00000002910,Arrdc2,-0.546036960,6.9735550,18.082553139580,0.00002115308365800,0.019098590408,DOWN,arrestin domain containing 2
1734,ENSMUSG00000019997,Ccn2,-0.549905259,4.6010395,18.129857936107,0.00002063404431430,0.019098590408,DOWN,cellular communication network factor 2
6792,ENSMUSG00000032515,Csrnp1,-0.874431250,2.0587539,17.261504369186,0.00003257193619750,0.027678481783,DOWN,cysteine-serine-rich nuclear protein 1
13570,ENSMUSG00000097654,Gm26714,-0.954364269,1.6956260,17.099744787275,0.00003546707060531,0.028464294554,DOWN,"predicted gene, 26714"
11066,ENSMUSG00000056313,Tcim,-0.585741634,3.8760401,16.220778179810,0.00005637241490217,0.042860837141,DOWN,transcriptional and immune response regulator
13307,ENSMUSG00000091971,Hspa1a,-0.747922860,3.8361576,15.766221634203,0.00007167074202875,0.051767776967,NA,heat shock protein 1A
2640,ENSMUSG00000022018,Rgcc,-0.520739538,5.3730316,15.575333098492,0.00007928217546967,0.054538586040,NA,regulator of cell cycle
876,ENSMUSG00000007659,Bcl2l1,-0.513838690,4.6740713,15.348984715215,0.00008936894003412,0.056381026648,NA,BCL2-like 1
1940,ENSMUSG00000020423,Btg2,-0.501558529,4.0485042,15.340603501515,0.00008976627529440,0.056381026648,NA,BTG anti-proliferation factor 2
13259,ENSMUSG00000090877,Hspa1b,-0.558403414,3.0936972,15.136916206991,0.00009998882575376,0.060184940702,NA,heat shock protein 1B
1297,ENSMUSG00000015944,Castor2,0.335792123,6.5289242,14.166641452168,0.00016731063324786,0.092361744435,NA,cytosolic arginine sensor for mTORC1 subunit 2
9741,ENSMUSG00000045092,S1pr1,-0.418343300,5.0291192,14.039396228675,0.00017902041009190,0.092361744435,NA,sphingosine-1-phosphate receptor 1
12355,ENSMUSG00000073535,Gm5532,-0.551400196,3.0884368,14.105506915914,0.00017283703338658,0.092361744435,NA,predicted gene 5532
13255,ENSMUSG00000090799,Klhl33,0.362083485,7.1244570,14.067829836780,0.00017633414429977,0.092361744435,NA,kelch-like 33
9996,ENSMUSG00000047061,Gm9817,-0.474310473,5.3256916,13.688362132762,0.00021578758572998,0.107491981498,NA,predicted gene 9817
5797,ENSMUSG00000030103,Bhlhe40,0.412260509,6.6211585,13.536627958837,0.00023395235974337,0.112655859628,NA,"basic helix-loop-helix family, member e40"
1363,ENSMUSG00000017009,Sdc4,-0.453101223,4.4585129,13.403165322231,0.00025120003701185,0.113401116709,NA,syndecan 4
