,Ensembl,Symbol,s28mo_C_F-s06mo_C_F_logFC,s28mo_C_F-s06mo_C_F_logCPM,s28mo_C_F-s06mo_C_F_LR,s28mo_C_F-s06mo_C_F_PValue,s28mo_C_F-s06mo_C_F_FDR,s28mo_C_F-s06mo_C_F_Status,Description
9211,ENSMUSG00000042045,Sln,3.6339384124,3.91930508,167.1930564184985,0,0,UP,sarcolipin
9145,ENSMUSG00000041737,Tmem45b,3.6566235023,2.5016473,153.6183876984748,0,0,UP,transmembrane protein 45b
12494,ENSMUSG00000076609,Igkc,6.831425383,3.19955503,123.4149475641724,0,0,UP,immunoglobulin kappa constant
3645,ENSMUSG00000024990,Rbp4,3.3466642555,2.0360234,114.656078424028,0,0,UP,"retinol binding protein 4, plasma"
11419,ENSMUSG00000060716,Plekhh1,2.4717255903,3.04190342,110.0055664187167,0,0,UP,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1"
1778,ENSMUSG00000020108,Ddit4,3.0044866286,5.7058857,105.7912411441822,0,0,UP,DNA-damage-inducible transcript 4
1080,ENSMUSG00000012705,Retn,3.9028960582,3.19816311,101.9277578933855,0,0,UP,resistin
3087,ENSMUSG00000023043,Krt18,3.6371166627,3.62895743,95.3200825430791,0,0,UP,keratin 18
6774,ENSMUSG00000032554,Trf,3.0458584777,5.44451697,91.7325830548399,0,0,UP,transferrin
2249,ENSMUSG00000021091,Serpina3n,3.1032651229,2.00883111,83.9433707069571,0,7e-17,UP,"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
5412,ENSMUSG00000029167,Ppargc1a,2.0177263072,6.32710938,78.9474986094709,0,7e-16,UP,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"
7397,ENSMUSG00000034957,Cebpa,2.2378170072,3.88795899,78.9908417904082,0,7e-16,UP,"CCAAT/enhancer binding protein (C/EBP), alpha"
12064,ENSMUSG00000070498,Tmem132b,3.9253297541,2.13669462,78.9590686468031,0,7e-16,UP,transmembrane protein 132B
414,ENSMUSG00000002997,Prkar2b,3.0082245718,3.0261402,78.1788419668939,0,9.6e-16,UP,"protein kinase, cAMP dependent regulatory, type II beta"
6909,ENSMUSG00000033022,Cdo1,3.8406348351,3.76594308,77.2838186975537,0,1.41e-15,UP,"cysteine dioxygenase 1, cytosolic"
3847,ENSMUSG00000025479,Cyp2e1,4.4775609146,4.97268782,74.1850344630809,0,5.74e-15,UP,"cytochrome P450, family 2, subfamily e, polypeptide 1"
6469,ENSMUSG00000031880,Rrad,1.9730476355,3.95797904,74.3658123340968,0,5.74e-15,UP,Ras-related associated with diabetes
11585,ENSMUSG00000062609,Kcnj15,4.1740451823,1.27200012,74.1613397336485,0,5.74e-15,UP,"potassium inwardly-rectifying channel, subfamily J, member 15"
4958,ENSMUSG00000028195,Ccn1,1.615163883,5.3300981,72.487584026936,1e-17,1.269e-14,UP,cellular communication network factor 1
6388,ENSMUSG00000031722,Hp,3.0135520933,2.14639504,71.4681424802308,2e-17,2.022e-14,UP,haptoglobin
11865,ENSMUSG00000067235,H2-Q10,4.6680499399,1.72793713,70.8140474138658,3e-17,2.561e-14,UP,"histocompatibility 2, Q region locus 10"
12403,ENSMUSG00000074771,Ankef1,3.6925210971,0.84350744,70.8409809086133,3e-17,2.561e-14,UP,ankyrin repeat and EF-hand domain containing 1
7711,ENSMUSG00000036395,Glb1l2,2.2105574471,2.13415165,70.4364068716059,4e-17,2.966e-14,UP,"galactosidase, beta 1-like 2"
5492,ENSMUSG00000029368,Alb,7.7012325636,3.2620423,70.062446987308,5e-17,3.436e-14,UP,albumin
