,Ensembl,Symbol,s22mo_C_M-s06mo_C_M_logFC,s22mo_C_M-s06mo_C_M_logCPM,s22mo_C_M-s06mo_C_M_LR,s22mo_C_M-s06mo_C_M_PValue,s22mo_C_M-s06mo_C_M_FDR,s22mo_C_M-s06mo_C_M_Status,Description
12520,ENSMUSG00000076612,Ighg2c, 2.751070685, 0.954652101,68.802461458591,0.00000000000000010884,0.0000000000015640,UP,immunoglobulin heavy constant gamma 2C
11880,ENSMUSG00000067149,Jchain, 6.111412056, 1.903174598,66.190790307714,0.00000000000000040932,0.0000000000019606,UP,immunoglobulin joining chain
12519,ENSMUSG00000076609,Igkc, 6.681377221, 3.963433643,66.969082626401,0.00000000000000027580,0.0000000000019606,UP,immunoglobulin kappa constant
11026,ENSMUSG00000056501,Cebpb, 1.161313251, 5.772057240,62.733755125967,0.00000000000000236625,0.0000000000085008,UP,CCAAT/enhancer binding protein (C/EBP), beta
1775,ENSMUSG00000020108,Ddit4, 2.650454416, 6.112669644,61.292523885832,0.00000000000000491945,0.0000000000141385,UP,DNA-damage-inducible transcript 4
9477,ENSMUSG00000043415,Otud1, 1.188921513, 4.209976747,59.547433492450,0.00000000000001193817,0.0000000000285919,UP,OTU domain containing 1
10369,ENSMUSG00000050332,Amer1,-1.069308038, 4.424241739,56.114567191417,0.00000000000006836868,0.0000000001403511,DOWN,APC membrane recruitment 1
4790,ENSMUSG00000027827,Kcnab1, 1.459004597, 3.061566905,53.924348508207,0.00000000000020835957,0.0000000003742659,UP,potassium voltage-gated channel, shaker-related subfamily, beta member 1
7668,ENSMUSG00000036181,H1f2,-0.996481395, 7.702840962,51.298723448039,0.00000000000079327204,0.0000000012665910,DOWN,H1.2 linker histone, cluster member
13201,ENSMUSG00000090942,F830016B08Rik, 1.355968965, 4.640557281,50.979181339150,0.00000000000093350828,0.0000000013414514,UP,RIKEN cDNA F830016B08 gene
12915,ENSMUSG00000085779,Atcayos,-0.895879974, 7.063917734,47.204309667870,0.00000000000639596596,0.0000000083554574,DOWN,ataxia, cerebellar, Cayman type, opposite strand
10609,ENSMUSG00000052477,C130026I21Rik, 5.179636218,-0.975697943,46.213635115231,0.00000000001060364657,0.0000000120052265,UP,RIKEN cDNA C130026I21 gene
12841,ENSMUSG00000084939,Gm830, 2.334077926, 1.154082084,46.166709575082,0.00000000001086067815,0.0000000120052265,UP,predicted gene 830
5351,ENSMUSG00000029053,Prkcz, 1.703688473, 1.793328120,45.784528707129,0.00000000001320019729,0.0000000135490596,UP,protein kinase C, zeta
1709,ENSMUSG00000019970,Sgk1, 1.134957149, 6.951307644,44.272917996371,0.00000000002856406503,0.0000000273643743,UP,serum/glucocorticoid regulated kinase 1
1826,ENSMUSG00000020218,Wif1,-2.400008391, 1.436947667,43.536664232516,0.00000000004160900742,0.0000000360825549,DOWN,Wnt inhibitory factor 1
7888,ENSMUSG00000037071,Scd1, 2.170599457, 7.589816446,43.486639338661,0.00000000004268639057,0.0000000360825549,UP,stearoyl-Coenzyme A desaturase 1
2169,ENSMUSG00000020900,Myh10, 0.882539983, 4.977455110,42.367684768855,0.00000000007562937191,0.0000000603774486,UP,myosin, heavy polypeptide 10, non-muscle
8273,ENSMUSG00000038400,Pmepa1, 1.005071926, 4.957591055,41.901936673390,0.00000000009596753936,0.0000000699855811,UP,prostate transmembrane protein, androgen induced 1
10539,ENSMUSG00000051855,Mest, 1.675707780, 3.631277985,41.872863381846,0.00000000009740512337,0.0000000699855811,UP,mesoderm specific transcript
12430,ENSMUSG00000074794,Arrdc3, 1.511697733, 5.694333462,40.849332255383,0.00000000016442943051,0.0000001125167103,UP,arrestin domain containing 3
9651,ENSMUSG00000044786,Zfp36, 1.397585804, 3.756723506,40.535210345333,0.00000000019310466126,0.0000001209496999,UP,zinc finger protein 36
10548,ENSMUSG00000051980,Casr, 1.356346025, 2.954809056,40.530337371554,0.00000000019358685446,0.0000001209496999,UP,calcium-sensing receptor
6353,ENSMUSG00000031637,Lrp2bp, 1.124922285, 3.179918622,39.905306764933,0.00000000026657795107,0.0000001569121015,UP,Lrp2 binding protein
12174,ENSMUSG00000071637,Cebpd, 1.412739583, 5.181626962,39.858913480069,0.00000000027298556287,0.0000001569121015,UP,CCAAT/enhancer binding protein (C/EBP), delta
5921,ENSMUSG00000030546,Plin1, 2.066680918, 4.323179224,39.357791021379,0.00000000035284221121,0.0000001877904657,UP,perilipin 1
9539,ENSMUSG00000044006,Cilp2,-2.039031366, 3.100494187,39.376575259907,0.00000000034946418537,0.0000001877904657,DOWN,cartilage intermediate layer protein 2
4665,ENSMUSG00000027513,Pck1, 2.459217992, 4.705152862,39.114958780436,0.00000000039957075699,0.0000002050654206,UP,phosphoenolpyruvate carboxykinase 1, cytosolic
6022,ENSMUSG00000030772,Dkk3, 1.721252850, 6.022071276,38.376883924324,0.00000000058319120279,0.0000002889812960,UP,dickkopf WNT signaling pathway inhibitor 3
411,ENSMUSG00000002997,Prkar2b, 1.987347197, 2.930133101,38.013656905698,0.00000000070251168080,0.0000003365030951,UP,protein kinase, cAMP dependent regulatory, type II beta
12278,ENSMUSG00000073418,C4b, 1.317797082, 4.631361230,37.281582593222,0.00000000102245656707,0.0000004739580925,UP,complement component 4B (Chido blood group)
12376,ENSMUSG00000074264,Amy1, 0.813459300, 6.293066576,36.160747543689,0.00000000181693648134,0.0000008159180387,UP,amylase 1, salivary
14126,ENSMUSG00000112734,Gm47644, 1.813777561, 1.088801808,35.974369589435,0.00000000199930153224,0.0000008706049399,UP,predicted gene, 47644
7768,ENSMUSG00000036594,H2-Aa, 1.171183730, 3.916947053,34.796241042169,0.00000000366079589893,0.0000015472246196,UP,histocompatibility 2, class II antigen A, alpha
10579,ENSMUSG00000052276,Ostn, 1.183437040, 6.358424386,33.830499748652,0.00000000601287702399,0.0000024687155096,UP,osteocrin
4819,ENSMUSG00000027894,Slc6a17, 1.404781075, 2.250804601,33.420742963237,0.00000000742280400264,0.0000029629359311,UP,solute carrier family 6 (neurotransmitter transporter), member 17
12537,ENSMUSG00000078307,AI593442, 2.225055957, 0.437589865,33.196541700104,0.00000000832985460248,0.0000032351354226,UP,expressed sequence AI593442
8898,ENSMUSG00000040640,Erc2, 1.907262317, 0.723124019,32.842155087580,0.00000000999536247222,0.0000037798252296,UP,ELKS/RAB6-interacting/CAST family member 2
9833,ENSMUSG00000046275,Trarg1, 1.686446035, 3.454248170,32.705581342740,0.00000001072288783275,0.0000039509717476,UP,trafficking regulator of GLUT4 (SLC2A4) 1
8844,ENSMUSG00000040435,Ppp1r15a,-0.922051659, 5.689232621,31.952096642202,0.00000001580217217544,0.0000056769303540,DOWN,protein phosphatase 1, regulatory subunit 15A
622,ENSMUSG00000004939,Nmrk2, 1.270548922, 5.316517862,31.426522570951,0.00000002071320552097,0.0000072597259350,UP,nicotinamide riboside kinase 2
2618,ENSMUSG00000022003,Slc25a30, 1.873215063, 3.386104735,31.017585566455,0.00000002557011340361,0.0000087486316574,UP,solute carrier family 25, member 30
4287,ENSMUSG00000026623,Lpgat1, 0.654376938, 5.540468353,30.741761343852,0.00000002947526334296,0.0000098502217265,UP,lysophosphatidylglycerol acyltransferase 1
1953,ENSMUSG00000020467,Efemp1, 0.947816213, 3.150728087,30.582344664961,0.00000003199924284945,0.0000103163759886,UP,epidermal growth factor-containing fibulin-like extracellular matrix protein 1
2163,ENSMUSG00000020889,Nr1d1,-0.957974131, 7.057831391,30.563835569326,0.00000003230597908750,0.0000103163759886,DOWN,nuclear receptor subfamily 1, group D, member 1
