,Ensembl,Symbol,s28mo_AR_F-s22mo_AR_F_logFC,s28mo_AR_F-s22mo_AR_F_logCPM,s28mo_AR_F-s22mo_AR_F_LR,s28mo_AR_F-s22mo_AR_F_PValue,s28mo_AR_F-s22mo_AR_F_FDR,s28mo_AR_F-s22mo_AR_F_Status,Description
9229,ENSMUSG00000042045,Sln, 2.2173723815, 3.0470731,109.5268273021013,0.00000000000000000000000012441,0.000000000000000000001786,UP,sarcolipin
2657,ENSMUSG00000022096,Hr,-1.3958335993, 6.4936691, 96.6660675320153,0.00000000000000000000008206370,0.000000000000000000589053,DOWN,lysine demethylase and nuclear receptor corepressor
3553,ENSMUSG00000024803,Ankrd1, 1.2412872271, 4.8684400, 69.1912406145085,0.00000000000000008936405706733,0.000000000000427636801086,UP,ankyrin repeat domain 1 (cardiac muscle)
7631,ENSMUSG00000035963,Odf3l2,-1.1109620269, 4.6629463, 50.0203075825704,0.00000000000152163003824669415,0.000000005461130207267385,DOWN,outer dense fiber of sperm tails 3-like 2
2162,ENSMUSG00000020889,Nr1d1, 1.2206906686, 6.1495846, 45.9433906252894,0.00000000001217198900412246415,0.000000034948214828636416,UP,nuclear receptor subfamily 1, group D, member 1
3021,ENSMUSG00000022893,Adamts1, 0.7607959388, 5.2995521, 39.7260348456150,0.00000000029220421012556061141,0.000000699147273427091341,UP,a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1
12253,ENSMUSG00000072949,Acot1, 1.2543192289, 3.3743284, 35.9078458833289,0.00000000206873991086766846188,0.000004242690022916606185,UP,acyl-CoA thioesterase 1
5495,ENSMUSG00000029361,Nos1,-0.6509025915, 6.5986614, 34.2920962290065,0.00000000474304111354670766179,0.000007565677580675170628,DOWN,nitric oxide synthase 1, neuronal
7272,ENSMUSG00000034457,Eda2r, 1.4255692606, 5.9084964, 34.3219172702780,0.00000000467091810037358666326,0.000007565677580675170628,UP,ectodysplasin A2 receptor
5891,ENSMUSG00000030433,Sbk2, 0.6388750105, 5.2478451, 30.5962028114783,0.00000003177149453842265282339,0.000045611157559359555682,UP,SH3-binding domain kinase family, member 2
6943,ENSMUSG00000033083,Tbc1d4, 0.6294484437, 5.7777392, 30.1255516377900,0.00000004049602746039180098208,0.000052850997292853148614,UP,TBC1 domain family, member 4
