,Ensembl,Symbol,s28mo_C_F-s06mo_C_F_logFC,s28mo_C_F-s06mo_C_F_logCPM,s28mo_C_F-s06mo_C_F_LR,s28mo_C_F-s06mo_C_F_PValue,s28mo_C_F-s06mo_C_F_FDR,s28mo_C_F-s06mo_C_F_Status,Description
9211,ENSMUSG00000042045,Sln, 3.6339384124, 3.91930508,167.1930564184990,0.000000000000000000000000000000000000030357,0.00000000000000000000000000000000043578,UP,sarcolipin
9145,ENSMUSG00000041737,Tmem45b, 3.6566235023, 2.50164730,153.6183876984751,0.000000000000000000000000000000000028062536,0.00000000000000000000000000000020141885,UP,transmembrane protein 45b
12494,ENSMUSG00000076609,Igkc, 6.8314253830, 3.19955503,123.4149475641727,0.000000000000000000000000000113133294478501,0.00000000000000000000000054134281407963,UP,immunoglobulin kappa constant
3645,ENSMUSG00000024990,Rbp4, 3.3466642555, 2.03602340,114.6560784240284,0.000000000000000000000000009360129821827864,0.00000000000000000000003359116589808475,UP,retinol binding protein 4, plasma
11419,ENSMUSG00000060716,Plekhh1, 2.4717255903, 3.04190342,110.0055664187170,0.000000000000000000000000097715959524851959,0.00000000000000000000028054251979584998,UP,pleckstrin homology domain containing, family H (with MyTH4 domain) member 1
1778,ENSMUSG00000020108,Ddit4, 3.0044866286, 5.70588570,105.7912411441837,0.000000000000000000000000819269224552640139,0.00000000000000000000196010161974219150,UP,DNA-damage-inducible transcript 4
1080,ENSMUSG00000012705,Retn, 3.9028960582, 3.19816311,101.9277578933858,0.000000000000000000000005758394170897911942,0.00000000000000000001180882118903421893,UP,resistin
3087,ENSMUSG00000023043,Krt18, 3.6371166627, 3.62895743, 95.3200825430794,0.000000000000000000000161961761373353705731,0.00000000000000000029062013556431157968,UP,keratin 18
6774,ENSMUSG00000032554,Trf, 3.0458584777, 5.44451697, 91.7325830548407,0.000000000000000000000992177011604032056865,0.00000000000000000158252233350843118016,UP,transferrin
2249,ENSMUSG00000021091,Serpina3n, 3.1032651229, 2.00883111, 83.9433707069574,0.000000000000000000050915214435964304240305,0.00000000000000007308879032282675999483,UP,serine (or cysteine) peptidase inhibitor, clade A, member 3N
5412,ENSMUSG00000029167,Ppargc1a, 2.0177263072, 6.32710938, 78.9474986094716,0.000000000000000000637826437246809145971452,0.00000000000000070430757743676505034748,UP,peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
7397,ENSMUSG00000034957,Cebpa, 2.2378170072, 3.88795899, 78.9908417904088,0.000000000000000000623985249861092196546899,0.00000000000000070430757743676505034748,UP,CCAAT/enhancer binding protein (C/EBP), alpha
12064,ENSMUSG00000070498,Tmem132b, 3.9253297541, 2.13669462, 78.9590686468033,0.000000000000000000634101897228063165963695,0.00000000000000070430757743676505034748,UP,transmembrane protein 132B
414,ENSMUSG00000002997,Prkar2b, 3.0082245718, 3.02614020, 78.1788419668941,0.000000000000000000941212794225461327296444,0.00000000000000096507926150760689716018,UP,protein kinase, cAMP dependent regulatory, type II beta
6909,ENSMUSG00000033022,Cdo1, 3.8406348351, 3.76594308, 77.2838186975541,0.000000000000000001480742147370623852118860,0.00000000000000141707023503368704939632,UP,cysteine dioxygenase 1, cytosolic
3847,ENSMUSG00000025479,Cyp2e1, 4.4775609146, 4.97268782, 74.1850344630810,0.000000000000000007112748340034701781868924,0.00000000000000574091335470110752995513,UP,cytochrome P450, family 2, subfamily e, polypeptide 1
6469,ENSMUSG00000031880,Rrad, 1.9730476355, 3.95797904, 74.3658123340970,0.000000000000000006490331408135402000277917,0.00000000000000574091335470110752995513,UP,Ras-related associated with diabetes
11585,ENSMUSG00000062609,Kcnj15, 4.1740451823, 1.27200012, 74.1613397336487,0.000000000000000007198637435361890437542958,0.00000000000000574091335470110752995513,UP,potassium inwardly-rectifying channel, subfamily J, member 15
4958,ENSMUSG00000028195,Ccn1, 1.6151638830, 5.33009810, 72.4875840269363,0.000000000000000016808613178256005114372236,0.00000000000001269934958809815499958029,UP,cellular communication network factor 1
6388,ENSMUSG00000031722,Hp, 3.0135520933, 2.14639504, 71.4681424802309,0.000000000000000028177100579297479781790445,0.00000000000002022411394079076567272732,UP,haptoglobin
11865,ENSMUSG00000067235,H2-Q10, 4.6680499399, 1.72793713, 70.8140474138662,0.000000000000000039253214919882575048293070,0.00000000000002561272273522338065350102,UP,histocompatibility 2, Q region locus 10
12403,ENSMUSG00000074771,Ankef1, 3.6925210971, 0.84350744, 70.8409809086136,0.000000000000000038720976933241835020753010,0.00000000000002561272273522338065350102,UP,ankyrin repeat and EF-hand domain containing 1
7711,ENSMUSG00000036395,Glb1l2, 2.2105574471, 2.13415165, 70.4364068716064,0.000000000000000047534527052548453042082747,0.00000000000002966774503649274043381076,UP,galactosidase, beta 1-like 2
5492,ENSMUSG00000029368,Alb, 7.7012325636, 3.26204230, 70.0624469873081,0.000000000000000057456437535440427965051031,0.00000000000003436613170088530572237340,UP,albumin
5918,ENSMUSG00000030546,Plin1, 2.7468215381, 4.04727853, 69.5650981197741,0.000000000000000073933648647357064118256369,0.00000000000004245270105331242966057370,UP,perilipin 1
6409,ENSMUSG00000031762,Mt2, 2.2283517014, 3.03641664, 68.5420401843963,0.000000000000000124201391652118762629212896,0.00000000000006857349912177557391358664,UP,metallothionein 2
12341,ENSMUSG00000074207,Adh1, 1.3502222097, 4.19836335, 68.1384757387580,0.000000000000000152407602439735546302452484,0.00000000000008103004196379272491911481,UP,alcohol dehydrogenase 1 (class I)
