"","logFC","logCPM","LR","PValue","FDR"
"Ppp1r15a",-1.66519693939159,5.55898059531162,115.61321511124,5.77653170485134e-27,9.13500723805192e-23
"Nrep",1.54871688699242,6.02738448492301,114.0359576268,1.27966790084053e-26,1.01183340919461e-22
"Tfrc",1.80672666478689,6.74876351571267,109.811680947317,1.07756526605552e-25,5.68020570580065e-22
"Acot2",-2.30795207678355,6.11751851376452,93.2805619938543,4.53827351731316e-22,1.62595509524666e-18
"Map2k6",1.44938808007831,5.72362892617597,93.0338045509831,5.1408723132878e-22,1.62595509524666e-18
"Fkbp5",-2.34058232421028,6.77468067533116,85.861316311035,1.93007731990019e-20,5.08704045615027e-17
"Cish",3.53717145091038,4.00169712910476,80.5705423639538,2.80510118442916e-19,6.33712430436611e-16
"Dbp",1.40993144853369,6.40606229431117,72.4380072547927,1.72362214105369e-17,3.40717006732787e-14
"Angptl4",-2.00400310953356,3.98938105883594,69.450479752529,7.83573330109811e-17,1.37682540470628e-13
"Ucp3",-1.41495969101972,7.78940264648243,61.8666739445173,3.67517150284059e-15,5.8119162145921e-12
"Lrrc38",1.23885464063317,5.11916221248406,61.5293285174954,4.36197168147981e-15,6.27092910644743e-12
"Acot1",-2.88507526266925,3.96667655053566,59.3700714110137,1.30640894185342e-14,1.65204701206107e-11
"Gm30794",1.47414855691933,3.3276440378856,59.2937442333377,1.35807582880953e-14,1.65204701206107e-11
"Tmem140",-1.57293803142618,2.69991138458307,58.8842703539635,1.67223705101691e-14,1.88891119462724e-11
"Arrdc2",-2.05873820671518,5.79546061885052,58.6690639048677,1.86551779059303e-14,1.96675322269587e-11
"Angptl2",1.083907353875,5.71318435981352,57.1237492403659,4.09233876776661e-14,4.04476532959132e-11
"Mrtfa",1.13294025501017,4.96124270556721,55.3882389528429,9.89265782503241e-14,9.20249946147427e-11
"Pdk4",-2.02132489597813,9.87107674916226,53.3237052635434,2.82872356334398e-13,2.48519080170676e-10
"Cdc14a",1.24749690181323,4.19531883097683,52.2643270067516,4.85107219013199e-13,4.03762397972354e-10
"Gm40451",1.9141748310532,2.89159016540035,51.6265431621162,6.7127879619126e-13,5.30780144148429e-10
"Arntl",-1.31984834525631,4.03360106619846,50.59323406067,1.13636118228983e-12,8.55734082701496e-10
"Map3k6",-1.31041090431789,3.60841288860547,50.029468156506,1.51454285432101e-12,1.08868094082875e-09
"Mt1",-1.4253089522169,3.59620080524747,49.5810044215294,1.90347811608123e-12,1.30876534468298e-09
"Foxo6",1.91043523146434,2.71095443993211,48.9691380167264,2.60021748805750e-12,1.71332663983922e-09
"Igfbp5",1.71177151138095,8.45098953092694,48.7362483976299,2.92804401059917e-12,1.79388785929991e-09
"Tnfrsf12a",-1.46927491255917,4.6569095024006,48.7220262709995,2.94935401174894e-12,1.79388785929991e-09
"2410006H16Rik",-1.18097453114898,3.31396927714453,47.8671635006696,4.56096764638817e-12,2.67137564296231e-09
"6430571L13Rik",1.11328269558962,5.00710902210278,47.3719914407438,5.87156789930227e-12,3.31617766998451e-09
"Rbp7",-1.29778877726095,3.18852773394063,46.6864840358596,8.33015693225497e-12,4.54252074919586e-09
"Sec14l5",0.972169060258825,5.46815983668018,45.8781909474706,1.25839126054375e-11,6.63339979807964e-09
"Ccnd1",1.27649075177923,2.46587158040185,45.7491261659751,1.34409297852984e-11,6.85660850402288e-09
"Amer1",-1.00986685090523,4.52989753976809,45.457432528658,1.55992455126218e-11,7.70895214176876e-09
"Hmgcs2",-2.12314627682167,2.58836169122547,45.0632847615987,1.90768707088157e-11,9.14186767846097e-09
"Nmrk2",1.52939797117871,6.23804444355867,44.5208852064677,2.51658224260939e-11,1.1705068113125e-08
"Trim63",-1.44478874988641,8.58507048167328,43.618755746395,3.98996669637138e-11,1.76003109040244e-08
"Retreg1",-1.332119852341,8.45400934505797,43.6105913922445,4.0066472274243e-11,1.76003109040244e-08
"Fbxo21",-0.881683568934323,5.01728305935192,43.4481453301337,4.35344067086353e-11,1.86068407483881e-08
"Eif4ebp1",-0.977267172864572,6.07068157618409,43.068412642135,5.28588051954592e-11,2.19976090884471e-08
"Mindy1",-0.847899447808447,5.32087136220509,42.9310287759253,5.67041187663534e-11,2.29927931838747e-08
"Cdkn1a",-1.64196590757754,4.16518089211754,42.7284671810471,6.28903676032743e-11,2.48637068319545e-08
"Zfyve1",-0.930723648611962,5.80380425829828,42.3251215875605,7.72933203511956e-11,2.98125992203368e-08
"Zcchc2",-0.950955181623378,4.7731171373121,41.3191834306063,1.292937791198e-10,4.77750207837497e-08
"Fbp2",-1.20068969162762,6.20173681502698,41.2774035657139,1.3208702294724e-10,4.77750207837497e-08
"Atcayos",-0.852114101515931,5.43567394808835,41.2650186816607,1.32926578631908e-10,4.77750207837497e-08
"Lrrc49",-1.54762288563257,2.63266517348082,40.1289472509329,2.3773984138471e-10,8.35470633701734e-08
"Kcng4",1.11765660263154,5.7611353643681,40.0093552622025,2.52749454209975e-10,8.68908667147075e-08
"Igf1",1.1299120846641,3.32813494251584,38.3896765014561,5.79380768736217e-10,1.94943137804139e-07
"Fam78a",1.06679110320351,5.05041146217149,38.1739530434983,6.47104777631972e-10,2.13194061530667e-07
"Fbxo32",-1.31477075035454,9.21791622170256,36.7626599863256,1.33421372612514e-09,4.30597058468223e-07
"Dnah6",-3.34447516083491,-1.4704410748322,36.4078939768372,1.60053664942596e-09,5.06217731480442e-07
"Fsd1l",1.0816340293415,3.4425579369106,35.9219514213293,2.05381738984553e-09,6.36844474568965e-07
"Sphk2",-0.777549210186864,4.4082345029125,35.8177176389494,2.16668524696002e-09,6.58922317219727e-07
"Pde4a",1.0269661141404,5.8891317091676,35.6507109217487,2.36061720191398e-09,7.04354725114484e-07
"Tmx2",0.828926881263305,4.71766897697867,35.4503097619766,2.61640773064921e-09,7.66219849120124e-07
"Eln",-0.816921737590275,5.00014645709573,34.8392704912977,3.58077475750534e-09,1.02957040027617e-06
"Hif3a",-1.90234385298485,1.91682676228574,34.6156407188355,4.01665967628709e-09,1.13427600215722e-06
"Stk11ip",-0.811787827107377,4.308216956026,34.0391050287658,5.40155091035068e-09,1.49859870344361e-06
"Ptprs",0.836409231585594,5.31383234730204,33.9521803510271,5.64833536190735e-09,1.54004785195177e-06
"Tet1",1.72512571267809,0.362712745993171,33.0662915982693,8.90695850110571e-09,2.37578048389898e-06
"Hlf",0.99421155595274,4.28385359762266,33.0430725963469,9.01396414783981e-09,2.37578048389898e-06
"Foxo1",-1.67327439362063,5.40327379963575,32.4851500189242,1.20106795277518e-08,3.11371944347324e-06
"Slc25a25",-1.26472425072863,4.87031485722471,32.3290581288102,1.30152360805614e-08,3.31972489319351e-06
"Mt2",-1.85935702708926,3.03955822508579,32.0157404232695,1.52928412304466e-08,3.83874589235368e-06
"Mdga1",1.05191315958102,4.04296114178098,31.8411145723748,1.67313313638027e-08,4.13420740917462e-06
"2310065F04Rik",0.979561767851611,6.74301863988314,31.5565086908703,1.93719977771762e-08,4.67556332878164e-06
"Apln",1.72259449358388,0.289856335778859,31.5423717322614,1.95135436764632e-08,4.67556332878164e-06
"Pik3cd",0.940966250521182,4.00416216713444,31.4495663329866,2.04688322879751e-08,4.83125542988118e-06
"Eda2r",-1.25465858607125,5.52543518816253,30.6523503570004,3.08652487634793e-08,7.17798594037738e-06
"Scd2",0.810342754827678,4.46249308406516,30.106295872566,4.09001236875664e-08,9.35147498509089e-06
"Gucd1",-0.833956446064889,6.594474170686,30.0830234839696,4.13939072313369e-08,9.35147498509089e-06
"Col15a1",0.750610769133605,5.03799757889946,29.5399006942145,5.47773328813469e-08,1.22006865096566e-05
"Pknox2",0.748154961947004,4.78124324101402,29.4761256485307,5.66097609009753e-08,1.24337049845559e-05
"Plin4",-1.17384504963067,9.0659125731622,28.5829192748615,8.97705769142481e-08,1.94470123742729e-05
"Socs2",1.35063126047288,3.51518073847254,28.5522058751882,9.12058632537474e-08,1.94909394796589e-05
"Gm26800",1.6288324805501,-0.156963886446198,28.5212050108459,9.26779037844248e-08,1.95414449392919e-05
"Klhl38",-0.856075678134175,6.80434356330629,28.3215210025295,1.02747314862401e-07,2.13795531215002e-05
"Fgfr3",-1.02144228304362,2.8045879892183,28.2340513136129,1.07496716413426e-07,2.20773126410639e-05
"Gbp10",-0.92058632138842,5.39966531139914,27.9664085172332,1.23439773147891e-07,2.50266227251377e-05
"Nfil3",-0.878113938389343,4.50311197704,27.7817642977312,1.35800112337533e-07,2.71840883101994e-05
"Lingo3",0.858705930750579,4.1244353745906,27.6191405331361,1.47709860267909e-07,2.91985466284589e-05
