"","logFC","logCPM","LR","PValue","FDR"
"Sln",-1.06848766730908,4.45764700416519,25.9648545875101,3.47689739632897e-07,0.00530539773705837
"Gdf6",-1.33595040427521,-0.429967914681198,13.9475282151023,0.000187984667330153,0.816741054855142
"Elovl6",-3.6496042492066,3.48704457462108,13.8562541810966,0.00019733886936082,0.816741054855142
"Esm1",-0.967044057226359,-0.677517634480819,13.6114740903777,0.000224807302126558,0.816741054855142
"Cacna1i",1.01195028555846,1.66515435543743,13.2843835772508,0.000267626009192982,0.816741054855142
"B230206H07Rik",1.03263155494062,-1.02708224098733,12.8234340200516,0.000342304884534056,0.845958492383333
"Arrdc3",-0.716932405403892,6.83900092861399,12.5887298608951,0.000388079785482884,0.845958492383333
"Vtn",0.642376273904153,3.55214684212882,11.8452307225694,0.000578092123730658,0.999962605686511
"Fasn",-2.42771748622242,6.95009542019299,11.3304948208153,0.000762445821136399,0.999962605686511
"Cish",-1.31855084686852,2.53614367943874,9.97499377332126,0.0015868053238931,0.999962605686511
"Thrsp",-1.67489574658061,4.09119704805306,9.79185994593256,0.00175286074510439,0.999962605686511
"5031426D15Rik",-0.959913006421467,-1.31564725490986,9.19409959561732,0.00242796491856758,0.999962605686511
"Socs2",-0.631998451540342,3.74707828725857,9.05097387782535,0.00262554928324085,0.999962605686511
"Mycl",-1.41161999390086,-0.0796916034024556,9.02494373630073,0.00266320123154404,0.999962605686511
"Gm6569",-1.31518996917198,-1.624673959622,8.69290803218549,0.00319450545313977,0.999962605686511
"TrnR",-0.958311659051644,-1.2565883881198,8.68377312901567,0.00321055626076062,0.999962605686511
"Tmem229a",1.08880947450399,-1.31186873041869,8.45928381944349,0.00363184833836388,0.999962605686511
"Irf4",-1.83650564469915,1.72684765311544,8.43189098105671,0.00368696723429757,0.999962605686511
"Itih2",1.73647512443014,0.517774921936294,8.41422469147086,0.00372296524957063,0.999962605686511
"Fam189b",0.360318776156506,3.95888394922223,8.24310250972741,0.00409071500670454,0.999962605686511
"Aldh3a1",-1.18490251213217,1.02601459609473,8.21266038124903,0.00415991159943623,0.999962605686511
"Cebpd",-0.800429130297178,6.0691731738124,8.12744791666572,0.0043600075841103,0.999962605686511
"B930059L03Rik",-0.775285366031286,-0.791875119288927,7.76166773578634,0.00533666613493083,0.999962605686511
