"","logFC","logCPM","LR","PValue","FDR"
"Col3a1",-2.93519920498293,6.07379534625553,187.254163616058,1.26389278356587e-42,1.98140471679622e-38
"Ddit4",2.90645855145375,6.34158342986906,174.660841377235,7.10020033619892e-40,5.56549203352952e-36
"Col1a2",-2.88061970342714,6.93906390206072,165.541703728363,6.96589841209843e-38,3.64014631354891e-34
"Vtn",-1.57498525302418,3.86368600489945,163.120856917055,2.35406529813788e-37,9.22617041972689e-34
"Gdf5",4.49051138515181,1.11931112090191,152.829615002693,4.17359619903397e-35,1.30858935224511e-31
"Cebpb",1.60976525411029,6.18248196125955,149.798629552143,1.91855701630499e-34,5.01286972410222e-31
"Cebpd",2.04904323968375,5.65552878729542,146.328568731556,1.1003013913673e-33,2.46420355892359e-30
"Col1a1",-2.89921586540161,5.9709176236476,135.198894972103,2.98697469194183e-31,5.85335028069651e-28
"Col6a1",-2.02008566898965,5.3906272975318,133.193608474835,8.20110172399727e-31,1.42854079696784e-27
"Otud1",1.94877870863021,4.74725687046437,131.123581049525,2.32661543758301e-30,3.64743502149889e-27
"Serpinf1",-2.07100904117942,5.2406881586005,128.611636597619,8.24753847090897e-30,1.17542418734945e-26
"Mmp2",-1.4952983361385,5.27094768139999,117.145464314827,2.667667032269e-27,3.48508467207342e-24
"Sik1",1.7487624791743,4.60386750668623,113.035787399527,2.11915197656065e-26,2.43684541467956e-23
"Col6a2",-1.92015140077156,5.20074532499215,112.983143331845,2.17617119381985e-26,2.43684541467956e-23
"Sgk1",1.39218017752536,7.30171186744072,111.32339743461,5.02644564135887e-26,5.21788614764491e-23
"Kera",-2.92288684899387,1.91028879487426,111.208862456655,5.32539250891871e-26,5.21788614764491e-23
"F830016B08Rik",1.43481346897534,5.18198705142298,109.074998889884,1.56260120438488e-25,1.44099406359658e-22
"Acot2",-1.52227960207822,6.23325676519691,107.711016132556,3.10969326805495e-25,2.70837007573875e-22
"Gadd45a",2.13451777384736,5.12412354668538,101.337231919951,7.75837028622049e-24,6.40147215668834e-21
"Krt18",4.51916446018384,4.34961391808765,100.666573321282,1.0884708694776e-23,8.53197891040016e-21
"Tnmd",-2.38389741260026,2.6962178304322,99.5161648862736,1.94568757880628e-23,1.45250210347362e-20
"Loxl2",-2.2249240651121,2.76612286209801,98.3875725351006,3.44011381626257e-23,2.45139383170674e-20
"Chrna1",1.41595484684983,4.67175520782933,97.8546447999853,4.50249355680422e-23,3.06893876043564e-20
"Sln",4.26830604468192,3.94849158821794,97.4689067186574,5.470865123398e-23,3.57361468914627e-20
"Krt8",5.09738642190802,2.0166709924199,94.9638715316681,1.938918135296e-22,1.21585678428141e-19
"Adrb2",1.15822854805441,3.84974170836028,90.4530162148895,1.89421942666958e-21,1.12411577482394e-18
"Cilp2",-3.35409943625964,2.32416926950505,90.4098196574663,1.93602895453507e-21,1.12411577482394e-18
"Kcnab1",1.82460783976902,3.31059115272062,88.8191566449532,4.32606285075498e-21,2.38733028225836e-18
"Ces2c",4.33494451073869,0.474054871534442,88.7783681567415,4.41618793043902e-21,2.38733028225836e-18
