"","logFC","logCPM","LR","PValue","FDR"
"Tmem45b",3.71229496783953,2.65835119393083,162.988151029674,2.51657483283218e-37,2.40388150318634e-33
"Sln",3.5690074407864,3.99822971142786,162.578024776135,3.09320144526326e-37,2.40388150318634e-33
"Plekhh1",2.75679526208951,2.83938034960096,147.264752253936,6.86839724656067e-34,3.55851661344309e-30
"Rbp4",3.29166003479186,2.18428104944179,141.606807558585,1.18537531273531e-32,4.60607212146124e-29
"Igkc",6.52896719049087,3.36982187696745,132.006094734457,1.49160540430611e-30,4.63680455982599e-27
"Trf",3.08988875954788,5.58032017746113,110.078726785692,9.41753131702488e-26,2.4396114876753e-22
"Tmem132b",3.94589824807165,2.29601952608408,107.837522676602,2.91740445139678e-25,6.47788819829431e-22
"Krt18",3.55367903852739,3.78229140431953,100.537031385284,1.16203925029348e-23,2.25769700841395e-20
"Kcnj15",4.07873945467244,1.31197591794478,97.6639425277706,4.9576848395121e-23,8.5619217178374e-20
"Retn",3.85113699882112,3.28993795661739,95.9844237971563,1.15790904697102e-22,1.75558507451663e-19
"Ddit4",2.93720470986718,5.82958636433499,95.8449070477197,1.24245228203583e-22,1.75558507451663e-19
"Gdf5",4.63004361395209,0.914064428718073,91.507738577367,1.11156630569358e-21,1.43975625744961e-18
"LOC118568744",2.97515696764454,0.981850113383402,90.4979089660295,1.85172488716495e-21,2.2139507631696e-18
"Hp",3.17817451884905,2.26509697388661,90.1755446238384,2.17939324181541e-21,2.41959351125264e-18
"Arxes1",4.17028314980672,0.709032486822812,88.3948600315599,5.36099292419079e-21,5.5550608680465e-18
"Cdo1",3.86117803145527,3.89839103997187,85.1077205164399,2.82545161505565e-20,2.74474965330063e-17
"Glb1l2",2.14839388890028,2.31483377551266,83.2092207092052,7.38126104615622e-20,6.74864355531801e-17
"Cyp2e1",4.54535824875406,5.06515545190153,82.2483773683074,1.20016102562898e-19,1.03633904563062e-16
"Pnpla3",1.63113337109991,3.35131144271362,81.9746280543734,1.37844906497103e-19,1.12764388509709e-16
"Alb",7.36945729723779,3.43435140099739,79.6360241707091,4.50142797365645e-19,3.49828474972711e-16
"Aoc3",1.88110078378678,4.1972747159077,75.2856165629489,4.0731610449875e-18,3.01472105344003e-15
