"","logFC","logCPM","LR","PValue","FDR"
"Krt18",4.53968605336438,3.32796279417322,287.843067091113,1.467365908281e-64,2.23421133194865e-60
"Igfn1",2.33120338539432,5.30154361990331,178.431134911312,1.06653553699887e-40,8.11953504317238e-37
"Arrdc2",2.73982507640089,6.35009419090993,126.932325336472,1.92217600024081e-29,9.75568392655554e-26
"Cebpd",2.06174653851745,5.23164250509945,102.532414146583,4.24366972172873e-24,1.61535287957604e-20
"LOC118568744",4.46222277621058,0.0553739367365159,96.1275277268895,1.07716622632809e-22,3.15872097404321e-19
"Aplnr",-2.14353892423566,2.48654546005806,95.8412740141232,1.24473439145273e-22,3.15872097404321e-19
"Erc2",3.19793701602535,1.73545553172761,94.2572315890959,2.77072644675559e-22,6.02672583975724e-19
"Rhpn2",2.31235565040453,2.75297927677594,92.8163889599686,5.73780362634974e-22,1.09204747518501e-18
"Ighg2c",3.60562838417347,1.98272022037386,90.0646250410688,2.30506469412765e-21,3.89965722586529e-18
"Slc25a25",2.17373399153815,5.54616110867284,86.8854136165315,1.14994368263713e-20,1.75090425118329e-17
"Nfil3",1.58858856327066,4.98275864656293,81.3617984797433,1.87956249997271e-19,2.55412040066107e-16
"Cdkn1a",2.78003585432941,5.07416613624216,81.2262847073209,2.01296760855989e-19,2.55412040066107e-16
"Sik1",1.45473758972823,4.19628056521618,80.1892967248399,3.40205043088236e-19,3.98458614312421e-16
"Ppp1r14bl",2.27257020986513,2.45593048959075,77.6677282736527,1.21917108872043e-18,1.32593564263266e-15
"Nrep",-2.05089132906832,5.90690516249624,74.3187164315514,6.64703105221828e-18,6.74717965340504e-15
"Ankrd1",1.84296046757881,3.96308551085481,74.0387295951219,7.65993274731522e-18,7.28938350066385e-15
"Tfrc",-2.27997059130055,6.64659780680229,72.5991767887469,1.58845318138697e-17,1.42269341998812e-14
"Otud1",1.72813844396629,4.70865275958897,70.5132477169057,4.57186001142305e-17,3.86728558521818e-14
"Cish",-2.69598244085437,4.10411981238647,70.2029886807215,5.35053132590062e-17,4.28774684042963e-14
"Cpne2",1.79511726087157,4.33926697607242,68.6913265963514,1.15146238026295e-16,8.76608310094181e-14
"Nr4a3",2.12486326748954,2.77570997178318,68.4862419396138,1.27765889050137e-16,9.26363536513039e-14
"Cacna1i",3.37346021765082,1.27796297005265,66.0981772840261,4.29012330581595e-16,2.96915533883426e-13
"Lingo3",-1.54603207499735,3.91478791708939,64.8687516567951,8.00566053653795e-16,5.29974727518812e-13
"Krt8",4.06059749612424,0.63178089291328,62.7068420045037,2.39880882591867e-15,1.5218442993099e-12
"Eda2r",1.74893303276897,5.87400730410555,61.5598528363688,4.29487092780596e-15,2.61574818987094e-12
"Tob2",1.30770148116497,6.58051278171808,61.2236174951702,5.09467009832237e-15,2.98351718911755e-12
"4931413K12Rik",2.02972931049198,1.72604213889134,61.1025357978729,5.41783121943568e-15,3.05525548693065e-12
"Cebpb",1.72128581897637,5.99328487930246,60.8766612864008,6.07649667889114e-15,3.30431208688559e-12
"Arrdc3",1.53497043169177,6.09608581344922,60.5092987651441,7.32317234094712e-15,3.84491800218141e-12
"Gadd45a",1.5020510894926,4.19944069786603,59.9951819400373,9.50898656295137e-15,4.82612764691659e-12
"Trim63",1.64307823470991,8.71929788348762,59.4030980589238,1.28466679286554e-14,6.30978599618409e-12
"Shroom3",2.35401093816991,2.08668517268379,57.8283412689795,2.86018954505335e-14,1.3609139379057e-11
"Meox2",-1.1999111099643,3.46914671879766,54.6880006192468,1.41266192390999e-13,6.51793650104651e-11
"Podn",-1.10491534541325,4.03019630529161,54.4961479990093,1.5575282532319e-13,6.80983114770908e-11
"Foxo6",-2.16242482170188,2.69674629397044,54.4862717528932,1.56537560862878e-13,6.80983114770908e-11
"Depp1",2.73612400632682,4.32819204914606,53.884179024258,2.1266324903174e-13,8.99447397154796e-11
"Sln",3.03007929749952,2.97656616642265,53.5776943375025,2.48565617435293e-13,1.02288110569453e-10
"Meg3",-1.31462498474828,3.99485426323093,53.3075775097331,2.85204275154461e-13,1.14276849828995e-10
"Tmem132b",2.26126267996335,2.41395158128644,52.8422442174992,3.61443094466588e-13,1.41111091188417e-10
"Amy1",1.29277864159115,6.51435848733251,52.2403821582535,4.91058593677996e-13,1.86921453683529e-10
"Fbxo32",1.59586186127074,9.41081015878043,51.4223721210487,7.44848629877166e-13,2.76611347280725e-10
"Gm49668",2.00504228884103,3.8650517177284,51.1245374087404,8.66878789187917e-13,3.14264201051791e-10
"Serpinh1",-1.12029017383468,5.4104935081516,50.690868454194,1.08121436861998e-12,3.82850464572274e-10
"Errfi1",1.04662767240142,5.37807781333796,50.5867691437971,1.14011058072126e-12,3.94530084137769e-10
"Kera",-2.52948527742197,2.79728838063951,50.3752370198056,1.26986511161725e-12,4.29665915321871e-10
"Klhl38",1.31986844850557,7.10637080571791,49.8977014682627,1.61974293977772e-12,5.36134913066427e-10
"Pdk4",2.153556393836,9.96580634160753,49.6401400639447,1.84695971601731e-12,5.98336353959138e-10
"Fkbp5",1.98312740657572,6.46781292326211,49.2758476362544,2.22383725146464e-12,7.05419708141678e-10
"Mt1",1.55546927770653,3.66567099822749,48.3007187100623,3.65618185339375e-12,1.13610254897496e-09
"Slc6a17",1.87044185589315,2.29548355283311,47.6146362594408,5.18797007525609e-12,1.57984064731698e-09
"Lrrc30",1.17279220121882,6.74840953288368,47.4298715664234,5.70073149825214e-12,1.70194779985073e-09
"Foxo1",1.06411787062163,4.94934399457027,47.314678307785,6.04577897169519e-12,1.77025058890444e-09
"Sec14l5",-1.07799059072181,5.42520761947438,46.9822790420092,7.1631459068528e-12,2.05785018071209e-09
"Ccn1",1.51017279205136,5.73146624586807,46.8032894160406,7.84815683974516e-12,2.21288955633259e-09
"Gm51571",2.96486779917854,-0.404759913058594,46.1462883840169,1.09744723869243e-11,3.0381330284238e-09
"Slc20a1",1.07771876100443,5.00158141656662,46.0305441698345,1.164236147637e-11,3.16547492570018e-09
"Tnfrsf12a",1.14455373489121,4.40758037366163,45.7564276472284,1.33909236499357e-11,3.57702111392843e-09
"Steap3",-1.02636569840742,4.90994391779383,45.4848747402193,1.53822108030087e-11,4.03809554632088e-09
"6430571L13Rik",-1.05564245019976,5.01934174470493,45.4375179434056,1.57586624535129e-11,4.06680329690148e-09
"Gabarapl1",1.10428110214941,6.30971485313905,44.8905928806943,2.08356444442965e-11,5.28739203848097e-09
"Thy1",-1.70942862892612,2.69840727748389,44.8271240759257,2.15220613781351e-11,5.37204764825385e-09
"Zfp503",-1.08055796732228,4.23658515477287,44.7506055340523,2.23797724493585e-11,5.49603895667633e-09
"LOC118568479",3.05553088821667,-0.170717665999494,43.8019750273399,3.6333819045495e-11,8.78124966328105e-09
"Cyp4f14",5.0592442689212,-1.21821290111141,43.7449576749413,3.74079063917185e-11,8.89957473000477e-09
"Map2k6",-1.21501472335591,5.78184245868394,43.4139737083835,4.43013199426849e-11,1.03774138068819e-08
"Ddit4",3.43155379502973,6.14985317840693,43.2508033374973,4.81539972241879e-11,1.11089812384164e-08
"Fn1",-1.07373175889302,5.9162773094868,42.9317754536104,5.66824806134577e-11,1.28813052212016e-08
"Wnt5a",-1.27443528210998,2.61153379581526,42.763434345538,6.17761666622717e-11,1.3832410494114e-08
"Prss55",-2.80371986426146,-0.553812251641244,42.3507795424287,7.62859221799943e-11,1.68337601610521e-08
"Mt2",1.92265730659384,3.05820665336087,42.2677481305802,7.95943949157471e-11,1.71905199143252e-08
"Bcl2l1",1.24221201454013,4.36710633601266,42.2397673728496,8.07413691653782e-11,1.71905199143252e-08
"Map3k6",1.10066017063783,3.43807266290336,42.2265302300501,8.1289730318627e-11,1.71905199143252e-08
"Abcc8",1.48757548177935,2.51613527236927,41.7129300441565,1.05707588532996e-10,2.20479964794985e-08
"Col15a1",-1.41802244143773,4.8176898739332,41.2893131622016,1.31284693168904e-10,2.70127126782396e-08
"Gm10638",1.93632648103054,1.05185369581927,41.1177330757253,1.43330011523969e-10,2.90979034061861e-08
"LOC118568112",5.13310552355371,-1.82493802994889,41.0414260843116,1.49036536294286e-10,2.98582934423262e-08
"Clec3b",-1.05069746048637,5.03105851040255,40.9153130426651,1.58970634002651e-10,3.1434894458758e-08
"Foxo6os",-2.3222725214297,2.33845883131905,40.6248847011456,1.84442725955965e-10,3.60041659667375e-08
"Slc4a3",1.09921670632308,3.72316128167998,40.4778241768476,1.98860280290658e-10,3.83271725026021e-08
"Col1a2",-2.756048316237,7.99919152321018,40.1313993110576,2.37441612788021e-10,4.51910749538802e-08
"Mafk",0.99758446422456,5.15977625507601,39.3039595117586,3.62705064482347e-10,6.81795964420767e-08
"Col11a1",-2.42148256709754,1.83490107603318,39.1609146713844,3.90275372097056e-10,7.24674733603632e-08
"Fras1",-2.33002038246968,1.60199835438486,37.6699298444525,8.37862418243267e-10,1.53702327471952e-07
"Oacyl",1.14284887602027,3.34523479192508,37.1401375906218,1.09937364587355e-09,1.98146709770535e-07
"Syt9",2.20391454434599,1.90026522821538,37.1281283552667,1.10616513401389e-09,1.98146709770535e-07
"Ppp1r15a",1.1118925397204,5.14314392774367,37.0854150021874,1.13066269069663e-09,2.00179885215661e-07
"Retreg1",1.37554572495922,8.47245593029721,36.8536881422018,1.27334981797645e-09,2.22850854350683e-07
"6430548M08Rik",0.892200566766724,5.13531999434453,36.8139707447345,1.29955640800472e-09,2.24852793957726e-07
"Golim4",-0.983445437122152,3.77446581602793,36.7391005282878,1.35043525901489e-09,2.31030643300683e-07
"Tet1",-2.10160664674266,0.435841418363797,36.5553435516421,1.48392615288766e-09,2.51047328931861e-07
"Tecta",-3.10553722057309,-0.4931446662907,36.2933359983434,1.6974328043322e-09,2.84012218447935e-07
"Pthlh",-1.72066457264899,1.63932667922883,36.1209130488879,1.85445937513821e-09,3.06913026585373e-07
"Tmem140",1.50075967761657,2.60972173268948,36.0758439893536,1.89784952351156e-09,3.10716740268677e-07
"Gm51590",3.66315082008657,-1.61268536569745,35.7860130087444,2.2022326981544e-09,3.56714841086158e-07
"Pcolce",-1.18183979570807,4.94757138010091,35.7215579439182,2.27631084683494e-09,3.6483272583062e-07
