"","logFC","logCPM","LR","PValue","FDR"
"Npr3",1.34051584769556,4.229197474791,124.546135366748,6.39743115305235e-29,1.00631592037513e-24
"Amy1",1.10585924784275,5.98223360724988,97.0224335752224,6.85462754332694e-23,5.39116456282664e-19
"Gm49668",2.1565849553377,3.96720685838994,93.9658149115281,3.21020517742446e-22,1.68321758136289e-18
"Cebpa",1.24015896376414,3.87290065535859,85.4878749519928,2.33126730029406e-20,7.56517188602044e-17
"Gdf5",4.95775421795002,1.07288301054976,85.0730775375774,2.87539123046589e-20,7.56517188602044e-17
"Slc6a17",2.65594313899398,1.9388597126353,85.0660462031585,2.88563454012223e-20,7.56517188602044e-17
"Tmem132b",2.25900628433519,1.58722896712909,84.1242776908866,4.64629915788043e-20,1.04408979647799e-16
"Retn",1.84115929726743,2.69452340902924,82.560360897093,1.02491978103873e-19,2.0152485194674e-16
"C4b",1.58670729022599,3.92647456397065,80.4892513037654,2.92290518016909e-19,5.04961068308214e-16
"Zfp503",-1.19876840876524,4.76794462706084,80.3040044627231,3.21017843806875e-19,5.04961068308214e-16
"Sln",2.17329426507586,3.10393374263314,78.5610200356807,7.75649316550437e-19,1.10917852266712e-15
"Dbp",-0.957127382362823,5.54634418256438,73.5086886589426,1.00194144307562e-17,1.31337824163163e-14
"Cyfip2",1.7683012829674,3.46361633267948,73.2297278339756,1.15404417183447e-17,1.39639344791971e-14
"Igkc",5.64959319244034,2.64190437714729,72.8184407214247,1.42142486114877e-17,1.59707236184787e-14
"Rp1",2.92764737244139,0.109459116555522,72.1176245144431,2.02744869892105e-17,2.12611786893521e-14
"Tiam2",1.19144687152595,3.02793294684427,71.5366193193042,2.72159960947176e-17,2.67567261606193e-14
"Ankrd1",1.55390611567684,4.82278766254389,71.0331122015672,3.51279582899137e-17,3.25036931706083e-14
"Lingo3",-1.10826220466726,3.43355928342626,70.9075580687098,3.74361057468802e-17,3.27149968554681e-14
"Plin1",1.75162144703693,4.20777085027857,68.4307136596668,1.31414734417347e-16,1.08797566967625e-13
"Alb",4.43333597217699,2.39285916352591,68.3154557052819,1.39324681611576e-16,1.09578862087505e-13
"Prkar2b",1.7047924101918,2.83945316316876,67.8835126969312,1.73445428744222e-16,1.29918885435553e-13
"Car5b",1.74521739064949,1.57117197118936,67.0885335766921,2.59583838596072e-16,1.85602444596191e-13
"Cebpb",1.21293569775274,5.85752388827761,66.0682756662606,4.35570354550948e-16,2.97892246829844e-13
"Trarg1",1.64013003092259,2.81784615904707,64.4946413610536,9.67952420270151e-16,6.20544078760944e-13
"Actc1",-2.32878741684741,7.28390511084542,64.4577572836868,9.86242973237355e-16,6.20544078760944e-13
"Trf",1.31029877707253,5.18466396665945,63.8170171672375,1.36529125840476e-15,8.26001211334881e-13
"Ighg2c",3.45301947914177,-0.150670482636419,62.8823928700032,2.19425016913884e-15,1.27835389483533e-12
"Nrep",-1.21154337848286,4.74890146502467,62.0465520721532,3.35433171416778e-15,1.88441563799497e-12
"Aebp1",-1.09007053713757,7.90599866471329,60.0159385940958,9.40923221656045e-15,4.93849099727116e-12
"Klhdc7a",1.71774841061227,1.68292247615453,60.0139780047633,9.41860965785981e-15,4.93849099727116e-12
"Cidec",1.69612519859623,5.03206485580529,59.3269547777371,1.33534856118294e-14,6.77581705400246e-12
"Sulf2",0.907019626325193,3.51089611063809,58.3510515969914,2.19279410038284e-14,1.07789534996944e-11
"Hspb7",1.32157689279887,8.94687236333918,57.6604471051652,3.11504088308099e-14,1.48483615426861e-11
"Pck1",2.09671770390607,4.84995392815524,57.5357818997469,3.31886348974604e-14,1.5354624321678e-11
"Olr1",5.42258956140469,-0.84534963873371,55.8966713837601,7.63817730700351e-14,3.43281511540472e-11
"Myh10",1.25626612261795,5.04350150605788,55.2452757602842,1.06389701253168e-13,4.64863889086761e-11
"Tnfrsf12a",1.53102580312061,4.33636560256968,54.8013910941566,1.33346354330542e-13,5.66902203680927e-11
"6530402F18Rik",1.20439323940309,2.79691699963864,54.4517123181626,1.59314819307192e-13,6.59479502026877e-11
"Hspa1b",1.2684153877169,3.52872248254525,54.0848608919708,1.92015004818155e-13,7.74460519433225e-11
