"","logFC","logCPM","LR","PValue","FDR"
"Xist",10.7795021496011,6.6831750263689,2162.77354404243,0,0
"Ddx3y",-9.70175959776646,6.44991929466976,1747.26753397588,0,0
"Eif2s3y",-8.88571802632918,5.57245626500774,1575.20901311932,0,0
"Kdm5d",-9.22893664963275,3.92838718528222,1144.87119134207,5.8420166252429e-251,2.28568900462628e-247
"Uty",-9.49459614733354,3.89656340389285,1099.57465995959,4.08629764749857e-241,1.27901116366705e-237
"Slc30a2",-2.63604215495213,4.56364853842895,258.665094622288,3.35348573014063e-58,8.74700861278349e-55
"Slc15a5",-4.53202529565139,1.9113755062515,253.59840063048,4.2655774716644e-57,9.53661249022112e-54
"C7",-3.6229076013781,3.12998282007318,251.254268771325,1.38356784570696e-56,2.70660459816424e-53
"Amd2",-2.62316610399148,7.57894669594129,249.898029398257,2.73319242310775e-56,4.75271793573736e-53
"Amd1",-2.61173898738729,7.93659194356039,246.503248018781,1.50239540121906e-55,2.35124880290782e-52
"Cacna2d4",-3.9206672832789,2.07522500475215,217.91848466283,2.57291103486212e-49,3.66055069959929e-46
"Galnt17",-1.89553151877524,3.38373795737157,156.45018325841,6.74983993178895e-36,8.80291624437475e-33
"Opn1mw",4.02608542772785,1.83986120474484,151.893592057212,6.68470580051116e-35,8.04735736753843e-32
"1700001O22Rik",-3.239639589706,2.26949265400603,148.467150234913,3.74986242671021e-34,4.19181049842963e-31
"Gadl1",-1.85728723136603,3.20488421853485,140.179466573142,2.43202886556676e-32,2.53741678307465e-29
"Cdk19",-1.68743540834746,5.10318611210394,136.180337275822,1.82207296265896e-31,1.78221511660079e-28
"Slc2a3",-2.10152082042304,3.55051163562925,114.159637175076,1.20228983875977e-26,1.10681388097591e-23
"Tiam1",-1.68347596799914,3.4231489437827,106.679177375778,5.23397241537571e-25,4.55064823892388e-22
"Mgst1",-1.29618639229859,4.75267071269291,104.359498344309,1.68744913540989e-24,1.38992520890341e-21
