"","logFC","logCPM","LR","PValue","FDR"
"Eif2s3y",-9.57462943978128,5.77538056569773,1567.74741226766,0,0
"Uty",-9.07222797826778,3.91020920497619,1127.68498429859,3.17525705278757e-247,2.42383247124539e-243
"Kdm5d",-8.90269692784688,3.74116226194454,1007.38463463305,4.45777728035336e-221,2.26856285797182e-217
"Slc15a5",-5.26984020163113,2.19793371790321,213.6579110382,2.18698232368879e-48,8.34716478393919e-45
"Ddx3y",-9.38868308062169,6.44654560782354,139.118396621894,4.149580857907e-32,1.26703301915332e-28
"Hp",-1.70486952070459,3.9625755023391,136.855459549678,1.29689898097405e-31,3.29995945708847e-28
"Slc30a2",-2.46313658327256,4.71190167182558,132.612852166552,1.09879568006086e-30,2.39647337821274e-27
"Actr3b",-2.06162252765775,3.79659444249871,126.871350758933,1.98214930673011e-29,3.78268418323108e-26
"Gm42146",-1.72269525626894,4.48293105698651,122.605464626165,1.70127314486989e-28,2.88592634474762e-25
"Dkk3",-2.13729523035515,5.42990817356533,117.872162798069,1.84931164408693e-27,2.82334408702751e-24
"Galnt17",-1.65699708884918,3.68717728009777,99.2899073996301,2.18116780954119e-23,3.02726263166049e-20
"Mgst1",-1.39002481039325,4.66143523406186,97.6444285718232,5.00678407771469e-23,6.36988104287252e-20
"Slc2a3",-2.31523298062866,3.66978917401897,86.6813971790781,1.27490411907597e-20,1.4972277835333e-17
"Cdk19",-1.44785561864467,4.9378604319684,83.8490864141292,5.34022662142111e-20,5.82351713065972e-17
"C7",-3.12421099416156,2.5564237075163,83.0877163221128,7.84919309496172e-20,7.98890873205204e-17
"Kcnf1",-3.05643225626129,3.35195952654974,80.2240322237728,3.34276771661029e-19,3.18962717059308e-16
"Opn1mw",2.89011777499797,1.6036375255908,79.5251201836144,4.7613296502369e-19,4.27595410412746e-16
"Slc1a5",1.13303364886395,4.64502004185078,77.7960129224967,1.1425055201066e-18,9.69035098637083e-16
"Plin1",1.2967248459654,4.35916484476588,74.0676543238869,7.54851226322843e-18,6.0654282485636e-15
"Cacna2d4",-4.18280220500064,2.29892161648368,73.7694307748436,8.77957760467392e-18,6.70189056452783e-15
"Amd2",-2.33217966490458,7.13674651852371,73.5511869499862,9.80599463069748e-18,7.12895809651706e-15
"Gadl1",-2.1743416269913,3.16936300269477,69.3496975588567,8.24652663570553e-17,5.72271464305983e-14
"Amd1",-2.26738101221899,7.55804124365196,67.9200726528816,1.70259071959509e-16,1.13015010939384e-13
"Retn",2.13914641126388,2.68940334432153,65.4466186834375,5.97095959322884e-16,3.79827667124269e-13
"1700001O22Rik",-2.94679059529234,2.08685204505459,64.4828307800498,9.7377196401019e-16,5.94663062981743e-13
"Sult1e1",-7.21826221586947,-1.73135800343431,60.9068023087194,5.98417119914105e-15,3.41149570386759e-12
"Mybph",1.87645128239055,6.98786768774987,60.8907061797187,6.0332995352345e-15,3.41149570386759e-12
"Kdm6a",0.988258279341127,4.70195547277861,60.0944173379374,9.04144257596244e-15,4.92984656454352e-12
"Dnase1",-1.47357759625222,3.26606400520829,58.0798996344136,2.51684852964366e-14,1.32499056903689e-11
