"","logFC","logCPM","LR","PValue","FDR"
"Xist",11.2563866751097,6.56017276037079,3482.00521652623,0,0
"Kdm5d",-11.0278899235961,3.87621425853827,2105.34734739225,0,0
"Uty",-9.71728858980611,3.83305210268721,1887.45295811071,0,0
"Actr3b",-3.35088303906205,3.63838095359568,316.996690086351,6.53275944483248e-71,2.54744954551243e-67
"Actc1",3.93044314550566,6.8433924177246,209.039130433987,2.22588409511843e-47,6.94386802313147e-44
"C7",-4.43546670384578,3.22004400009961,173.289455475503,1.41499803894316e-39,3.67852323523924e-36
"Pcx",1.81243878731099,7.87647010638844,167.149008120578,3.10371426147524e-38,6.91596215007012e-35
"LOC118567370",2.66311995826109,0.482748514220055,166.069877389023,5.34074772297935e-38,1.0413122872879e-34
"Galnt17",-2.32975059280418,3.27892151796124,158.490422371374,2.41814509654525e-36,4.19091413510142e-33
"Mgst1",-1.79722285489657,4.27139725144647,156.202486150612,7.64574865889369e-36,1.19258387581424e-32
"Gm16150",3.07619849806195,-0.569195163647895,154.424850871754,1.87017810360425e-35,2.65191255091083e-32
"Slc30a2",-2.35653014550245,4.36815628017802,153.687280565363,2.71063398215024e-35,3.52337240446496e-32
"Slc15a5",-4.92360078109098,1.54708229873343,141.959446623277,9.92541234375198e-33,1.1908967825988e-29
"Opn1mw",2.86446452005128,1.21380884990068,139.491489149339,3.4388616982383e-32,3.83138319779436e-29
"Cacna2d4",-2.91272774368072,2.2362533598129,137.141788831475,1.12275006803498e-31,1.16751037074731e-28
"Irx3os",-3.50713649977362,0.0457271527686817,120.588434441944,4.7023150288681e-28,4.58416936376779e-25
"Eif2s3y",-8.88185894012903,5.70176065226623,116.861197742698,3.07877705096297e-27,2.82486849652473e-24
"Kdm6a",0.949670530472189,4.63428193210892,109.565270275557,1.22019791862406e-25,1.05736928526101e-22
"Amd2",-2.57036755553901,7.58627200581874,107.804493889769,2.96642989771998e-25,2.43528281813875e-22
"1700001O22Rik",-3.67663249275385,2.48795294920063,103.866230157971,2.16447436812919e-24,1.68807355970396e-21
"Dtnb",-1.91645629897632,1.23678551411932,103.066640809822,3.24062082304806e-24,2.40700969513827e-21
"Amd1",-2.543421941124,7.9914843640165,102.502849854944,4.30747569755971e-24,3.05400026956984e-21
"Cd276",-1.36501915796772,2.57193975256019,96.7783479135699,7.75394331743699e-23,5.25852208110357e-20
"Gm47708",2.46985761021153,0.696651423164177,86.9998737516276,1.08528105398698e-20,7.05342245003703e-18
"Cd27",-2.35030350262347,0.150165862276809,85.8052020413373,1.98563124510645e-20,1.23887504644682e-17
"Eif2s3x",0.770209802779274,5.34431144883022,85.3422019550764,2.50949709111027e-20,1.50550521642838e-17
"Ddx3y",-9.10892804415806,6.33326618335627,84.1582177831488,4.56721597295415e-20,2.63849758319033e-17
"Dpf1",-1.93361336282343,0.182248922652453,83.0068781377862,8.17683745009889e-20,4.55508251952294e-17
"Cdk19",-1.78591624400145,5.09302006696408,80.4110003895598,3.04097575078244e-19,1.63562550898981e-16
"Neu2",1.05428793465349,3.64783645555399,80.0829822920215,3.59011150858801e-19,1.86661864369853e-16
"Ace",-1.12057845089391,5.26620706579381,76.7781326351931,1.91283923049293e-18,9.62466655394474e-16
"Dkk3",-1.71693310864075,4.58236826525784,75.2849017993561,4.07463583844016e-18,1.94743991998991e-15
"Gm32280",-3.44237307638761,-0.700694249772777,75.2629873993973,4.12011266570502e-18,1.94743991998991e-15
"Enpp2",-1.07664933920883,4.25750349755408,74.4662962518445,6.16823983488105e-18,2.82977073366102e-15
"Lamc3",-2.33719608284729,0.902433083208425,72.9723998107331,1.31475637849804e-17,5.85930571194641e-15
"Slc2a3",-2.06217835630181,3.50495809922463,69.1017129433629,9.35141039403827e-17,4.05175831461691e-14
"Loxl2",-1.11993187665679,3.12691833820855,68.6995104411724,1.14669386387593e-16,4.83408942938832e-14
"Septin9",-0.806205632469414,3.95940434438391,67.401035415642,2.21532578041732e-16,9.09332934814458e-14
"Kdm5c",0.721893802996659,5.66902247846106,67.0566522913655,2.63815876796683e-16,1.0551282169935e-13
"Trim67",-3.45936414225839,-1.47100488631545,65.9157827304308,4.70608042417882e-16,1.83513606140853e-13
"LOC118568145",1.84366167918982,0.503713764724984,65.852660975089,4.85923853814235e-16,1.84864396873035e-13
"Slc7a2",1.42455569391112,6.60304144869534,65.2863980600671,6.4766836993076e-16,2.40531696051905e-13
"Gm32720",3.01694755567651,-0.602778320526054,63.9614550447606,1.26877435772214e-15,4.60240521668604e-13
"Prune2",-1.99470412675402,3.05107752896464,62.9323637419751,2.13928035986582e-15,7.58374887572434e-13
"Ddx3x",1.01311198575329,8.09146633891934,62.8867554601768,2.18939537598321e-15,7.58893090546357e-13
"Gm15737",1.69554451403489,1.08817570961113,61.716019958391,3.96739318251698e-15,1.34529127958478e-12
"Abcg4",-1.90161891818183,0.24506819125528,61.3987465720425,4.66107153162944e-15,1.54688071809268e-12
"Rps6ka6",2.09305453875869,-0.656909323550103,60.5910325826587,7.02533166380495e-15,2.28294006858395e-12
"Ppp1r1a",0.793766828976828,5.90073545744736,58.3199681208296,2.22771477760133e-14,7.09140716347461e-12
"Ecm2",-0.900561872624858,3.784037852606,57.139424565122,4.05985075450681e-14,1.26651104137594e-11
"Cbr2",-1.46933575020358,4.35906389677972,56.5560409784199,5.4619328747088e-14,1.67049468587662e-11
"Gm15337",1.98855585005011,0.926912633965023,55.2817145032619,1.04435609215018e-13,3.13266660103049e-11
"Ecm1",-0.925813050899156,4.05017671809621,54.8091736919289,1.32819357668596e-13,3.90889875644294e-11
"Chrna9",3.16428509746488,-1.87890976642648,54.677546741251,1.42019633489332e-13,4.1022634132715e-11
"Ppp1r3d",1.38626867790274,2.59095480008371,54.6116664846122,1.46861206776466e-13,4.16498382418056e-11
"Bgn",-0.945366307639372,5.54574453436199,54.1573944964011,1.85056161549132e-13,5.1368714006004e-11
