Animal ID,Sex,Age/Group,Diet,DXA_BW start,DXA_BW end,Total Mass (g) Start,Lean Start (g),Lean Start (%),Fat Start (g),Fat Start (%),Treadmill (sec) Start,Treadmill (m) Start,Fasting Glucose Start,Total Mass (g) (End,Lean (g) End,Lean (%) End,Fat (g) End,Fat (%) End,Treadmill (sec) End,Treadmill (m) End,Fasting Glucose End,Treadmill (sec) change,Treadmill (m) change,Total Mass (g) change,Lean (g) change,Lean (%) change,Fat (g) change,Fat (%) change,Fasting Glucose change
s01.G25.06mo.C.M,M,6,C,28,43.1,26.8,20,74.63,6.8,25.37,1642,431.0315,77,41.7,26.3,63.07,15.3,36.69,1162,250.6955,120,-480,-180.34,14.9,6.3,-11.56,8.5,11.32,43
s02.G26.06mo.C.M,M,6,C,31.5,44.2,30.2,20.2,66.89,10.1,33.44,1353,316.9343,131,43.8,24.9,56.85,18.9,43.15,1060,218.3105,94,-293,-98.62,13.6,4.7,-10.04,8.8,9.71,-37
s03.G27.06mo.C.M,M,6,C,27.9,39.6,26.8,18.5,69.03,8.3,30.97,1790,495.9295,91,39.7,24,60.45,15.6,39.29,1285,292.5155,110,-505,-203.41,12.9,5.5,-8.58,7.3,8.32,19
s04.J33.06mo.AR.M,M,6,AR,26.5,36.5,26.1,19.8,75.86,6.3,24.14,1866,530.9579,84,36.3,24.9,68.6,12.2,33.61,1139,243.2113,111,-727,-287.75,10.2,5.1,-7.27,5.9,9.47,27
s05.J34.06mo.AR.M,M,6,AR,26.6,41.5,25.5,17.7,69.41,7.9,30.98,1369,322.8143,98,41.1,25.8,62.77,16.3,39.66,1274,288.6523,133,-95,-34.16,15.6,8.1,-6.64,8.4,8.68,35
s06.J35.06mo.AR.M,M,6,AR,27.4,35.9,26.8,18.3,68.28,8.4,31.34,1254,281.6903,133,36.4,24,65.93,10.6,29.12,1321,305.3279,79,67,23.64,9.6,5.7,-2.35,2.2,-2.22,-54
s07.C1.06mo.C.F,F,6,C,20,30.9,19.6,13.9,70.92,5.7,29.08,2486,859.9,70,29.7,18.3,61.62,11.4,38.38,1706,458.5579,75,-780,-401.31,10.1,4.4,-9.3,5.7,9.3,5
s08.C2.06mo.C.F,F,6,C,21.4,33.8,21.9,14.7,67.12,7.2,32.88,1785,493.7,77,33.5,19.6,58.51,14,41.79,1249,279.9623,118,-536,-213.7,11.6,4.9,-8.62,6.8,8.91,41
s09.C11.06mo.C.F,F,6,C,18.5,26.7,18.1,13.5,74.59,4.6,25.41,1437,348.4,78,25.5,17.9,70.2,7.7,30.2,2020,605.4785,76,583,257.1,7.4,4.4,-4.39,3.1,4.78,-2
s10.YF3.06mo.AR.F,F,6,AR,18.3,26.3,18.2,14.1,77.47,4.1,22.53,2265,733.8095,61,25.1,19,75.7,6.1,24.3,2027,608.9785,90,-238,-124.83,6.9,4.9,-1.78,2,1.78,29
