"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05012","mmu05012","Parkinson disease","239/5355","264/9045",1.17818584426046e-30,3.91157700294474e-28,1.41382301311256e-28,"22142/67951/73710/14677/26420/214084/109731/14679/12858/66925/66108/11950/12313/22154/22201/19182/68427/13163/69875/68198/66043/50868/74764/12028/18749/56551/18747/68349/19185/19172/68015/11951/16573/21762/12048/22190/22335/22213/215999/67680/84682/226646/17991/12864/19170/19166/18024/67126/11740/54405/18803/22123/69077/12867/19175/17762/228033/12315/22187/11783/66414/75406/66594/11540/22333/78294/22433/19184/78943/66997/67128/26443/13665/19179/16593/67530/66945/407785/66413/17993/22334/12325/67089/105675/26419/213053/19173/66218/67130/66445/68194/224129/11957/28080/20655/22143/18174/68202/140499/50873/78330/72900/19252/20463/106957/14977/14680/67847/12322/16594/17161/67264/11947/13198/11946/23997/12869/22273/11949/20617/227197/227059/66495/22145/70247/67273/226641/19177/16574/14828/68375/59029/56791/14683/26444/67414/66046/56228/22166/595136/68943/26445/12371/19181/57320/170731/22223/67151/17992/16438/53857/16439/57296/23996/68197/26440/12862/70316/67003/104130/66142/12367/11739/13666/12857/75600/26441/12866/14678/74153/80796/66916/71679/66091/12868/67184/66725/12314/110323/227613/66377/17995/66694/22195/56436/17463/68342/407790/232943/69806/12861/66416/11911/20422/16440/22146/22272/106947/328133/30791/108058/67547/20192/12323/66052/22151/66152/22059/225887/19167/12859/22153/67942/13063/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/64704/26442/26446/230075/26408/18951/214922/12865/16572/100041273/22186",239
"mmu05010","mmu05010","Alzheimer disease","327/5355","383/9045",6.4106730257939e-30,1.06417172228179e-27,3.84640381547634e-28,"22142/16971/384783/14368/67951/13058/18126/11816/73710/14371/14362/26420/12288/11938/12858/216795/12006/66925/66108/110157/11950/11836/12313/22154/11651/19182/68427/69875/109880/68198/26400/66043/13544/59287/74764/11652/16151/12122/29869/26395/68349/16337/19185/19172/11789/11951/16573/12387/21762/22335/215999/67680/84682/19165/226646/17991/12864/12977/19170/16956/19166/226548/22411/67126/11740/54405/22123/69077/12867/19175/17762/228033/12315/23797/19164/11783/66414/23805/75406/66594/22333/68585/22433/19184/78943/66997/53313/13543/26443/13665/19179/16593/67530/66945/407785/66413/17993/22334/19056/67089/105675/26419/22418/19057/213053/19173/66218/27373/67130/66445/56637/68194/11957/11820/28080/22410/22143/18174/68202/78330/19106/72900/12005/20463/106957/14977/13001/93687/14682/20168/329015/14102/16594/16973/19697/12333/12015/18797/12369/12675/67264/15108/11947/13198/11946/23997/12869/15461/22273/11949/12364/20617/12421/227197/227059/12370/66495/22145/70247/67273/12292/12334/226641/19177/16574/68375/59029/22030/51897/26444/18706/66046/67738/17380/22414/18176/56811/19055/18033/595136/18710/26445/12371/19181/12568/56717/13542/18125/67151/22241/74781/17992/93735/16438/53857/22419/16974/16653/16439/21937/50490/57296/23996/68197/11937/26440/12862/70316/67003/104130/14082/66142/16150/12367/11739/13666/12857/18709/234664/23821/75600/26441/12866/208117/74769/75669/22420/225326/80796/66916/19058/71679/26396/56208/66091/12868/67184/12314/110323/227613/66340/22417/14370/11785/66377/68118/100504663/17995/66694/56436/17463/18707/18798/68342/407790/228361/56175/232943/14369/76559/18708/69806/12861/66416/52639/11911/20422/16440/22146/22272/14367/12671/13000/106947/16369/212398/328133/12569/14366/57265/18795/30791/11491/68318/67547/11487/16367/15925/20192/14433/66052/22151/66152/225887/19167/12859/22153/67942/26417/26413/13063/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/14296/26442/26446/230075/26408/214922/12865/16572/12995/641340/93897/100041273",327
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","387/5355","471/9045",5.26688555112673e-28,5.82868667658025e-26,2.10675422045069e-26,"22142/14368/13385/67951/13058/18126/73710/14371/14362/26420/12288/11938/12858/216795/12006/66925/66108/110157/11950/11836/12313/22154/19353/22201/53623/19182/13163/69875/109880/68198/26400/53333/17274/66043/13544/74764/12028/12122/29869/68942/26395/68349/19185/641376/19172/11789/68015/11951/16573/12387/21762/20907/12048/22190/22335/22213/215999/67680/84682/19165/226646/17991/12864/12977/19170/19166/18412/22411/67126/11740/54405/18803/22123/69077/12867/271457/19175/14778/17762/228033/26397/12315/22187/19164/11783/66414/56480/23805/19324/75406/66594/22333/78294/22433/26399/19184/78943/66997/53313/67128/13543/26443/56444/13665/19179/110616/16593/20191/67530/66945/407785/66413/69590/17993/22334/19056/12325/67089/105675/26419/22418/19057/19173/66218/67819/54152/27373/67130/66445/29857/56637/68194/11957/11820/28080/20655/22410/22143/68202/140499/19132/50873/78330/72900/12005/20463/13001/67847/93687/67665/12322/14682/329015/14102/16594/16973/19697/12333/12015/18797/12369/67264/54130/15108/11947/13198/69654/11946/23997/12869/15461/22273/11949/12364/20617/12421/227197/74018/12370/66495/22145/70247/67273/12292/12334/226641/71648/19177/16574/14828/68375/59029/22030/56791/12359/51897/26444/66734/67414/66046/22065/67738/22414/18176/56811/19055/18033/56228/73205/53598/269523/67305/21938/595136/68943/26445/12371/19181/57320/12568/56717/170731/13542/15194/22223/18125/67151/22241/74781/17992/93735/16438/53857/22419/16974/16653/16439/21937/50490/57296/20190/23996/68197/11937/26440/12862/233908/59288/70316/67003/104130/14082/66142/22428/12367/11739/13666/67443/12857/13191/75600/26441/12866/75669/74153/233871/73916/22420/214585/225326/80796/66916/19058/69926/12460/71679/26396/56208/66091/12868/18391/67184/66725/12314/110323/227613/22417/14370/66377/68118/226977/100504663/17995/103199/66694/22195/56436/17463/18798/215114/68342/407790/269881/228361/232943/14369/76559/230908/12861/66416/52639/218460/11911/105000/20422/20239/217695/16440/22146/22272/14367/12671/13000/20238/240960/212398/12064/12569/237782/14366/57265/18750/18795/18751/19094/26416/108058/56491/12043/20192/12018/12323/66052/22151/66152/225887/19167/12859/22153/67942/26417/26413/13063/14775/66576/21353/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/14296/20743/64704/26442/26446/52335/230075/26408/18951/12865/16572/12995/641340/18752/19122/93897/100041273/22186",387
"mmu04714","mmu04714","Thermogenesis","209/5355","231/9045",7.88291446627824e-27,6.54281900701094e-25,2.36487433988347e-25,"12894/26427/19017/23945/19016/11465/12858/66925/66108/11950/20587/69875/68198/22084/66043/16890/20111/18749/18747/68349/11515/11951/241113/78070/93760/67680/84682/67605/226646/17991/12864/67126/54405/52469/12867/228033/14081/26397/66414/75406/66594/327826/216739/432530/72508/69802/104111/70127/214663/67530/210044/66945/407785/17993/104110/66218/67130/66445/29857/68194/224129/11957/28080/11512/83797/66379/68202/20112/78330/73694/72900/56716/20662/20463/58988/67155/433256/67264/68094/11947/11946/12869/15461/66853/74370/22273/11949/12912/227197/66495/76178/67273/66359/64930/68375/11909/69702/69487/14683/56456/66046/18176/18160/68493/12913/20104/108079/12896/595136/108099/19744/66993/56717/19079/11461/17992/16653/103968/29861/68197/12862/70316/67003/104130/66142/50790/110651/14182/11513/12857/20586/12866/20588/57279/12163/74205/66916/71679/50721/20663/231430/66091/12868/67184/110323/99982/66377/17995/57376/108097/66694/208647/57423/27425/277250/70673/226139/68342/407790/12861/66416/70383/68185/22272/68033/12856/69893/76947/105787/11958/67892/19091/231991/19094/26416/104263/66052/329003/66152/225887/14784/12859/67942/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/19082/75597/239985/66706/230075/26408/12865/208501/83796/12895/100041273/66272",209
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species","198/5355","222/9045",1.4907737855667e-23,9.89873793616286e-22,3.57785708536007e-22,"14859/14281/56615/13106/18753/13649/13078/11622/16476/13850/26420/19271/14872/12858/66925/66108/110157/11950/11836/14871/103140/11651/19353/69875/109880/68198/18760/26400/66043/50868/57344/18104/14866/68312/11652/16151/26395/15368/68349/11951/13057/20656/22335/17295/67680/84682/226646/19211/17991/12864/11863/18024/17969/67126/11740/54405/12867/228033/23797/66414/75406/66594/22333/18806/53859/18035/15251/67530/66945/407785/17993/22334/105675/26419/66218/67130/66445/14083/29857/68194/11957/28080/20655/68202/171429/22339/78330/75292/72900/18607/20662/20463/19697/12015/14873/12675/67264/11947/11946/12869/15461/22273/11949/227197/66495/67273/17970/11352/66447/11350/68375/12359/19246/20779/18706/66046/18805/18176/14865/13645/18033/595136/58810/18710/17992/16653/50490/68197/12862/70316/67003/104130/66142/16150/11739/12857/18709/13076/12866/14860/74769/26398/66916/13521/71679/20663/26396/66091/12868/67184/110323/66377/17995/66694/13849/18707/68342/407790/14863/101540/18708/12861/66416/19247/11431/22272/56484/12408/13107/19094/26416/66052/14862/66152/225887/14784/12859/67942/26417/26413/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/230075/26408/12865/100041273",198
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","304/5355","369/9045",1.67208735861717e-22,9.25221671768169e-21,3.34417471723434e-21,"22142/67951/18126/73710/11465/12858/66925/66108/11950/22154/19353/227720/19182/13163/69875/68198/53333/17274/66043/19386/74764/12028/12122/29869/68942/53379/56085/68349/19185/641376/19172/108989/11951/16573/21762/12048/94232/215999/67680/84682/53319/226646/17991/12864/19170/19166/18412/67126/54405/18141/22123/69077/12867/271457/19175/18643/14778/228033/26397/74412/11783/66414/56480/19324/75406/66594/22333/22433/26399/382562/19184/78943/66997/445007/26443/56444/13665/19179/16593/218210/67530/66945/407785/66413/69590/17993/11750/19056/67089/11744/19057/170762/19173/66218/67819/54152/67130/66445/29857/68194/11957/28080/20655/22143/68202/19132/50873/78330/225027/72900/20463/67665/329015/16594/12015/21681/67264/54130/11947/13198/69654/11946/23997/12869/22273/11949/12364/12362/12421/227197/74018/66495/22145/70247/67273/226641/71648/19177/16574/14828/68375/59029/22030/69482/12359/51897/66679/26444/66734/66046/18645/19055/73205/433702/53598/269523/67305/21938/72787/595136/68943/26445/12371/19181/56717/18125/67151/22241/74781/11461/17992/54563/53857/110379/21937/57296/23996/68197/26440/12862/233908/59288/70316/67003/104130/15185/66142/22428/12367/13666/67443/12857/13191/26441/83961/12866/75669/233871/71805/214585/225326/66916/19058/69926/12460/71679/269113/56208/69736/66091/12868/18391/67184/110323/227613/56488/66377/68118/17184/226977/100504663/17995/103199/66694/70699/56436/17463/234865/69912/68342/407790/228361/19069/232943/76559/230908/12861/66416/52639/218460/237082/11911/105000/20422/20239/16440/22146/269254/22272/15382/240960/237782/103172/54609/59015/227699/103468/19094/107939/26416/56491/12043/66052/22151/229279/66152/22059/225887/19167/56009/12859/22153/67942/269966/13063/14775/66576/21353/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/26442/26446/230075/20383/26408/11727/12865/16572/641340/72124/100041273/18226/71844",304
"mmu05415","mmu05415","Diabetic cardiomyopathy","188/5355","211/9045",2.70653947893972e-22,1.28367301001141e-20,4.63978196389666e-21,"17390/12825/12843/12842/18753/13058/27273/12491/26420/11938/12858/66925/66108/11950/20683/11651/19353/69875/68198/21803/66043/14936/11652/19047/68349/16337/11951/13057/21812/13033/22335/67680/84682/226646/19211/17991/12864/19046/17969/67126/11740/54405/17395/12867/20528/228033/23797/66414/75406/66594/14584/22333/11421/53313/21809/20191/67530/66945/407785/68263/17993/22334/12325/105675/26419/17228/66218/19013/67130/66445/29857/56637/68194/11957/28080/68202/55951/78330/72900/20463/17126/12322/19697/18797/67264/11947/11946/12869/22273/11949/227197/66495/67273/17970/11545/70456/68375/18706/66046/18033/12896/20525/595136/18710/18127/56717/18762/17992/14583/68197/11937/12862/70316/67003/104130/66142/18597/14381/14782/11739/12857/18709/11606/12866/17127/21813/74769/210789/19354/66916/71679/236900/66091/12868/67184/110323/66377/17995/66694/18821/18604/21808/110854/18707/18798/68342/407790/19045/18708/12861/66416/22272/11607/18750/18795/18751/19094/26416/108058/16367/14433/12323/66052/66152/225887/17227/12859/67942/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/230075/12865/18752/12895/100041273/434233",188
"mmu05016","mmu05016","Huntington disease","255/5355","302/9045",4.93068166109427e-22,2.04623288935412e-20,7.39602249164141e-21,"26427/19017/22142/13385/67951/19016/73710/26420/12858/66925/66108/11950/20683/22154/53623/170770/19182/69875/68198/26400/11772/66043/74764/12028/21780/66420/29869/20020/20512/68349/19185/19172/11951/16573/20656/21762/20907/232910/22335/67680/84682/226646/17991/12864/21374/19170/19166/67126/11740/54405/22123/69077/12867/19175/14778/228033/69920/15182/11783/66414/75406/66594/22333/19184/78943/66997/245841/26443/56444/19179/16593/67530/66945/407785/66413/69590/17993/22334/67089/105675/26419/19173/66218/54152/67130/12914/66445/68194/11773/11957/28080/20655/22143/68202/78330/72900/20463/69241/67665/14682/329015/16594/18797/67264/54130/11947/69654/11946/23997/12869/22273/11949/12421/12912/227197/12370/66495/22145/70247/67273/19177/16574/68375/59029/22030/51897/26444/66046/53598/12913/12757/67305/595136/433759/26445/12371/19181/56717/15194/19712/231329/67151/22241/74781/17992/16438/53857/57296/23996/68197/26440/12862/59288/70316/67003/104130/66142/22428/12367/11739/20021/12857/13191/26441/12866/75669/73916/69833/225326/66916/69926/71679/56208/71770/66091/12868/67184/110323/227613/66377/68118/226977/100504663/21817/217864/17995/66694/66491/208647/56436/17463/228980/20022/18798/215114/68342/407790/269881/228361/232943/76559/12861/66416/52639/105000/20422/20466/22146/22272/17749/67300/240960/74325/12064/18795/231991/72504/328572/66052/18181/22151/66152/22059/225887/19167/11771/12859/22153/67942/13063/14775/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/26442/26446/230075/237336/26408/67710/12865/16572/641340/100041273",255
"mmu05020","mmu05020","Prion disease","230/5355","268/9045",6.25500880163515e-22,2.30740324682541e-20,8.34001173551353e-21,"109828/26427/18753/22142/67951/13058/73710/26420/12288/12390/12858/66925/66108/11950/22154/19353/19182/69875/68198/66043/74764/12028/18749/18747/68349/19185/19172/11951/13057/16573/21762/15482/12389/22335/215999/67680/84682/226646/17991/12864/19170/69379/12915/15481/19166/17969/67126/11740/54405/22123/69077/12867/19175/228033/14360/11783/66414/75406/66594/22333/19184/66997/26443/13665/19179/16593/20191/67530/66945/407785/66413/17993/22334/19056/67089/105675/26419/19057/19173/66218/67130/66445/29857/56637/68194/11957/28080/20655/22143/68202/78330/72900/20463/13001/16594/12015/20867/67264/11947/13198/11946/23997/12869/22273/11949/12364/12912/227197/66495/22145/70247/67273/12292/226519/17970/19177/16574/14828/68375/59029/18128/11909/26444/18706/66046/19055/12913/595136/18710/26445/12371/19181/67151/17992/16438/53857/16439/57296/20190/23996/68197/26440/12862/70316/67003/104130/66142/12367/11739/13666/12857/18709/26441/12866/74769/19354/66916/19058/71679/66091/170483/12868/67184/110323/227613/12259/12262/12260/66377/17995/13653/66694/208647/56436/17463/17967/18707/68342/407790/232943/18708/12861/66416/11911/20422/16440/22146/22272/13000/231991/19094/26416/20192/66052/22151/66152/225887/15512/19167/12859/22153/67942/12391/26417/26413/13063/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/26442/26446/230075/12865/16572/12995/19122/100041273/15511/193740",230
"mmu04510","mmu04510","Focal adhesion","181/5355","203/9045",1.37810186093485e-21,4.57529817830371e-20,1.65372223312182e-20,"22370/23928/12833/12834/12843/14268/12842/12826/12643/12827/12835/16777/21825/12445/18596/12845/192897/21826/17906/57342/13649/22324/13730/16476/18595/67268/12830/12829/319480/192176/16773/20750/26420/11465/320910/16421/21923/12390/12444/110157/18591/16402/16400/11651/19353/22371/109880/11652/19047/18654/26395/59310/16001/12929/12540/12387/12389/11848/17295/13712/22325/19211/19046/109711/16398/16776/12928/170758/232807/23797/14360/16775/17931/16000/216148/14257/19878/16416/21828/22330/26419/170736/13731/14083/224105/56637/16419/107589/22339/18607/20662/19877/16774/13367/12015/22340/286940/16404/15461/16412/18590/11798/12839/226519/16782/12334/16780/241226/16420/16401/16410/16403/228785/20779/18706/13645/54635/21827/18720/21894/18710/19303/11461/14254/22793/22323/70584/17907/18479/16202/14205/22341/18709/12927/11796/71785/74769/19354/81877/57257/16399/20663/67938/18717/271849/11855/104099/107746/18707/19045/18708/109700/19699/20416/245026/238564/18750/215449/70549/18751/16779/60595/12043/11797/232906/330662/14784/13866/12391/16542/26417/26413/98932/68794/109905/12443/329251/18752/12828/213119/434233",181
