ID,Term_Description,Fold_Enrichment,occurrence,lowest_p,highest_p,Up_regulated,Down_regulated,Cluster,Status
mmu05143,African trypanosomiasis,29.833053221288516,10,1.2647071747623351e-8,6.311752592598167e-8,,"HBA-A2, HBA-A1, HBB-BT, HBB-BS",1,Representative
mmu05144,Malaria,21.753267973856207,10,2.349949599553596e-8,1.171867194926541e-7,,"HBA-A2, HBA-A1, HBB-BT, HBB-BS",1,Member
mmu04115,p53 signaling pathway,12.047963800904977,10,5.142492019544905e-7,0.0030377454308105705,GADD45B,"GADD45G, BCL2L1",2,Representative
mmu05220,Chronic myeloid leukemia,10.44156862745098,10,5.142492019544905e-7,0.0030377454308105705,GADD45B,"BCL2L1, GADD45G",2,Member
mmu05212,Pancreatic cancer,10.304179566563468,10,5.142492019544905e-7,0.0030377454308105705,GADD45B,"BCL2L1, GADD45G",2,Member
mmu05222,Small cell lung cancer,8.701307189542483,10,7.674899141053407e-7,0.0035548561720740624,GADD45B,"GADD45G, BCL2L1",2,Member
mmu04210,Apoptosis,5.977997305792546,10,2.8084412075814633e-6,0.006033891305959517,GADD45B,"BCL2L1, GADD45G",2,Member
mmu05202,Transcriptional misregulation in cancer,4.804402742692169,10,5.469735669218626e-6,0.0074414757059015225,GADD45B,"BCL2L1, GADD45G",2,Member
mmu05225,Hepatocellular carcinoma,4.66141456582633,10,5.469735669218626e-6,0.0074414757059015225,GADD45B,"BCL2L1, GADD45G",2,Member
mmu05216,Thyroid cancer,14.110227874933758,10,7.77631442438424e-6,0.0030377454308105705,GADD45B,GADD45G,3,Representative
mmu05213,Endometrial cancer,9.001352265043948,10,2.50086980606966e-5,0.0030377454308105705,GADD45B,GADD45G,3,Member
mmu05217,Basal cell carcinoma,8.286959228135698,10,2.50086980606966e-5,0.0030377454308105705,GADD45B,GADD45G,3,Member
mmu05223,Non-small cell lung cancer,7.910279263220439,10,2.50086980606966e-5,0.0030377454308105705,GADD45B,GADD45G,3,Member
mmu05218,Melanoma,7.251089324618736,10,2.50086980606966e-5,0.0030377454308105705,GADD45B,GADD45G,3,Member
mmu05214,Glioma,7.151759333870534,10,2.50086980606966e-5,0.0030377454308105705,GADD45B,GADD45G,3,Member
mmu05210,Colorectal cancer,5.93270944741533,10,3.416688314922236e-5,0.0035548561720740624,GADD45B,GADD45G,3,Member
mmu04110,Cell cycle,4.279331404693025,10,7.85670393730806e-5,0.006033891305959517,GADD45B,GADD45G,3,Member
mmu05224,Breast cancer,3.6005409060175797,10,1.0580432883368662e-4,0.0065230252852395195,GADD45B,GADD45G,3,Member
mmu05226,Gastric cancer,3.6005409060175797,10,1.0580432883368662e-4,0.0065230252852395195,GADD45B,GADD45G,3,Member
mmu04010,MAPK signaling pathway,1.8002704530087899,10,6.362014261108422e-4,0.0030377454308105705,GADD45B,GADD45G,3,Member
mmu04218,Cellular senescence,4.746167557932264,10,1.37347808801111e-4,0.0074414757059015225,GADD45B,"H2-Q10, GADD45G",4,Representative
mmu05169,Epstein-Barr virus infection,3.8015419760137066,10,2.401697867386282e-4,0.01064708750782789,GADD45B,"H2-Q10, GADD45G",4,Member
mmu04150,mTOR signaling pathway,3.4122773292323463,10,4.70401961798108e-4,4.70401961798108e-4,,"DDIT4, SGK1",5,Representative
mmu04151,PI3K-Akt signaling pathway,2.237478991596639,10,0.002847081358838443,0.002847081358838443,,"DDIT4, SGK1, BCL2L1",5,Member
mmu05166,Human T-cell leukemia virus 1 infection,4.579635362917097,10,7.636915587219158e-4,0.0015668459579383548,EGR1,"H2-Q10, ZFP36, BCL2L1",6,Representative
mmu05014,Amyotrophic lateral sclerosis (ALS),5.0199849170437405,10,0.002133304048634952,0.007075281093178586,,BCL2L1,7,Representative
mmu04137,Mitophagy - animal,4.143479614067849,10,0.0030004541538435976,0.0101258181027019,,BCL2L1,7,Member
mmu04215,Apoptosis - multiple species,8.701307189542483,9,0.0046472805299386175,0.0046472805299386175,,BCL2L1,7,Member
mmu05145,Toxoplasmosis,2.439618838189481,10,0.010190436900750225,0.01840103954194378,,BCL2L1,7,Member
mmu05162,Measles,1.8779799689660037,10,0.010190436900750225,0.012886207381048363,,BCL2L1,7,Member
mmu04621,NOD-like receptor signaling pathway,1.572525395700449,9,0.013210112706246011,0.013210112706246011,,BCL2L1,7,Member
mmu04014,Ras signaling pathway,1.155040777372896,10,0.01955140495112647,0.03382821346453225,,BCL2L1,7,Member
mmu00062,Fatty acid elongation,29.004357298474947,10,0.003526984448545346,0.003526984448545346,"ACOT1, ACOT2",ELOVL6,8,Representative
mmu01040,Biosynthesis of unsaturated fatty acids,37.29131652661064,10,0.003526984448545346,0.003526984448545346,"ACOT1, ACOT2","ELOVL6, SCD1",8,Member
mmu00030,Pentose phosphate pathway,8.157475490196077,10,0.003526984448545346,0.003526984448545346,,TKT,9,Representative
mmu00500,Starch and sucrose metabolism,8.701307189542483,10,0.00529047667281802,0.00529047667281802,,PYGL,10,Representative
mmu04068,FoxO signaling pathway,7.970663074390061,10,0.006033891305959517,0.011912526707108283,GADD45B,"SGK1, GADD45G, S1PR1",11,Representative
mmu04064,NF-kappa B signaling pathway,8.331038798498122,10,0.006405504805731372,0.015087901846843612,"EDA2R, GADD45B",BCL2L1,12,Representative
mmu04960,Aldosterone-regulated sodium reabsorption,6.8694530443756445,10,0.007507419233126343,0.007507419233126343,,SGK1,13,Representative
mmu04668,TNF signaling pathway,2.351704645822293,9,0.010190436900750225,0.010190436900750225,JUNB,,14,Representative
mmu04935,"Growth hormone synthesis, secretion and action",2.269906223358909,9,0.010190436900750225,0.010190436900750225,JUNB,,14,Member
mmu04380,Osteoclast differentiation,2.1753267973856207,9,0.010190436900750225,0.010190436900750225,JUNB,,14,Member
mmu04140,Autophagy - animal,3.8107914698726204,10,0.010190436900750225,0.01840103954194378,,"DDIT4, BCL2L1",15,Representative
mmu04975,Fat digestion and absorption,6.693313222724987,10,0.01579633584111055,0.01579633584111055,,DGAT2,16,Representative
mmu00561,Glycerolipid metabolism,4.746167557932264,10,0.015802914013310534,0.015802914013310534,,DGAT2,16,Member
mmu04080,Neuroactive ligand-receptor interaction,1.5965701265215566,10,0.01822483893632613,0.01822483893632613,,"ADORA1, S1PR1",17,Representative
mmu04071,Sphingolipid signaling pathway,4.279331404693025,10,0.01840103954194378,0.01840103954194378,,"ADORA1, S1PR1",17,Member
mmu04931,Insulin resistance,4.879237676378962,10,0.01840103954194378,0.01840103954194378,TBC1D4,PYGL,18,Representative
mmu04919,Thyroid hormone signaling pathway,2.2311044075749957,10,0.01840103954194378,0.01840103954194378,TBC1D4,,19,Representative
mmu05170,Human immunodeficiency virus 1 infection,2.4510724477584462,10,0.01955140495112647,0.03378194264684992,,"BCL2L1, H2-Q10",20,Representative
mmu05168,Herpes simplex virus 1 infection,1.8712488579661255,10,0.047467358315199555,0.047467358315199555,,"H2-Q10, BCL2L1",20,Member
mmu04630,JAK-STAT signaling pathway,3.2629901960784315,10,0.02232325432035405,0.02232325432035405,,"CNTFR, BCL2L1",21,Representative
mmu05410,Hypertrophic cardiomyopathy (HCM),5.800871459694989,6,0.022779594921695553,0.022779594921695553,SLC8A1,MYL2,22,Representative
mmu05414,Dilated cardiomyopathy (DCM),5.613746573898377,6,0.022779594921695553,0.022779594921695553,SLC8A1,MYL2,22,Member
