symbol,logFC,FDR
Ddit4,2.22352620326509,3.35801841758226e-9
Cebpd,1.24408347589934,1.21500047286874e-6
Mt1,0.909017559165706,1.44710145021756e-4
Mt2,1.04160406439394,2.63859104723314e-4
Odf3l2,0.739520109210409,2.63859104723314e-4
Blzf1,-0.544242799616145,4.50512179477302e-4
Zfp36,0.930513735852814,0.00245040476413048
Pim1,-0.558230492259815,0.00521147007122058
6430548M08Rik,0.549355954008212,0.00738754254314546
Irs2,0.496106896973539,0.00784346479286399
Rhob,0.549710100008404,0.00784346479286399
Adnp,-0.980278838444418,0.00922349884282257
Gadd45g,1.10886263898749,0.0147944893540982
Depp1,1.12536035456888,0.0147944893540982
Arrdc2,0.546036960042433,0.0190985904077145
Ccn2,0.54990525915983,0.0190985904077145
Csrnp1,0.874431249952721,0.0276784817828863
Gm26714,0.954364268718173,0.0284642945535713
Tcim,0.585741633634596,0.0428608371408841
