ID,Term_Description,Fold_Enrichment,occurrence,lowest_p,highest_p,Up_regulated,Down_regulated,Cluster,Status
mmu04140,Autophagy - animal,16.195863746958636,10,2.54262967599287e-4,2.54262967599287e-4,"IRS2, DDIT4",,1,Representative
mmu05206,MicroRNAs in cancer,21.199044585987263,10,2.54262967599287e-4,2.54262967599287e-4,"DDIT4, IRS2",PIM1,1,Member
mmu04150,mTOR signaling pathway,7.251089324618736,10,0.011223660534630232,0.011223660534630232,DDIT4,,1,Member
mmu04930,Type II diabetes mellitus,23.11284722222222,10,0.004013333307453459,0.004013333307453459,IRS2,,2,Representative
mmu04213,Longevity regulating pathway - multiple species,17.893817204301076,10,0.005042473160794188,0.005042473160794188,IRS2,,2,Member
mmu04920,Adipocytokine signaling pathway,15.625586854460094,10,0.005298733188369582,0.005298733188369582,IRS2,,2,Member
mmu04923,Regulation of lipolysis in adipocytes,19.811011904761905,8,0.006723297547725584,0.006723297547725584,IRS2,,2,Member
mmu04211,Longevity regulating pathway,12.32685185185185,10,0.007109712344148125,0.007109712344148125,IRS2,,2,Member
mmu04931,Insulin resistance,10.368380062305295,10,0.008578612904007622,0.008578612904007622,IRS2,,2,Member
mmu04935,"Growth hormone synthesis, secretion and action",9.647101449275363,10,0.008578612904007622,0.008578612904007622,IRS2,,2,Member
mmu04152,AMPK signaling pathway,9.168732782369146,10,0.008578612904007622,0.008578612904007622,IRS2,,2,Member
mmu04910,Insulin signaling pathway,8.097931873479318,10,0.009899247753686446,0.009899247753686446,IRS2,,2,Member
mmu04068,FoxO signaling pathway,16.93765903307888,8,0.009899247753686446,0.009899247753686446,"IRS2, GADD45G",,2,Member
mmu04932,Non-alcoholic fatty liver disease (NAFLD),7.7042824074074066,8,0.009942491787806006,0.009942491787806006,IRS2,,2,Member
mmu04022,cGMP-PKG signaling pathway,6.525980392156862,8,0.02176992975915939,0.02176992975915939,IRS2,,2,Member
mmu04978,Mineral absorption,45.28231292517006,8,0.012551710222837315,0.012551710222837315,"MT2, MT1",,3,Representative
