symbol,logFC,FDR
Gm49388,5.20959564986087,1.36046152402995e-9
Angptl7,-0.909032511263729,1.15207019632629e-5
Vtn,-1.14861690985158,2.37904427140852e-5
Fmod,-0.901672077625127,3.70649674005727e-4
Gadd45a,1.12345705391943,0.00412302323730245
Grik3,-2.10277316607818,0.00656875000114498
Lamc3,-1.85138453451964,0.00656875000114498
Gm47283,0.65869412236841,0.0104279161360725
C3,-0.983775003243292,0.0124318584564391
Tmem254,-1.52412683354737,0.0124318584564391
Col6a1,-1.08317051168182,0.0190721588398929
Rnase4,-0.664780214050011,0.0237486735768955
Mmp2,-0.785758445218446,0.0256534265453306
Chrna1,0.591022730781261,0.0266574580301653
C1ra,-0.76618996202993,0.0266574580301653
Col3a1,-1.62941390013867,0.0272804361977648
Col6a2,-1.12133770132632,0.0359022526119832
Cfh,-0.958938084880401,0.0359022526119832
Mast4,-0.48350919640008,0.0391394697679566
