symbol,logFC,FDR
Odf3l2,-2.49910666521382,5.04075553843826e-26
Nmrk2,1.81675642692356,7.98450309454378e-17
Gm49388,6.41330726534146,1.61432118905864e-16
Inmt,-1.30068022199507,1.71459480136054e-13
Lincmd1,3.60482113841543,2.95957661263435e-11
Cyp2e1,-2.34250023574649,1.31218080204126e-10
Nhs,-1.74751843486775,1.35970222209342e-10
Gm49378,-7.18797232437264,1.73611202985123e-10
Gm9747,0.99589876262048,2.12278243067618e-10
Adh1,-1.07934997037485,1.08602428563134e-9
Gm38431,3.83982487443281,1.08602428563134e-9
Fasn,-1.14191640954376,1.18228590499888e-9
Galnt15,-0.963964698826819,5.62930685021192e-9
Gdf10,-1.63444925411021,1.27106504935712e-8
Prelp,-1.21418506053274,4.18464073203226e-8
Irs1,0.992678019632406,1.06949367358723e-7
Cdo1,-1.73515532056111,5.53836813777974e-7
Mettl21e,-0.828359602826853,3.21199894433609e-6
Tfdp2,-0.760064950233246,4.00983835460869e-6
Tnfrsf12a,1.18095516325946,6.42081786258587e-6
Klf10,0.860415627788828,6.42081786258587e-6
Dcn,-0.810152939871093,7.39162929561294e-6
Nr4a1,1.06032463745594,1.06706326910773e-5
Glul,-0.91293179331589,1.06706326910773e-5
Asb15,-0.8862262298031,1.23873823812951e-5
Cep85l,-1.38337984708565,1.94923215911619e-5
Zcchc24,-0.67668031987091,1.94923215911619e-5
Tra2a,0.736105241615103,1.95785359123796e-5
Gm16062,0.897650533440837,2.14656613323165e-5
Mir22hg,-0.610999160424899,2.49898632146911e-5
Jund,0.704397828376833,3.07979818098114e-5
Col15a1,0.673820393797612,3.62949892076314e-5
Spns2,-0.644028801501727,4.0389324914443e-5
Gm15943,-0.737848138636809,4.0389324914443e-5
Arrdc2,-1.31333060767199,4.33034503092982e-5
Pik3r1,-0.84723962166984,4.45371006275344e-5
Thbs2,-1.37715382975404,4.50446683546052e-5
Csrp3,1.80358485320787,4.89943333540951e-5
Azin1,0.611292229979702,4.9631170823595e-5
Avil,0.853705365441447,5.05653050409113e-5
Retn,-1.51346974941231,5.49389204431123e-5
Serpinh1,0.616964026873308,6.80340569633098e-5
Stab2,-0.774481950131016,8.6360787054788e-5
Gm11175,0.798759437722776,9.73860813862476e-5
Angptl7,-2.37720256976013,9.82939824028346e-5
Zbtb16,-0.745572203301326,1.01929634446036e-4
Dynll1,0.630218112320702,1.02527490315551e-4
Slc47a1,0.586040036863688,1.11574655366818e-4
C3,-0.895169877390971,1.11574655366818e-4
Bhlhe40,0.613330725641502,1.11574655366818e-4
Fam102b,-0.888610979519772,1.16670126187772e-4
Pdgfb,0.647360746114917,1.18340605525947e-4
Rnase4,-0.634531423620796,1.21341754054723e-4
Itpkb,0.70985147371952,1.30763639896761e-4
Gm52969,1.47062030919926,2.29062444097774e-4
Tppp3,0.649698845051637,2.7352350328889e-4
Nploc4,-0.604538178938825,2.7352350328889e-4
Fbln1,-1.22422644493387,2.87059939647989e-4
Slc43a1,-0.891598739235348,3.38106213518654e-4
Pik3ip1,-0.582951069793062,3.71957091117745e-4
Nctc1,-0.589703579174195,3.71957091117745e-4
Serping1,-0.635754105190259,3.96406800309431e-4
Gpnmb,-1.20694879076324,4.33400315591107e-4
Armcx4,0.701829090761198,4.33400315591107e-4
Klhl33,-0.597737176125172,4.37679359332924e-4
Igfbp3,-0.87872417843013,4.53796519403758e-4
Apoe,-0.583744411229163,4.57264670841285e-4
Gm27029,1.70563221570679,4.66661298397932e-4
Scd1,-2.30136571495087,4.89840433900318e-4
Shisa2,0.587682782487323,5.06991062162368e-4
Net1,-0.626527496485207,5.21452140013235e-4
Ccn1,-0.862378157060451,5.21452140013235e-4
Ccbe1,-1.5515330853992,5.52927710006784e-4
Mt2,-1.16678472020039,5.75480886650484e-4
Mmrn1,-1.47024123282934,6.22196150494823e-4
Skil,0.767993544566906,6.22794908377899e-4
Pdlim1,0.991001121203638,6.89980185622521e-4
Ifi203,1.03941361752509,6.95981756087188e-4
Glb1l2,-1.46162338763558,7.47120150442269e-4
Thbs1,-1.41216971207095,7.53905494941391e-4
Rasd2,-0.626048868716337,7.97408573901283e-4
Fmo2,-0.654252881918281,7.97408573901283e-4
Ube4a,-0.655275473684534,7.97408573901283e-4
Slfn5,0.528369839698212,8.32518483235981e-4
Slc7a2,-0.758125091981633,8.35326363476951e-4
Ccdc9b,-0.524007871345559,8.54318759768868e-4
Hp,-1.83104191398938,8.76736245011254e-4
Bex1,0.562346742062894,8.76736245011254e-4
Fam110a,1.40316099279758,8.78849234361583e-4
Gucd1,-0.591212157812432,9.07592325402269e-4
Dusp8,0.610803000633121,0.00106826190064547
Mgp,-0.541217978222941,0.00107169836964006
Timp3,-0.584849020507682,0.00108379336998573
Hook1,-0.486365348558163,0.00123660202860525
Vldlr,-0.613562142401498,0.00126306207793776
Mid1ip1,-0.632578717208147,0.00128115618443546
Ccdc3,-1.36090043364182,0.00128115618443546
Odf2,-0.630809630208424,0.00130043055964478
H2-Q10,-2.14025913204482,0.00130043055964478
Cyp2f2,-2.4068707752637,0.00134199877354757
Sh3rf2,-0.631052669430613,0.00136473463787731
Tgfbr3,-0.563977263214032,0.00143380358307576
Zfp956,-0.552333681740937,0.00182664551211602
Gm20427,1.67920508893383,0.0018313695878529
Gm49380,2.37145722550697,0.00194594499944555
Doc2b,-2.06858843089673,0.00198800776346354
Pde10a,0.855466372229228,0.00198800776346354
Ddx46,-0.496929771744207,0.00201392574334461
Tnmd,-1.72520430357871,0.00210844102128049
Slc25a25,1.42249555737956,0.00212517300520538
Klhl38,-0.575949721346062,0.00222147866723233
Rbp4,-1.53286816702035,0.00222147866723233
Myh3,0.872047944973135,0.00228880984980941
Arhgap20,0.491850037018676,0.002730796273671
Krt18,-1.53974117691954,0.00287960686204212
Serpinf1,-0.917616291327073,0.00323059489059391
Armcx5,-0.725229497692045,0.00331491234610019
Dusp18,1.07096545013167,0.0033446470917997
Plpp1,0.450615393255377,0.00345556990235654
Ddr2,-0.527985692615526,0.00384461768529991
Gm13010,0.934707234960375,0.00387411544428142
Hif3a,-1.5927149465175101,0.00388296223440798
Uckl1os,-0.453772072150914,0.00395308156833345
Penk,-1.1403909518303,0.0040486302299601
Acvr1b,-0.75415614867772,0.00436473602431614
Khdrbs3,0.852517492391136,0.00436473602431614
Il6ra,-1.10276934402911,0.00436473602431614
Ntn1,-0.722911974587893,0.00444382043870536
Klf4,0.923446171676253,0.00468294530453509
Ppargc1b,0.793052726237595,0.00468294530453509
Slc1a5,-0.760168489698086,0.00469321239750766
Cebpa,-0.715857716928424,0.00513384195056192
Calm2,0.593786956522543,0.00513384195056192
Sec14l5,0.542849258581848,0.00513384195056192
Enox2,-0.678752144774953,0.00515558063190392
Tcim,0.860371738070774,0.005207810516327
Dpep1,-0.63947406398081,0.00523030464499637
Igfbp4,-0.56309801361871,0.00554478769853638
Lepr,-1.15155551920947,0.00575988091110498
Lrrc30,-0.64434577841417,0.00575988091110498
Gpam,0.530872348145641,0.00596776081145796
Hdac4,-0.512005762334588,0.0071270359868855
Nr4a2,1.75863146980381,0.0071270359868855
Fibin,-0.948620378304238,0.0072370751702163
Cd163,-0.826876161857015,0.00750027098653004
Dse,-0.833688028409616,0.00754025912632598
Eng,0.537537678868391,0.0075786672573614
Mknk1,-0.446554291354933,0.0075786672573614
Arhgef15,0.59377263067166,0.00760930978538355
Lvrn,-0.923671435737715,0.0078315601485219
Lsmem2,0.490431854848741,0.00787354079420369
Mlxipl,0.501580449898914,0.00787473174833525
Gm47108,0.470756919563574,0.00788340249207684
Xirp1,0.635146878039515,0.00823556324777355
Cilp,-0.997198563744111,0.0082760924543558
Mamstr,0.521521325646856,0.0082760924543558
Prodh,-0.813334782595204,0.00833375140238932
Gpr146,0.451136191255227,0.00857747076916766
Gm43672,-0.53209803329603,0.00857747076916766
Id1,0.862599709150196,0.0090993239685939
Itgb6,0.521486104866133,0.00941393349184193
Psd3,0.538795110265304,0.00954576323836747
Trf,-1.07714960369315,0.00954576323836747
Slit3,-0.842920880405114,0.00962146726414863
Homer2,0.565262461241731,0.0101144509016237
Zfp536,1.44341642601612,0.0101144509016237
Foxo6os,0.962625588500589,0.0101144509016237
Cdc42ep2,0.534848836533495,0.0103839986010025
Adprhl1,0.440561119208131,0.0105260926673124
Lep,-1.81984492152251,0.0105260926673124
Gm19410,1.56371930897244,0.0105260926673124
Dok5,1.32212158672477,0.0106513914113729
Gab1,-0.42305888808146,0.0106513914113729
Map3k6,-0.767976118607966,0.0112176842904491
Pcolce2,-0.787279684605569,0.0114296633606913
Frem2,1.30504573599206,0.0116458728515518
Fzd9,0.456160925368237,0.0116458728515518
Gm20431,2.54786215639736,0.0116458728515518
Gm8424,0.654127277227161,0.0117775644020738
Gm11266,-0.864360229118786,0.0118569385000139
Slc38a3,0.716073331966836,0.0123020858903315
Fbn1,0.508384079364807,0.012775105867444
Hspa1a,0.924998094976315,0.0134566961305106
Plekho1,0.618784692670201,0.0134970474142719
Syn3,-0.557014122317939,0.0134970474142719
Gsn,-0.661284116047415,0.0140383563472285
Gm7265,-0.642885118813325,0.0144153142844319
Mstn,-0.487534849009214,0.0149492905832616
Spock2,-0.807702098475033,0.0149492905832616
Gm11827,-1.32515630764141,0.0149498601466356
Yipf7,0.425466287964396,0.0150690121042823
Cebpd,-1.03440503518576,0.0150690121042823
Ets1,0.520077784126739,0.0153516881507427
Cpeb3,-0.415012318206677,0.0153516881507427
Col3a1,0.677906535780048,0.0158499531196949
Cd1d1,-1.19809128171542,0.0158499531196949
Gask1b,0.755812998119055,0.0163335465956016
Zc3h6,-0.50911702717547,0.0168113045535657
Id3,0.542690678856576,0.01744595855593
Cpxm2,-0.847650741456325,0.0177700969118213
Tfcp2l1,-1.07787136241256,0.017776064236024
Per3,-0.409826908025339,0.0182218959233573
Myo5a,-0.516697011622195,0.0188599256812906
H2bc6,0.622336674175142,0.0192026193540697
H4c8,0.547675808167462,0.0192026193540697
Acsl6,-0.45402527277204,0.0196558617247989
Myh10,0.643603539830903,0.0196558617247989
Pla2g7,-0.503152017393898,0.0196558617247989
Vegfa,0.455428814750541,0.0196558617247989
Fbxl4,-0.450293346087019,0.0196558617247989
4930523C07Rik,0.778026624432732,0.0196558617247989
Acp5,-1.69711071413138,0.0197113867703084
Pcp4l1,0.658011143722821,0.0197113867703084
Lmcd1,0.674543767923397,0.0199553810814301
Atp1b4,0.824264252264981,0.0201205406154193
Slc16a6,0.656347314967841,0.0201205406154193
Sult1a1,-0.489918205836649,0.0203471479864689
Svep1,-0.806253092153256,0.0219131269513209
4930481A15Rik,-0.998973208600947,0.0227955247387674
Strn4,-0.410943072241224,0.0228529446191575
Gm47484,0.44980086629097,0.0228529446191575
Maob,-0.481579132403091,0.0230642704771768
Anxa8,-1.74606837879532,0.0234855943011708
Ccdc171,1.1693973633595,0.0238748261828516
Lgi1,1.19472477157947,0.0238748261828516
Pakap,-0.983177448727269,0.0238748261828516
Thbs4,-1.15391526475586,0.0239836779055622
Cxcl14,-0.69858597999269,0.024197188309295
Ptger3,-1.86163771155466,0.0242447417632449
Lrmda,-1.01845638070934,0.0242447417632449
Cxcl12,0.48700940493918,0.0245049823595611
Fhl1,0.876992803744106,0.0260278286170074
Gm44421,-0.738190337335226,0.0260278286170074
Abca1,-0.478308791964567,0.0261493808946099
Crim1,-0.389622062478406,0.0261797502683666
Gse1,0.468468778842334,0.0261951843247892
Fxyd7,1.57660387505028,0.0266258420089382
Scara5,-0.447715187729944,0.0269969388877954
Myoc,-0.673216272005928,0.0269969388877954
Ppl,-0.627233222262899,0.0271093329549001
