ID,Term_Description,Fold_Enrichment,occurrence,lowest_p,highest_p,Up_regulated,Down_regulated,Cluster,Status
mmu04510,Focal adhesion,3.6953182827535156,10,1.571354423886364e-12,1.2347228609581422e-5,"COL4A1, ITGA6, ITGB6, PDGFB, VEGFA, KDR, PIK3CD","THBS1, COMP, THBS2, THBS4, PIK3R1",1,Representative
mmu04151,PI3K-Akt signaling pathway,2.716938775510204,10,1.7577009657928028e-10,2.4012995029626685e-6,"PDGFB, VEGFA, KDR, IRS1, COL4A1, ITGA6, ITGB6, PIK3CD, NR4A1","IL6RA, THBS1, COMP, THBS2, THBS4, PIK3R1, FOXO3",1,Member
mmu04512,ECM-receptor interaction,4.952752976190476,10,1.6725435013954814e-8,0.001247848337350236,"COL4A1, ITGA6, ITGB6","THBS1, COMP, THBS2, THBS4",1,Member
mmu05144,Malaria,4.952752976190475,10,3.506303872988178e-7,0.022217143394110773,,"THBS1, COMP, THBS2, THBS4",1,Member
mmu05165,Human papillomavirus infection,2.1289445628997865,10,1.0399137605453717e-5,0.0011930997717087093,"FZD9, COL4A1, ITGA6, ITGB6, PIK3CD, VEGFA","THBS1, COMP, THBS2, THBS4, PIK3R1, H2-Q10",1,Member
mmu04145,Phagosome,2.3006336405529955,8,2.7429507741252787e-5,2.7429507741252787e-5,,"H2-Q10, C3, THBS1, COMP, THBS2, THBS4",1,Member
mmu05219,Bladder cancer,2.9716517857142857,10,2.2003515746596203e-4,3.539537090106943e-4,VEGFA,THBS1,1,Member
mmu04213,Longevity regulating pathway - multiple species,6.710181451612904,10,1.754192197661583e-11,1.754192197661583e-11,"IRS1, IRS2, PIK3CD, HSPA1L, HSPA1A","PIK3R1, FOXO3",2,Representative
mmu04915,Estrogen signaling pathway,3.200240384615385,10,2.439766123832018e-10,9.315192510320939e-5,"HSPA1L, HSPA1A, PIK3CD, CALM2","FKBP5, KRT18, PIK3R1",2,Member
mmu04152,AMPK signaling pathway,5.403003246753247,10,1.036489514433365e-9,1.6026376842661418e-8,"IRS1, IRS2, PIK3CD","LEP, LEPR, PFKFB4, FOXO3, FASN, ACACA, SCD1, PIK3R1",2,Member
mmu04211,Longevity regulating pathway,3.9622023809523808,10,7.594301716759052e-9,1.0634081793011736e-5,"IRS1, IRS2, PIK3CD","PIK3R1, FOXO3, SESN1",2,Member
mmu04722,Neurotrophin signaling pathway,2.9966236494597838,10,2.1489693862767435e-8,5.283567564171656e-5,"PIK3CD, IRS1, CALM2","GAB1, PIK3R1, FOXO3",2,Member
mmu04068,FoxO signaling pathway,3.17581106870229,10,2.6792396250266482e-8,2.420024652012211e-5,"IRS1, IRS2, PIK3CD, HOMER2","PIK3R1, FOXO3, GADD45A",2,Member
mmu04923,Regulation of lipolysis in adipocytes,5.306521045918368,10,5.368947589304844e-8,2.4012995029626685e-6,"IRS1, IRS2, PIK3CD","PIK3R1, PTGER3",2,Member
mmu05205,Proteoglycans in cancer,2.6744866071428572,10,9.20582697148518e-8,9.20582697148518e-8,"PIK3CD, VEGFA, KDR, FZD9","GAB1, PIK3R1, DCN, TIMP3, THBS1",2,Member
mmu04370,VEGF signaling pathway,5.213424185463659,10,1.7213641973899835e-7,2.941303020589081e-7,"VEGFA, KDR, NFATC2, PIK3CD",PIK3R1,2,Member
mmu05213,Endometrial cancer,4.098830049261084,10,1.9090182697090908e-7,1.829563549112462e-4,PIK3CD,"PIK3R1, FOXO3, GADD45A",2,Member
mmu05223,Non-small cell lung cancer,3.602002164502164,10,2.879802563917326e-7,2.374722318387976e-4,PIK3CD,"PIK3R1, FOXO3, GADD45A",2,Member
mmu05211,Renal cell carcinoma,5.403003246753246,10,3.126550325723352e-7,3.366005421382383e-7,"VEGFA, PDGFB, PIK3CD, ETS1","GAB1, PIK3R1",2,Member
mmu04917,Prolactin signaling pathway,2.5471301020408164,10,3.295707287256009e-7,2.85646942033388e-4,PIK3CD,"PIK3R1, FOXO3",2,Member
mmu05206,MicroRNAs in cancer,3.4069893084622387,10,3.366005421382383e-7,3.366005421382383e-7,"VEGFA, IRS1, PIK3CD, IRS2, PDGFB","TIMP3, HDAC4, PIK3R1, THBS1",2,Member
mmu04935,"Growth hormone synthesis, secretion and action",2.5840450310559007,10,6.780806470401179e-7,1.1677081944123032e-6,"IRS1, IRS2, PIK3CD","PIK3R1, IGFBP3",2,Member
mmu04931,Insulin resistance,3.8881425233644857,10,9.131578204430729e-7,2.1411121576819906e-5,"IRS1, PIK3CD, IRS2, PPARGC1B, MLXIPL","PIK3R1, PYGB",2,Member
mmu04015,Rap1 signaling pathway,2.232226693494299,10,1.4045587161078908e-6,7.633912354777388e-6,"CALM2, PDGFB, VEGFA, KDR, ID1, PIK3CD","THBS1, PIK3R1",2,Member
mmu04014,Ras signaling pathway,2.1038242730720604,10,1.5015987973132304e-6,1.5015987973132304e-6,"PDGFB, VEGFA, KDR, CALM2, PIK3CD, ETS1","GAB1, PIK3R1",2,Member
mmu04930,Type II diabetes mellitus,4.952752976190475,10,1.6190359256997187e-6,1.948703591515899e-6,"IRS1, IRS2, PIK3CD",PIK3R1,2,Member
mmu04066,HIF-1 signaling pathway,3.2125965250965254,10,1.7583295812421991e-6,1.7583295812421991e-6,"PIK3CD, VEGFA","IL6RA, MKNK1, PIK3R1, TRF",2,Member
mmu04140,Autophagy - animal,1.7352711157455682,10,1.948703591515899e-6,4.8491659092572464e-5,"IRS1, IRS2, PIK3CD",PIK3R1,2,Member
mmu04910,Insulin signaling pathway,3.904360010427529,10,1.948703591515899e-6,3.863393355023822e-5,"IRS1, IRS2, PIK3CD, CALM2","PIK3R1, PYGB, ACACA, FASN, MKNK1",2,Member
mmu05418,Fluid shear stress and atherosclerosis,2.5112550301810863,10,4.459689264461224e-6,6.063734076441604e-6,"CALM2, KDR, PIK3CD, PDGFB, VEGFA",PIK3R1,2,Member
mmu04072,Phospholipase D signaling pathway,2.122608418367347,10,4.7064605467435505e-6,4.7064605467435505e-6,"PDGFB, PIK3CD, PLPP1","GAB1, PIK3R1",2,Member
mmu04150,mTOR signaling pathway,1.5538048552754433,10,4.8813551600265015e-6,0.0019178404371819027,"FZD9, IRS1, PIK3CD",PIK3R1,2,Member
mmu04062,Chemokine signaling pathway,1.6601406624102155,10,5.071333757877776e-6,0.0028185086290804097,"CXCL12, PIK3CD","CXCL14, PIK3R1, FOXO3",2,Member
mmu04218,Cellular senescence,3.241801948051948,10,6.223095493623143e-6,7.560508620139904e-4,"PIK3CD, ETS1, CALM2, NFATC2","PIK3R1, FOXO3, H2-Q10, GADD45A, IGFBP3",2,Member
mmu05212,Pancreatic cancer,3.1280545112781954,10,6.734851968862594e-6,1.2347228609581422e-5,"PIK3CD, VEGFA","PIK3R1, GADD45A",2,Member
mmu04960,Aldosterone-regulated sodium reabsorption,6.256109022556391,10,7.489116201567621e-6,5.4273753783772014e-5,"ATP1B4, IRS1, PIK3CD",PIK3R1,2,Member
mmu05100,Bacterial invasion of epithelial cells,2.785923549107143,10,7.995122853377533e-6,1.2300585886792926e-5,PIK3CD,"GAB1, PIK3R1",2,Member
mmu04973,Carbohydrate digestion and absorption,4.245216836734693,10,9.166091407366346e-6,0.001986468828782493,"ATP1B4, PIK3CD",PIK3R1,2,Member
mmu05218,Melanoma,3.301835317460317,10,1.2347228609581422e-5,1.2347228609581422e-5,"PDGFB, PIK3CD","PIK3R1, GADD45A",2,Member
mmu05214,Glioma,4.070755870841487,10,1.2347228609581422e-5,1.2347228609581422e-5,"PDGFB, CALM2, PIK3CD","PIK3R1, GADD45A",2,Member
mmu04012,ErbB signaling pathway,2.2012235449735447,10,1.3505284994581979e-5,1.474439287400102e-5,PIK3CD,"GAB1, PIK3R1",2,Member
mmu05231,Choline metabolism in cancer,2.830144557823129,10,1.5233960177221194e-5,1.5233960177221194e-5,"PDGFB, PIK3CD, PLPP1",PIK3R1,2,Member
mmu05163,Human cytomegalovirus infection,2.285885989010989,10,1.5818607162438975e-5,3.307526952146331e-5,"PIK3CD, CALM2, NFATC2, VEGFA, CXCL12","PIK3R1, PTGER3, IL6RA, H2-Q10",2,Member
mmu05167,Kaposi sarcoma-associated herpesvirus infection,2.4258381924198247,10,1.6808136299300316e-5,2.096051673200887e-4,"PIK3CD, CALM2, NFATC2, VEGFA, PDGFB","C3, H2-Q10, PIK3R1",2,Member
mmu05162,Measles,2.1378789825282634,10,1.769401008232829e-5,0.002710016365830458,"OAS2, HSPA1L, HSPA1A, PIK3CD",PIK3R1,2,Member
mmu04933,AGE-RAGE signaling pathway in diabetic complications,2.9422294908062234,10,1.941117016042374e-5,6.838101928576311e-4,"COL3A1, COL4A1, VEGFA, PIK3CD",PIK3R1,2,Member
mmu05215,Prostate cancer,1.8572823660714284,10,2.3747320488772817e-5,2.3747320488772817e-5,"PDGFB, PIK3CD",PIK3R1,2,Member
mmu04929,GnRH secretion,1.9171947004608294,10,2.6169417614272102e-5,0.0038439847768375174,PIK3CD,PIK3R1,2,Member
