symbol,logFC,FDR
Fam220a,5.23556228767609,5.02332422645225e-73
Ppp1r15a,1.72580533888793,8.02233334212641e-24
Nrep,-1.55808348937544,1.37846117938152e-23
Tfrc,-1.8317021275358,8.96916064585666e-22
Cish,-3.56505395429707,2.15804828174468e-21
Acot2,2.22478475836964,1.50122018385083e-19
Tmem140,1.43468063007271,8.21150183224462e-19
Gm49388,6.02095223516629,3.80169611245098e-17
Fkbp5,2.35087317295765,3.17913054243224e-16
Dbp,-1.48863266130505,9.44504966937851e-15
Gm17251,1.64803519246067,2.86895947511345e-14
Ucp3,1.46019135318525,8.06047129657682e-14
Cyren,1.27462033862153,4.96563594116004e-13
Lrrc38,-1.32991634727553,1.09348299001452e-12
Arrdc2,2.1471922436916002,2.235211582851e-12
Rbp7,1.52365916282862,2.94204449942243e-12
Mrtfa,-1.20972535852189,9.89977417455325e-12
Map2k6,-1.14779275963108,1.71144372485858e-11
Angptl4,1.95881141486816,3.59895955347838e-11
Pdk4,2.09056670362788,3.59895955347838e-11
Nmrk2,-1.98700162365013,1.31756617766623e-10
Angptl2,-1.02743308954226,2.41956411431019e-10
Trim7,-1.13957903142542,2.94956838670289e-10
Cdkn1a,1.74590446589931,6.44505808444406e-10
Acot1,3.12136035010079,7.03691974215474e-10
Gm17041,-4.34476603010036,1.05784215813345e-9
6430571L13Rik,-1.16814596570028,1.17451670320698e-9
Gm16170,-1.50345315213137,1.23748048592806e-9
Igfbp5,-1.7358527130464,2.19154000294327e-9
Sec14l5,-0.989282243561998,3.22465590044296e-9
Trim63,1.48795666327727,7.09626773320406e-9
Mt1,1.33656774719053,7.91415557145637e-9
Eif4ebp1,0.990357449324602,9.32622290892144e-9
Tnfrsf12a,1.45261569508326,9.69819785143102e-9
Map3k6,1.42010598128959,1.00148332049367e-8
Retreg1,1.37797978492721,1.34501241952993e-8
Cdc14a,-1.17043148477176,1.73523577067834e-8
Foxo6,-2.01695448856335,1.8572847452244e-8
2410006H16Rik,1.15861720245237,1.90986370817724e-8
Apln,-2.44649193577593,3.37181862997351e-8
Fbxo21,0.914445372614394,3.69862466549126e-8
Ccnd1,-1.26707116926096,4.84338688918777e-8
Amer1,0.98651697512432,5.53408157063097e-8
Fbxo32,1.33509663675661,5.76226033464071e-8
Fam78a,-1.21960825186974,5.76226033464071e-8
Fbp2,1.20404166167656,8.37114485353596e-8
Lrrc49,1.55690588494628,1.098877006019e-7
Gm30794,-1.44093295446224,1.1245357449328e-7
Zfyve1,0.868529346091482,1.6748474127163e-7
Igf1,-1.20097283652014,3.51030864019898e-7
Kcng4,-1.28223247960089,4.68756333166458e-7
Hmgcs2,2.09229735542014,5.36171036493403e-7
Pde4a,-1.00562995887089,6.20245173146768e-7
Hif3a,2.21015988492867,6.28494741223034e-7
Lingo3,-0.966921909760662,1.05074291614369e-6
Arntl,1.21475216708394,1.05074291614369e-6
Gm15943,0.859025173108081,1.0833337782604999e-006
Mindy1,0.796512701454138,1.46932883595005e-6
Tmx2,-0.808482967051337,2.50512905161097e-6
Gbp10,0.979457051508321,2.52791065236055e-6
Gucd1,0.85381140987296,3.97153508803225e-6
Zfp503,-0.899195232015519,4.79010886054029e-6
Plin4,1.14059253051833,5.32442136391151e-6
Foxo1,1.61377246227753,6.3386892520017e-6
Slc25a25,1.24295143789933,6.83709521342814e-6
Hlf,-0.961451354893167,7.3538999061344e-6
Stk11ip,0.772496622789675,7.3538999061344e-6
Ptprs,-0.787852683174065,7.92200040921925e-6
Col15a1,-0.794156399647875,7.92200040921925e-6
2310065F04Rik,-1.01378758145067,8.63057511669813e-6
Zcchc2,0.87518185736468,8.90691523706856e-6
Eln,0.803837095646592,9.47890722808997e-6
Napb,0.852010084331304,1.12928542821398e-5
Tacc2,1.2581501499018,1.12928542821398e-5
Eda2r,1.29515326458452,1.45426059753383e-5
Klhl38,0.894612415142902,1.51722467603987e-5
Sobp,-0.947574553744031,1.63894935758605e-5
Sgcd,-0.768749497686966,1.86111986387288e-5
Galnt17,-0.842344143399815,2.03945895276289e-5
Sema6c,-0.858993352875065,2.04854680534126e-5
Scd1,-1.73169612286601,2.05831833598081e-5
Gvin2,-1.39781340632418,2.28007225116809e-5
Gbp7,-1.01396874587864,2.33031044853076e-5
Nfil3,0.924786604857936,2.4990455822654e-5
Mdga1,-0.984251002740562,2.51132442590587e-5
Mt2,1.83605822496781,3.49861833716935e-5
F830016B08Rik,-1.466152033015,3.8720385028211e-5
Fsd1l,-1.04139010032716,4.01337314311417e-5
Gm43797,2.07408823103898,4.24046256199885e-5
Palld,-0.752288548734808,4.37453618493118e-5
Lrp4,-0.937378959509161,4.81195544745777e-5
Atcayos,0.84070153050296,5.21020565537364e-5
Gm29216,5.42051986692863,5.61903483049052e-5
Ube4a,0.82248133407069,7.09464010455881e-5
Ypel3,0.707018009089548,7.39659648536598e-5
Gm15446,0.872173241928682,7.39659648536598e-5
Tcp11l2,0.704973786066032,7.87407265841182e-5
Samd4,0.742605516723392,1.12835587576984e-4
Mafb,-0.96869051460089,1.16093638860988e-4
Gm7160,1.30007787620398,1.20958740489737e-4
Slc25a19,-0.669710555147113,1.28976776553713e-4
Esr1,-0.787586051497499,1.31713179295005e-4
Frem2,-1.99514602671778,1.31713179295005e-4
Mchr1,-1.49156901271645,1.31713179295005e-4
Spsb2,1.04776462200739,1.37033278584217e-4
Igsf9b,-1.7856743844055,1.53375943342616e-4
Gbp5,-1.27920934387146,1.53375943342616e-4
Foxo6os,-1.66096377762545,1.5859571976296e-4
Socs2,-1.30917638176163,1.58744568475581e-4
Fasn,-1.16995346460764,1.58744568475581e-4
Serpinh1,-0.709277440781527,1.77521805713091e-4
Fgfr3,1.00063004806434,1.81227686057688e-4
Gabarapl1,1.01558024201233,1.920247334236e-4
Grem2,-1.9178850410019,1.98421174699974e-4
Tnfsf10,-0.862927401945311,2.05660496980203e-4
Nqo2,-0.702933863441445,2.05660496980203e-4
Rbl2,0.719298652708342,2.10984762918665e-4
Igsf10,-1.09996471149699,2.10984762918665e-4
Lrtm2,-2.00852617313355,2.10984762918665e-4
Steap3,-0.784161963092162,2.25068313150743e-4
Zrsr1,0.67455506471294,2.34808774049544e-4
Npc1,0.85089756755358,2.48027040862621e-4
Abcd2,-0.651898812407815,2.48027040862621e-4
H1f2,0.846213173141165,2.51879134312163e-4
Pknox2,-0.67311235987777,2.54904888441221e-4
Mafk,0.816372169070239,2.94165304210936e-4
Tmem37,0.703483809234769,2.97975890200096e-4
Lpp,-0.750112201923325,3.06489087704953e-4
Cdc42ep2,-0.872649437123756,3.06489087704953e-4
Mlycd,0.948295180348236,3.06489087704953e-4
Mustn1,0.961912654359277,3.17449137136764e-4
Per2,-0.741363451842673,3.23048891349131e-4
Gm10603,1.64430084474775,3.23048891349131e-4
Pnpla7,0.640769191231351,3.26441832149337e-4
Dock4,-0.700767824731117,3.44441435690495e-4
Twf2,1.02696240142962,3.72508318484253e-4
Rab11b,0.707520276535434,4.0626454736019e-4
Spns2,0.941077721895105,4.30583631279275e-4
Trib1,-0.823010288108523,4.66187183466666e-4
