ID,Term_Description,Fold_Enrichment,occurrence,lowest_p,highest_p,Up_regulated,Down_regulated,Cluster,Status
mmu04974,Protein digestion and absorption,3.969290399522958,10,8.608294689903884e-13,8.608294689903884e-13,ELN,"COL1A1, COL3A1, COL5A1, COL24A1, COL6A2, COL6A3, COL14A1, COL15A1",1,Representative
mmu04630,JAK-STAT signaling pathway,2.1334935897435896,10,1.027886697237393e-12,2.6044866235706934e-5,"IL6RA, BCL2L1, PIM1, CDKN1A","JAK2, CISH, SOCS2, CCND1, PIK3CD",2,Representative
mmu04917,Prolactin signaling pathway,4.334717134717135,10,4.471350927866821e-9,7.095370656341803e-7,"FOXO3, GCK","JAK2, PIK3CD, CCND1, CISH, SOCS2, ESR1",2,Member
mmu04068,FoxO signaling pathway,4.632522128705335,10,9.337448532898709e-12,8.506097710057821e-11,"FOXO1, FOXO3, CDKN1A, RBL2, GADD45A, GABARAPL1, CAT, FBXO32","SMAD3, IGF1, PIK3CD, SGK1, FOXO6, CCND1, TNFSF10, BCL6",3,Representative
mmu04218,Cellular senescence,2.7584563584563586,10,1.9479596572247814e-9,3.1760282745918e-6,"RBL2, FOXO1, FOXO3, CDKN1A, GADD45A, SQSTM1, EIF4EBP1","SMAD3, CCND1, PIK3CD, HIPK2, MAP2K6",3,Member
mmu04151,PI3K-Akt signaling pathway,2.275726495726496,10,7.963678675232519e-10,9.13865361195949e-7,"FGFR3, IL6RA, DDIT4, EIF4EBP1, CDKN1A, FOXO3, RBL2, BCL2L1, NR4A1","IGF1, KIT, JAK2, COL1A1, COL6A2, COL6A3, LAMA4, ITGA4, ITGB6, PIK3CD, SGK1, CCND1",4,Representative
mmu04512,ECM-receptor interaction,3.6122642789309456,10,8.005812537655037e-6,0.005612080660683095,SDC4,"COL1A1, COL6A2, COL6A3, LAMA4, FRAS1, ITGA4, ITGB6",4,Member
mmu05165,Human papillomavirus infection,2.0379640260237273,10,3.676215296129566e-5,0.0014487333487717084,"PARD6B, LLGL2, EIF4EBP1, FOXO1, CDKN1A, RBL2","WNT5A, FZD10, COL1A1, COL6A2, COL6A3, LAMA4, ITGA4, ITGB6, PIK3CD, CCND1, MFNG, HES1",4,Member
mmu04510,Focal adhesion,1.7686993490102296,10,2.0372856480697807e-4,4.0766173179641066e-4,,"COL1A1, COL6A2, COL6A3, LAMA4, ITGA4, ITGB6, IGF1, PIK3CD, CCND1",4,Member
mmu04710,Circadian rhythm,7.8473327438844684,9,1.3496606872626617e-9,0.048465630030773935,"PER1, ARNTL, RORC","PER2, PER3, BHLHE40",5,Representative
mmu04713,Circadian entrainment,2.322169893598465,10,0.002480598318291059,0.002960518396577683,"CACNA1I, PER1","ADCY7, ADCY9, PER2, PER3",5,Member
mmu04110,Cell cycle,2.1762411844379055,10,2.3636289459704456e-9,2.6926841512993866e-7,"RBL2, CDKN1A, GADD45A","CCND1, SMAD3, WEE1, CDC14A",6,Representative
mmu05220,Chronic myeloid leukemia,3.0343019943019947,10,1.432723730248291e-8,3.473524232876975e-6,"BCL2L1, CDKN1A, GADD45A","PIK3CD, CCND1, SMAD3",6,Member
mmu05212,Pancreatic cancer,3.493439796071375,10,1.432723730248291e-8,3.473524232876975e-6,"BCL2L1, CDKN1A, GADD45A","PIK3CD, PLD2, CCND1, SMAD3",6,Member
mmu05225,Hepatocellular carcinoma,2.2576651743318408,10,4.4307498532047805e-8,4.8810869762028575e-5,"BCL2L1, CDKN1A, GADD45A, HMOX1, GSTA3","PIK3CD, CCND1, SMAD3, WNT5A, FZD10",6,Member
mmu05223,Non-small cell lung cancer,3.4480704480704483,10,5.0122659512912727e-8,5.596585997364273e-6,"RASSF1, FOXO3, CDKN1A, GADD45A","CCND1, PIK3CD",6,Member
mmu05215,Prostate cancer,1.975457027540361,10,5.96958319465204e-8,2.315560479012879e-5,"FOXO1, CDKN1A","IGF1, PIK3CD, CCND1",6,Member
mmu05213,Endometrial cancer,3.2697219766185284,10,2.01302765693376e-7,4.600201592031359e-6,"FOXO3, CDKN1A, GADD45A","PIK3CD, CCND1",6,Member
mmu05218,Melanoma,2.633942703387148,10,3.9221353213439765e-7,7.022515143100962e-6,"CDKN1A, GADD45A","IGF1, CCND1, PIK3CD",6,Member
