,Ensembl,Symbol,s22mo_AR_M-s06mo_AR_M_logFC,s22mo_AR_M-s06mo_AR_M_logCPM,s22mo_AR_M-s06mo_AR_M_LR,s22mo_AR_M-s06mo_AR_M_PValue,s22mo_AR_M-s06mo_AR_M_FDR,s22mo_AR_M-s06mo_AR_M_Status,Description
12534,ENSMUSG00000076609,Igkc,5.468382061,3.0583184,368.484567794336,0,0,UP,immunoglobulin kappa constant
11898,ENSMUSG00000067149,Jchain,4.729291921,1.3377931,158.214201972204,0,0,UP,immunoglobulin joining chain
4377,ENSMUSG00000026819,Slc25a25,2.152874636,5.3596289,143.044217837446,0,0,UP,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25"
9424,ENSMUSG00000042834,Nrep,-1.526889417,5.8793094,139.074498770233,0,0,DOWN,neuronal regeneration related protein
400,ENSMUSG00000002910,Arrdc2,2.437814642,5.9115744,132.211884898132,0,0,UP,arrestin domain containing 2
5010,ENSMUSG00000028341,Nr4a3,2.461962289,2.7566322,128.661717440342,0,0,UP,"nuclear receptor subfamily 4, group A, member 3"
12535,ENSMUSG00000076612,Ighg2c,3.726015217,1.2904349,123.237343585239,0,0,UP,immunoglobulin heavy constant gamma 2C
2971,ENSMUSG00000022797,Tfrc,-2.094817537,6.5735664,107.916622310566,0,0,DOWN,transferrin receptor
10563,ENSMUSG00000051855,Mest,1.709307487,3.6558727,105.095516095463,0,0,UP,mesoderm specific transcript
8582,ENSMUSG00000039384,Dusp10,-1.531187191,4.7024987,94.944770819065,0,0,DOWN,dual specificity phosphatase 10
4053,ENSMUSG00000026043,Col3a1,-1.387791668,6.9150797,77.763055327353,0,1.51e-15,DOWN,"collagen, type III, alpha 1"
6797,ENSMUSG00000032578,Cish,-2.493804906,4.092248,66.424566125621,3.6e-16,4.3591e-13,DOWN,cytokine inducible SH2-containing protein
8910,ENSMUSG00000040640,Erc2,2.758241561,1.1617407,65.908090130323,4.7e-16,5.2292e-13,UP,ELKS/RAB6-interacting/CAST family member 2
10164,ENSMUSG00000048546,Tob2,1.114234457,6.3352332,64.302777995265,1.06e-15,1.09659e-12,UP,"transducer of ERBB2, 2"
13240,ENSMUSG00000091712,Sec14l5,-0.934463107,5.136464,61.376193927222,4.71e-15,4.52272e-12,DOWN,SEC14-like lipid binding 5
12105,ENSMUSG00000070498,Tmem132b,2.114170282,2.3788292,56.878526650097,4.635e-14,4.169035e-11,UP,transmembrane protein 132B
10468,ENSMUSG00000051067,Lingo3,-1.165512892,3.9105409,55.961795975553,7.389e-14,6.254394e-11,DOWN,leucine rich repeat and Ig domain containing 3
12391,ENSMUSG00000074264,Amy1,1.035670033,6.212484,53.453420209822,2.6479e-13,2.1167614e-10,UP,"amylase 1, salivary"
6902,ENSMUSG00000032942,Ucp3,1.068688624,7.3376113,51.457366087763,7.3168e-13,5.5411986e-10,UP,"uncoupling protein 3 (mitochondrial, proton carrier)"
9607,ENSMUSG00000044338,Aplnr,-1.426846169,2.4496509,50.861028269214,9.9142e-13,7.1328185e-10,DOWN,apelin receptor
5901,ENSMUSG00000030494,Rhpn2,1.741638043,2.3287791,49.795257433969,1.70655e-12,1.16931843e-9,UP,"rhophilin, Rho GTPase binding protein 2"
5495,ENSMUSG00000029381,Shroom3,1.740773636,1.5946695,48.090456199767,4.07002e-12,2.66198272e-9,UP,shroom family member 3
5831,ENSMUSG00000030278,Cidec,1.605458591,4.9202693,47.979623124629,4.30671e-12,2.69432037e-9,UP,cell death-inducing DFFA-like effector c
10233,ENSMUSG00000049112,Oxtr,2.219827056,1.154113,45.264575018788,1.721347e-11,1.032019351e-8,UP,oxytocin receptor
3083,ENSMUSG00000023043,Krt18,2.0800687,1.3505713,43.671730674099,3.883409e-11,2.149168658e-8,UP,keratin 18
12537,ENSMUSG00000076934,Iglv1,6.905118624,-1.06845,43.739669228325,3.750912e-11,2.149168658e-8,UP,immunoglobulin lambda variable 1
5253,ENSMUSG00000028862,Map3k6,1.267348985,3.1294932,43.169044674557,5.020878e-11,2.675756583e-8,UP,mitogen-activated protein kinase kinase kinase 6
13331,ENSMUSG00000095079,Igha,4.003526814,-0.7728062,42.96659542917,5.568255e-11,2.861486491e-8,UP,immunoglobulin heavy constant alpha
140,ENSMUSG00000001119,Col6a1,-0.81784098,5.9993149,41.650255135715,1.0915114e-10,5.082848796e-8,DOWN,"collagen, type VI, alpha 1"
1618,ENSMUSG00000019577,Pdk4,1.445120064,9.3556803,41.643907829648,1.0950608e-10,5.082848796e-8,UP,"pyruvate dehydrogenase kinase, isoenzyme 4"
3263,ENSMUSG00000024087,Cyp1b1,2.102331342,0.5475432,41.702487824971,1.0627367e-10,5.082848796e-8,UP,"cytochrome P450, family 1, subfamily b, polypeptide 1"
11366,ENSMUSG00000059824,Dbp,-0.908088946,7.0704328,41.457643906035,1.2045265e-10,5.416228696e-8,DOWN,D site albumin promoter binding protein
2167,ENSMUSG00000020893,Per1,1.035085193,6.1014042,41.372086257246,1.2584157e-10,5.487073866e-8,UP,period circadian clock 1
11114,ENSMUSG00000057137,Tmem140,0.912100615,5.6365597,40.99010954553,1.5300154e-10,6.475115212e-8,UP,transmembrane protein 140
9148,ENSMUSG00000041695,Kcnj2,-0.923151105,5.5551877,40.699674727221,1.7751672e-10,7.297966103e-8,DOWN,"potassium inwardly-rectifying channel, subfamily J, member 2"
3328,ENSMUSG00000024222,Fkbp5,0.976168487,5.6573728,40.553989079039,1.9125767e-10,7.64446303e-8,UP,FK506 binding protein 5
4820,ENSMUSG00000027894,Slc6a17,1.57316065,2.0055699,40.455903243538,2.0110392e-10,7.820768531e-8,UP,"solute carrier family 6 (neurotransmitter transporter), member 17"
2029,ENSMUSG00000020623,Map2k6,-0.790102357,4.5800745,39.463919836119,3.341771e-10,1.265387974e-7,DOWN,mitogen-activated protein kinase kinase 6
2335,ENSMUSG00000021281,Tnfaip2,-0.870625511,5.0577863,39.332207962594,3.5749552e-10,1.3189751741e-7,DOWN,"tumor necrosis factor, alpha-induced protein 2"
8712,ENSMUSG00000039910,Cited2,-1.034102632,5.8111106,38.884028610775,4.4974523e-10,1.6178460511e-7,DOWN,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
6025,ENSMUSG00000030772,Dkk3,1.407369032,6.1044768,38.278168949507,6.134511e-10,2.1529141448e-7,UP,dickkopf WNT signaling pathway inhibitor 3
12846,ENSMUSG00000084929,Foxo6os,-1.763495541,2.3051262,37.481568835119,9.2280908e-10,3.1614999753e-7,DOWN,"forkhead box O6, opposite strand"
1782,ENSMUSG00000020108,Ddit4,1.175262419,4.2091176,37.398591214593,9.6291657e-10,3.2221875666e-7,UP,DNA-damage-inducible transcript 4
5656,ENSMUSG00000029716,Tfr2,3.449673822,-0.4276548,37.085686553203,1.13050524e-9,3.536269555e-7,UP,transferrin receptor 2
9583,ENSMUSG00000044167,Foxo1,0.745946794,4.6974552,37.127155942837,1.10671688e-9,3.536269555e-7,UP,forkhead box O1
13002,ENSMUSG00000086801,Gm15943,0.835459625,5.5514958,37.124272586182,1.10835455e-9,3.536269555e-7,UP,predicted gene 15943
8527,ENSMUSG00000039196,Orm1,2.035692189,0.6279136,36.876122729383,1.25878143e-9,3.8537459577e-7,UP,orosomucoid 1
2765,ENSMUSG00000022357,Klhl38,0.873813813,6.1123077,36.497125850903,1.5289153e-9,4.5832421424e-7,UP,kelch-like 38
5761,ENSMUSG00000030089,Slc41a3,-0.755537862,5.9321897,36.345332798866004,1.65274516e-9,4.8533367688e-7,DOWN,"solute carrier family 41, member 3"
9035,ENSMUSG00000041143,Tmco4,0.795418752,3.8963625,35.911599962213,2.06475782e-9,5.9419600787e-7,UP,transmembrane and coiled-coil domains 4
