,Ensembl,Symbol,s28mo_AR_M-s22mo_AR_M_logFC,s28mo_AR_M-s22mo_AR_M_logCPM,s28mo_AR_M-s22mo_AR_M_LR,s28mo_AR_M-s22mo_AR_M_PValue,s28mo_AR_M-s22mo_AR_M_Status,s28mo_AR_M-s22mo_AR_M_Status,Description
9200,ENSMUSG00000042045,Sln,-2.7486186167,2.83606896,108.2555173719945,0,0,DOWN,sarcolipin
5915,ENSMUSG00000030546,Plin1,1.2898100964,4.32315585,89.560776698346,0,2e-17,UP,perilipin 1
6380,ENSMUSG00000031722,Hp,1.2203100681,5.24170113,84.6792479286891,0,1.6e-16,UP,haptoglobin
10116,ENSMUSG00000048489,Depp1,-2.1079605031,4.25403236,82.2235175416647,0,4.3e-16,DOWN,DEPP1 autophagy regulator
3003,ENSMUSG00000022878,Adipoq,1.3404174569,4.86859608,78.5779798661258,0,2.2e-15,UP,"adiponectin, C1Q and collagen domain containing"
3228,ENSMUSG00000024042,Sik1,-1.0636166916,4.21547237,76.1784334379865,0,6.18e-15,DOWN,salt inducible kinase 1
12139,ENSMUSG00000071637,Cebpd,-1.3828354862,5.30532572,70.168091768421,5e-17,1.1137e-13,DOWN,"CCAAT/enhancer binding protein (C/EBP), delta"
3077,ENSMUSG00000023043,Krt18,-2.1211331603,3.38338666,68.5220007028651,1.2e-16,2.2452e-13,DOWN,keratin 18
1593,ENSMUSG00000019326,Aoc3,1.0851472602,4.1114514,66.4723103082231,3.5e-16,5.6443e-13,UP,"amine oxidase, copper containing 3"
9817,ENSMUSG00000046275,Trarg1,1.4231423716,3.33010949,63.5238452736403,1.58e-15,2.26818e-12,UP,trafficking regulator of GLUT4 (SLC2A4) 1
11879,ENSMUSG00000067786,Nnat,1.0543717258,4.50297589,60.6156631006266,6.93e-15,9.02946e-12,UP,neuronatin
7230,ENSMUSG00000034361,Cpne2,-1.1192093839,4.03484714,50.3510418006937,1.28561e-12,1.53374266e-9,DOWN,copine II
10190,ENSMUSG00000049112,Oxtr,2.3831773925,1.13842233,46.4753461460317,9.27784e-12,1.021704891e-8,UP,oxytocin receptor
5823,ENSMUSG00000030278,Cidec,1.173519313,5.02401097,45.794264379248,1.313475e-11,1.253581097e-8,UP,cell death-inducing DFFA-like effector c
7699,ENSMUSG00000036390,Gadd45a,-1.198651985,4.73411949,45.9044013341097,1.241666e-11,1.253581097e-8,DOWN,growth arrest and DNA-damage-inducible 45 alpha
521,ENSMUSG00000003948,Mmd,0.7761213141,4.48963614,44.6670358227178,2.335565e-11,2.089747393e-8,UP,monocyte to macrophage differentiation-associated
3086,ENSMUSG00000023064,Sncg,0.9928813998,3.71710613,43.6688742196079,3.889082e-11,3.275064749e-8,UP,"synuclein, gamma"
10222,ENSMUSG00000049382,Krt8,-3.1548295431,1.05791729,43.294869610398,4.708163e-11,3.744559497e-8,DOWN,keratin 8
5230,ENSMUSG00000028834,Trim63,-0.9100308016,8.79696676,41.4028281032087,1.2387803e-10,9.333884298e-8,DOWN,tripartite motif-containing 63
255,ENSMUSG00000001918,Slc1a5,0.8751807832,4.38660038,41.03995247294,1.4914894e-10,1.067608173e-7,UP,"solute carrier family 1 (neutral amino acid transporter), member 5"
11797,ENSMUSG00000066361,Serpina3c,1.5806660387,1.70856876,40.9264719007643,1.5806552e-10,1.0775552919e-7,UP,"serine (or cysteine) peptidase inhibitor, clade A, member 3C"
2265,ENSMUSG00000021136,Smoc1,1.1339748861,2.63125843,40.3799672184491,2.0907386e-10,1.3605006644e-7,UP,SPARC related  modular calcium binding 1
12477,ENSMUSG00000076609,Igkc,1.706433091,3.39797903,40.1176035208277,2.3912439e-10,1.4883934091e-7,UP,immunoglobulin kappa constant
10057,ENSMUSG00000048078,Tenm4,1.5067509456,1.89122818,39.1445715312335,3.9355598e-10,2.3475614783e-7,UP,teneurin transmembrane protein 4
5485,ENSMUSG00000029368,Alb,-7.2111058859,5.8791079,39.0499029544712,4.1310966e-10,2.3656311803e-7,DOWN,albumin
2908,ENSMUSG00000022665,Ccdc80,0.7082282265,4.89822678,38.9490104883594,4.3502073e-10,2.395291092e-7,UP,coiled-coil domain containing 80
2584,ENSMUSG00000021943,Gdf10,1.2534163374,2.26097739,38.5073389394752,5.4548177e-10,2.8922655885e-7,UP,growth differentiation factor 10
10518,ENSMUSG00000051855,Mest,1.3116916138,3.74694459,38.4099888214426,5.7338162e-10,2.931618343e-7,UP,mesoderm specific transcript
414,ENSMUSG00000002997,Prkar2b,1.2711881884,3.0065911,38.3056801014468,6.0486328e-10,2.9859388919e-7,UP,"protein kinase, cAMP dependent regulatory, type II beta"
9707,ENSMUSG00000045312,Lhfpl2,1.0933368736,2.70090901,35.1824873820468,3.00211143e-9,1.43260757807e-6,UP,lipoma HMGIC fusion partner-like 2
9134,ENSMUSG00000041737,Tmem45b,1.1304783898,2.94126914,34.5325288643576,4.19187161e-9,1.9358333582e-6,UP,transmembrane protein 45b
6462,ENSMUSG00000031880,Rrad,-1.9097963271,3.03299212,34.3482021295877,4.60825863e-9,2.0616197089e-6,DOWN,Ras-related associated with diabetes
7873,ENSMUSG00000037071,Scd1,1.1331332203,7.90414466,33.7797739869591,6.17171979e-9,2.67740425978e-6,UP,stearoyl-Coenzyme A desaturase 1
7385,ENSMUSG00000034957,Cebpa,0.7743568683,3.91159816,33.5283266404198,7.02336365e-9,2.95724923876e-6,UP,"CCAAT/enhancer binding protein (C/EBP), alpha"
