,Ensembl,Symbol,s06mo_AR_F-s06mo_C_F_logFC,s06mo_AR_F-s06mo_C_F_logCPM,s06mo_AR_F-s06mo_C_F_LR,s06mo_AR_F-s06mo_C_F_PValue,s06mo_AR_F-s06mo_C_F_FDR,s06mo_AR_F-s06mo_C_F_Status,Description
7498,ENSMUSG00000035963,Odf3l2,2.4991066652,3.6314805,130.2682289649768,0,0,UP,outer dense fiber of sperm tails 3-like 2
609,ENSMUSG00000004939,Nmrk2,-1.8167564269,4.2071175,86.9128836121227,0,7e-17,DOWN,nicotinamide riboside kinase 2
13695,ENSMUSG00000108815,Gm49388,-6.4133072653,0.837128,84.7189621419081,0,1.6e-16,DOWN,"predicted gene, 49388"
464,ENSMUSG00000003477,Inmt,1.300680222,3.8410636,70.3883539278922,4e-17,1.7145e-13,UP,indolethylamine N-methyltransferase
13340,ENSMUSG00000099906,Lincmd1,-3.6048211384,1.4637976,59.7983553916201,1.05e-14,2.959576e-11,DOWN,long intergenic non-protein coding RNA of muscle differentiation 1
3788,ENSMUSG00000025479,Cyp2e1,2.3425002357,2.9911259,56.5100166611281,5.591e-14,1.3121808e-10,UP,"cytochrome P450, family 2, subfamily e, polypeptide 1"
11111,ENSMUSG00000059493,Nhs,1.7475184349,2.5502403,56.1369714526898,6.759e-14,1.3597022e-10,UP,NHS actin remodeling regulator
13933,ENSMUSG00000115232,Gm49378,7.1879723244,-0.8893471,55.3940268073393,9.863e-14,1.736112e-10,UP,"predicted gene, 49378"
2849,ENSMUSG00000022591,Gm9747,-0.9958987626,5.3555172,54.7673001328653,1.3567e-13,2.1227824e-10,DOWN,predicted gene 9747
12131,ENSMUSG00000074207,Adh1,1.0793499704,3.9565487,51.2980355321707,7.9355e-13,1.08602428e-9,UP,alcohol dehydrogenase 1 (class I)
13819,ENSMUSG00000111497,Gm38431,-3.8398248744,0.4897768,51.1668426231194,8.4839e-13,1.08602428e-9,DOWN,"predicted gene, 38431"
3648,ENSMUSG00000025153,Fasn,1.1419164095,4.0088775,50.8293480895175,1.00755e-12,1.1822859e-9,UP,fatty acid synthase
2535,ENSMUSG00000021903,Galnt15,0.9639646988,4.5503883,47.6111726176159,5.19714e-12,5.62930685e-9,UP,polypeptide N-acetylgalactosaminyltransferase 15
2553,ENSMUSG00000021943,Gdf10,1.6344492541,1.6304737,45.8698613507623,1.263753e-11,1.271065049e-8,UP,growth differentiation factor 10
8963,ENSMUSG00000041577,Prelp,1.2141850605,4.9213795,43.4018116484488,4.457752e-11,4.184640732e-8,UP,proline arginine-rich end leucine-rich repeat
10777,ENSMUSG00000055980,Irs1,-0.9926780196,6.5781,41.4403214581776,1.2152474e-10,1.0694936735e-7,DOWN,insulin receptor substrate 1
6803,ENSMUSG00000033022,Cdo1,1.7351553206,1.9083112,38.1100525789743,6.6864752e-10,5.5383681377e-7,UP,"cysteine dioxygenase 1, cytosolic"
9749,ENSMUSG00000046828,Mettl21e,0.8283596028,3.9362979,34.5728385925033,4.10595703e-9,3.21199894433e-6,UP,methyltransferase like 21E
6605,ENSMUSG00000032411,Tfdp2,0.7600649502,5.9291866,34.0358411309779,5.41061918e-9,4.0098383546e-6,UP,transcription factor Dp 2
3130,ENSMUSG00000023905,Tnfrsf12a,-1.1809551633,4.0228151,32.9255143170322,9.57582381e-9,6.42081786258e-6,DOWN,"tumor necrosis factor receptor superfamily, member 12a"
7870,ENSMUSG00000037465,Klf10,-0.8604156278,5.1944548,32.9858472491165,9.28321883e-9,6.42081786258e-6,DOWN,Kruppel-like factor 10
1678,ENSMUSG00000019929,Dcn,0.8101529399,7.3915226,32.5613955182457,1.154860056e-8,7.39162929561e-6,UP,decorin
3035,ENSMUSG00000023034,Nr4a1,-1.0603246375,6.9693912,31.7032695205472,1.796195552e-8,1.067063269107e-5,DOWN,"nuclear receptor subfamily 4, group A, member 1"
4160,ENSMUSG00000026473,Glul,0.9129317933,7.9987026,31.6790577637285,1.818728673e-8,1.067063269107e-5,UP,glutamate-ammonia ligase (glutamine synthetase)
5558,ENSMUSG00000029685,Asb15,0.8862262298,6.7359561,31.3101149502997,2.199308e-8,1.238738238129e-5,UP,ankyrin repeat and SOCS box-containing 15
8204,ENSMUSG00000038594,Cep85l,1.3833798471,6.0785756,30.2810440585513,3.737608713e-8,1.949232159116e-5,UP,centrosomal protein 85-like
10735,ENSMUSG00000055538,Zcchc24,0.6766803199,6.8336929,30.2892192080224,3.721888494e-8,1.949232159116e-5,UP,"zinc finger, CCHC domain containing 24"
5605,ENSMUSG00000029817,Tra2a,-0.7361052416,4.0428454,30.2019480239137,3.893182341e-8,1.957853591237e-5,DOWN,transformer 2 alpha
12782,ENSMUSG00000087249,Gm16062,-0.8976505334,3.3238731,29.9554478458055,4.420880467e-8,2.146566133231e-5,DOWN,predicted gene 16062
12604,ENSMUSG00000085148,Mir22hg,0.6109991604,4.957768,29.5950158791828,5.324166582e-8,2.498986321469e-5,UP,Mir22 host gene (non-protein coding)
11908,ENSMUSG00000071076,Jund,-0.7043978284,5.3945417,29.1264984947935,6.780324097e-8,3.079798180981e-5,DOWN,jun D proto-oncogene
4933,ENSMUSG00000028339,Col15a1,-0.6738203938,4.3647383,28.7468786117924,8.248275368e-8,3.629498920763e-5,DOWN,"collagen, type XV, alpha 1"
8701,ENSMUSG00000040447,Spns2,0.6440288015,6.3534965,28.4794168791569,9.469991153e-8,4.038932491444e-5,UP,spinster homolog 2
12744,ENSMUSG00000086801,Gm15943,0.7378481386,5.9884814,28.4225226607243,9.752411384e-8,4.038932491444e-5,UP,predicted gene 15943
390,ENSMUSG00000002910,Arrdc2,1.3133306077,6.0474191,28.23154720914,1.0763587535e-7,4.330345030929e-5,UP,arrestin domain containing 2
8932,ENSMUSG00000041417,Pik3r1,0.8472396217,5.4364497,28.1226542497144,1.1386518163e-7,4.453710062753e-5,UP,phosphoinositide-3-kinase regulatory subunit 1
3126,ENSMUSG00000023885,Thbs2,1.3771538298,3.5715929,28.047698100566,1.1836181585e-7,4.50446683546e-5,UP,thrombospondin 2
5803,ENSMUSG00000030470,Csrp3,-1.8035848532,6.1762213,27.8334589906975,1.3221963407e-7,4.899433335409e-5,DOWN,cysteine and glycine-rich protein 3
7867,ENSMUSG00000037458,Azin1,-0.61129223,4.8529157,27.7582192529232,1.3746294028e-7,4.963117082359e-5,DOWN,antizyme inhibitor 1
3774,ENSMUSG00000025432,Avil,-0.8537053654,3.5270628,27.6731695781645,1.4364123298e-7,5.056530504091e-5,DOWN,advillin
