,Ensembl,Symbol,s22mo_C_F-s06mo_C_F_logFC,s22mo_C_F-s06mo_C_F_logCPM,s22mo_C_F-s06mo_C_F_LR,s22mo_C_F-s06mo_C_F_PValue,s22mo_C_F-s06mo_C_F_Status,s22mo_C_F-s06mo_C_F_Status,Description
12444,ENSMUSG00000076609,Igkc,-6.8021350394,3.1539005,531.065757078311,1.6560999999999996e-117,2.3676999999999998e-113,DOWN,immunoglobulin kappa constant
7363,ENSMUSG00000034957,Cebpa,-1.5549669806,3.3384085,86.93402568376248,1.122e-20,8.0208e-17,DOWN,"CCAAT/enhancer binding protein (C/EBP), alpha"
3830,ENSMUSG00000025479,Cyp2e1,-2.6338514711,3.2758612,77.4075247798576,1.3908e-18,6.6283e-15,DOWN,"cytochrome P450, family 2, subfamily e, polypeptide 1"
11804,ENSMUSG00000067149,Jchain,-3.7579714124,0.6788765,76.29691507136074,2.4406e-18,8.7235e-15,DOWN,immunoglobulin joining chain
2562,ENSMUSG00000021903,Galnt15,-1.1507208517,4.7134875,73.70010000501567,9.0934e-18,2.6002e-14,DOWN,polypeptide N-acetylgalactosaminyltransferase 15
9066,ENSMUSG00000041577,Prelp,-1.6796251191,5.2988095,71.60994271578595,2.6223e-17,6.2486e-14,DOWN,proline arginine-rich end leucine-rich repeat
12445,ENSMUSG00000076613,Ighg2b,-7.6093703801,-0.5123825,64.93943355157258,7.7236e-16,1.5775e-12,DOWN,immunoglobulin heavy constant gamma 2B
1074,ENSMUSG00000012705,Retn,-2.4085965313,1.867043,64.42816023408635,1.0012e-15,1.613e-12,DOWN,resistin
6743,ENSMUSG00000032554,Trf,-2.1602407444,4.6717104,64.4003278212756,1.0154e-15,1.613e-12,DOWN,transferrin
407,ENSMUSG00000002985,Apoe,-1.0821010875,6.6617267,63.45774886903136,1.6384e-15,2.3425e-12,DOWN,apolipoprotein E
3109,ENSMUSG00000023224,Serping1,-1.0237570766,5.1672288,60.83004058465482,6.2221e-15,8.0871e-12,DOWN,"serine (or cysteine) peptidase inhibitor, clade G, member 1"
3628,ENSMUSG00000024990,Rbp4,-2.3221779249,1.1511553,57.19077404778879,3.9552e-14,4.7123e-11,DOWN,"retinol binding protein 4, plasma"
3281,ENSMUSG00000024164,C3,-1.8352488242,5.7212407,55.19801987873099,1.0898e-13,1.1985e-10,DOWN,complement component 3
11895,ENSMUSG00000068614,Actc1,2.376433889,6.5468819,54.65245585479227,1.4384e-13,1.469e-10,UP,"actin, alpha, cardiac muscle 1"
5894,ENSMUSG00000030546,Plin1,-2.3470537921,3.692447,52.09289285082773,5.2936e-13,5.0455e-10,DOWN,perilipin 1
4643,ENSMUSG00000027513,Pck1,-2.3006158671,4.0577376,51.63584592974779,6.6811e-13,5.9699e-10,DOWN,"phosphoenolpyruvate carboxykinase 1, cytosolic"
2879,ENSMUSG00000022591,Gm9747,1.3212490552,5.2894568,51.27022051802487,8.0487e-13,6.769e-10,UP,predicted gene 9747
10911,ENSMUSG00000055980,Irs1,1.326019564,6.5101138,51.10214089299603,8.7683e-13,6.9644e-10,UP,insulin receptor substrate 1
12556,ENSMUSG00000079017,Ifi27l2a,-2.4436296197,2.9631437,50.44873693960716,1.2232e-12,9.2041e-10,DOWN,"interferon, alpha-inducible protein 27 like 2A"
928,ENSMUSG00000008845,Cd163,-1.6075565415,3.1832711,50.31741839805142,1.3078e-12,9.3491e-10,DOWN,CD163 antigen
11943,ENSMUSG00000069516,Lyz2,-1.2010084236,4.9670001,50.11698597637933,1.4485e-12,9.8614e-10,DOWN,lysozyme 2
12761,ENSMUSG00000084939,Gm830,-2.3501117309,1.2681772,49.67847873536677,1.8112e-12,1.177e-9,DOWN,predicted gene 830
4797,ENSMUSG00000027894,Slc6a17,-1.9458278652,1.8447985,48.48308137240515,3.3315e-12,2.0709e-9,DOWN,"solute carrier family 6 (neurotransmitter transporter), member 17"
7796,ENSMUSG00000036896,C1qc,-1.4362482317,3.325552,47.07569659856031,6.8297e-12,4.0685e-9,DOWN,"complement component 1, q subcomponent, C chain"
7676,ENSMUSG00000036395,Glb1l2,-2.1590767114,2.0762205,46.35943518218051,9.8432e-12,5.4126e-9,DOWN,"galactosidase, beta 1-like 2"
12303,ENSMUSG00000074264,Amy1,-0.9187154847,5.8934739,46.39201814866575,9.6809e-12,5.4126e-9,DOWN,"amylase 1, salivary"
11459,ENSMUSG00000061780,Cfd,-2.1076337287,5.5392071,45.18114129056838,1.7963e-11,9.5116e-9,DOWN,complement factor D (adipsin)
2163,ENSMUSG00000020902,Ntn1,-1.3305923054,3.6537518,45.02632941893618,1.944e-11,9.9264e-9,DOWN,netrin 1
5802,ENSMUSG00000030278,Cidec,-2.518846622,4.2220462,44.72213392908733,2.2708e-11,1.1195e-8,DOWN,cell death-inducing DFFA-like effector c
12201,ENSMUSG00000073418,C4b,-1.9701643261,3.9940651,44.64178968733426,2.3659e-11,1.1275e-8,DOWN,complement component 4B (Chido blood group)
5386,ENSMUSG00000029167,Ppargc1a,-1.6032588498,5.9894889,44.57646205368995,2.4461e-11,1.1281e-8,DOWN,"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"
4160,ENSMUSG00000026365,Cfh,-1.3859081283,2.795517,44.22631240414229,2.9252e-11,1.3069e-8,DOWN,complement component factor h
8722,ENSMUSG00000040152,Thbs1,-1.5818688098,3.2980782,44.00754438425899,3.2711e-11,1.4172e-8,DOWN,thrombospondin 1
10490,ENSMUSG00000051906,Cd209f,-2.0610837745,1.9852078,43.519637248895,4.1973e-11,1.7649e-8,DOWN,CD209f antigen
409,ENSMUSG00000002997,Prkar2b,-2.2453327341,2.3638687,43.29844796811926,4.6996e-11,1.9197e-8,DOWN,"protein kinase, cAMP dependent regulatory, type II beta"
6880,ENSMUSG00000033022,Cdo1,-2.2992133101,2.3949244,43.18817017270695,4.972e-11,1.9746e-8,DOWN,"cysteine dioxygenase 1, cytosolic"
768,ENSMUSG00000006369,Fbln1,-1.6151366786,2.9385861,42.43869708372802,7.2933e-11,2.8182e-8,DOWN,fibulin 1
5872,ENSMUSG00000030495,Slc7a10,-2.2798771346,1.1511794,40.74919601730139,1.7307e-10,6.5117e-8,DOWN,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 10"
2855,ENSMUSG00000022548,Apod,-1.1995259655,5.300036,40.43408808709395,2.0336e-10,7.455e-8,DOWN,apolipoprotein D
