,Ensembl,Symbol,s28mo_AR_M-s22mo_AR_M_logFC,s28mo_AR_M-s22mo_AR_M_logCPM,s28mo_AR_M-s22mo_AR_M_LR,s28mo_AR_M-s22mo_AR_M_PValue,s28mo_AR_M-s22mo_AR_M_FDR,s28mo_AR_M-s22mo_AR_M_Status,Description
9200,ENSMUSG00000042045,Sln, 2.7486186167, 2.83606896,108.2555173719949,0.00000000000000000000000023627,0.0000000000000000000033824,UP,sarcolipin
5915,ENSMUSG00000030546,Plin1,-1.2898100964, 4.32315585, 89.5607766983451,0.00000000000000000000297361585,0.0000000000000000212851423,DOWN,perilipin 1
6380,ENSMUSG00000031722,Hp,-1.2203100681, 5.24170113, 84.6792479286884,0.00000000000000000003509143103,0.0000000000000001674563089,DOWN,haptoglobin
10116,ENSMUSG00000048489,Depp1, 2.1079605031, 4.25403236, 82.2235175416649,0.00000000000000000012153514910,0.0000000000000004349742986,UP,DEPP1 autophagy regulator
3003,ENSMUSG00000022878,Adipoq,-1.3404174569, 4.86859608, 78.5779798661254,0.00000000000000000076901867158,0.0000000000000022018542605,DOWN,adiponectin, C1Q and collagen domain containing
3228,ENSMUSG00000024042,Sik1, 1.0636166916, 4.21547237, 76.1784334379869,0.00000000000000000259156663968,0.0000000000000061834780023,UP,salt inducible kinase 1
12139,ENSMUSG00000071637,Cebpd, 1.3828354862, 5.30532572, 70.1680917684210,0.00000000000000005446026736274,0.0000000000001113790267950,UP,CCAAT/enhancer binding protein (C/EBP), delta
3077,ENSMUSG00000023043,Krt18, 2.1211331603, 3.38338666, 68.5220007028653,0.00000000000000012546995597685,0.0000000000002245284862206,UP,keratin 18
1593,ENSMUSG00000019326,Aoc3,-1.0851472602, 4.11145140, 66.4723103082222,0.00000000000000035484332543559,0.0000000000005644374496595,DOWN,amine oxidase, copper containing 3
9817,ENSMUSG00000046275,Trarg1,-1.4231423716, 3.33010949, 63.5238452736397,0.00000000000000158437305231633,0.0000000000022681884616961,DOWN,trafficking regulator of GLUT4 (SLC2A4) 1
11879,ENSMUSG00000067786,Nnat,-1.0543717258, 4.50297589, 60.6156631006257,0.00000000000000693797654398316,0.0000000000090294611094239,DOWN,neuronatin
7230,ENSMUSG00000034361,Cpne2, 1.1192093839, 4.03484714, 50.3510418006943,0.00000000000128561832719244643,0.0000000015337426643405887,UP,copine II
10190,ENSMUSG00000049112,Oxtr,-2.3831773925, 1.13842233, 46.4753461460315,0.00000000000927784547680974870,0.0000000102170489112314125,DOWN,oxytocin receptor
5823,ENSMUSG00000030278,Cidec,-1.1735193130, 5.02401097, 45.7942643792475,0.00000000001313475584591130247,0.0000000125358109793377462,DOWN,cell death-inducing DFFA-like effector c
7699,ENSMUSG00000036390,Gadd45a, 1.1986519850, 4.73411949, 45.9044013341105,0.00000000001241666756866769215,0.0000000125358109793377462,UP,growth arrest and DNA-damage-inducible 45 alpha
521,ENSMUSG00000003948,Mmd,-0.7761213141, 4.48963614, 44.6670358227172,0.00000000002335565681179859814,0.0000000208974739323567965,DOWN,monocyte to macrophage differentiation-associated
3086,ENSMUSG00000023064,Sncg,-0.9928813998, 3.71710613, 43.6688742196073,0.00000000003889082197977953481,0.0000000327506474977955224,DOWN,synuclein, gamma
10222,ENSMUSG00000049382,Krt8, 3.1548295431, 1.05791729, 43.2948696103981,0.00000000004708163659708360851,0.0000000374455949735471642,UP,keratin 8
5230,ENSMUSG00000028834,Trim63, 0.9100308016, 8.79696676, 41.4028281032064,0.00000000012387803973224563825,0.0000000933388429898330891,UP,tripartite motif-containing 63
255,ENSMUSG00000001918,Slc1a5,-0.8751807832, 4.38660038, 41.0399524729393,0.00000000014914894844937334811,0.0000001067608173000614316,DOWN,solute carrier family 1 (neutral amino acid transporter), member 5
11797,ENSMUSG00000066361,Serpina3c,-1.5806660387, 1.70856876, 40.9264719007640,0.00000000015806552899728532319,0.0000001077555291964350676,DOWN,serine (or cysteine) peptidase inhibitor, clade A, member 3C
2265,ENSMUSG00000021136,Smoc1,-1.1339748861, 2.63125843, 40.3799672184487,0.00000000020907386572884239244,0.0000001360500664442776269,DOWN,SPARC related  modular calcium binding 1
12477,ENSMUSG00000076609,Igkc,-1.7064330910, 3.39797903, 40.1176035208272,0.00000000023912439515261764821,0.0000001488393409132554019,DOWN,immunoglobulin kappa constant
10057,ENSMUSG00000048078,Tenm4,-1.5067509456, 1.89122818, 39.1445715312331,0.00000000039355598966113554348,0.0000002347561478328673454,DOWN,teneurin transmembrane protein 4
5485,ENSMUSG00000029368,Alb, 7.2111058859, 5.87910790, 39.0499029544712,0.00000000041310966407398783755,0.0000002365631180353283976,UP,albumin
2908,ENSMUSG00000022665,Ccdc80,-0.7082282265, 4.89822678, 38.9490104883588,0.00000000043502073479559548127,0.0000002395291092051440464,DOWN,coiled-coil domain containing 80
2584,ENSMUSG00000021943,Gdf10,-1.2534163374, 2.26097739, 38.5073389394749,0.00000000054548177488027967818,0.0000002892265588587438241,DOWN,growth differentiation factor 10
10518,ENSMUSG00000051855,Mest,-1.3116916138, 3.74694459, 38.4099888214425,0.00000000057338162618816444461,0.0000002931618343039200751,DOWN,mesoderm specific transcript
414,ENSMUSG00000002997,Prkar2b,-1.2711881884, 3.00659110, 38.3056801014466,0.00000000060486328489684434343,0.0000002985938891925249256,DOWN,protein kinase, cAMP dependent regulatory, type II beta
9707,ENSMUSG00000045312,Lhfpl2,-1.0933368736, 2.70090901, 35.1824873820465,0.00000000300211143770190313445,0.0000014326075780713481433,DOWN,lipoma HMGIC fusion partner-like 2
9134,ENSMUSG00000041737,Tmem45b,-1.1304783898, 2.94126914, 34.5325288643572,0.00000000419187161946725484407,0.0000019358333582030069528,DOWN,transmembrane protein 45b
6462,ENSMUSG00000031880,Rrad, 1.9097963271, 3.03299212, 34.3482021295878,0.00000000460825863962730271996,0.0000020616197089032647186,UP,Ras-related associated with diabetes
7873,ENSMUSG00000037071,Scd1,-1.1331332203, 7.90414466, 33.7797739869563,0.00000000617171979415800776805,0.0000026774042597929103717,DOWN,stearoyl-Coenzyme A desaturase 1
7385,ENSMUSG00000034957,Cebpa,-0.7743568683, 3.91159816, 33.5283266404195,0.00000000702336365731470227756,0.0000029572492387681550451,DOWN,CCAAT/enhancer binding protein (C/EBP), alpha
174,ENSMUSG00000001348,Acp5,-1.3742540493, 1.75317417, 32.6282092370892,0.00000001115834273590568836477,0.0000045101369822541902753,DOWN,acid phosphatase 5, tartrate resistant
10694,ENSMUSG00000053398,Phgdh,-1.1680850175, 2.42996587, 32.5965650950337,0.00000001134150121270961495587,0.0000045101369822541902753,DOWN,3-phosphoglycerate dehydrogenase
11004,ENSMUSG00000056501,Cebpb, 0.6247709836, 6.23783770, 30.9296325302576,0.00000002675552347539662786165,0.0000103522182182102187332,UP,CCAAT/enhancer binding protein (C/EBP), beta
12235,ENSMUSG00000073375,Lrrc30, 0.8260130932, 6.78542349, 29.7479564466605,0.00000004920246856038530793859,0.0000185363826292230547742,UP,leucine rich repeat containing 30
1114,ENSMUSG00000013936,Myl2, 0.7082449715, 7.41678564, 29.6943387781640,0.00000005058232506951954451376,0.0000185676042485959427990,UP,myosin, light polypeptide 2, regulatory, cardiac, slow
4952,ENSMUSG00000028195,Ccn1, 0.9303819802, 5.75700599, 28.7738512323399,0.00000008134196382372646464757,0.0000284022330268406860147,UP,cellular communication network factor 1
7594,ENSMUSG00000035923,Myf6, 0.6053298044, 6.71456044, 28.7800517003376,0.00000008108196180694786925635,0.0000284022330268406860147,UP,myogenic factor 6
10872,ENSMUSG00000055116,Arntl, 1.0381406239, 3.78997167, 28.3822826850601,0.00000009957241932657783867366,0.0000339399703590306711025,UP,aryl hydrocarbon receptor nuclear translocator-like
4197,ENSMUSG00000026418,Tnni1, 0.8673279103, 6.28254508, 28.2124231384774,0.00000010870461565931043432415,0.0000361910529715974042873,UP,troponin I, skeletal, slow 1
3548,ENSMUSG00000024803,Ankrd1, 0.7429928036, 4.20405444, 27.0618666708053,0.00000019704687327483518564893,0.0000641118872227850096230,UP,ankyrin repeat domain 1 (cardiac muscle)
3088,ENSMUSG00000023067,Cdkn1a, 1.5877145817, 5.25373053, 26.8477037050245,0.00000022013575976111988361356,0.0000682687075816902795827,UP,cyclin-dependent kinase inhibitor 1A (P21)
11844,ENSMUSG00000067149,Jchain,-1.4997480244, 1.70412893, 26.8129625800381,0.00000022412889468702452654848,0.0000682687075816902795827,DOWN,immunoglobulin joining chain
12175,ENSMUSG00000072235,Tuba1a,-0.7272411308, 5.07139148, 26.8849490221974,0.00000021593395639904807971300,0.0000682687075816902795827,DOWN,tubulin, alpha 1A
1929,ENSMUSG00000020423,Btg2, 0.7810128427, 4.18700413, 25.7785845502548,0.00000038291365952409768283970,0.0001118733050968771965128,UP,BTG anti-proliferation factor 2
11726,ENSMUSG00000064179,Tnnt1, 0.7408068277, 7.41820294, 25.7962878730613,0.00000037941749645820492256590,0.0001118733050968771965128,UP,troponin T1, skeletal, slow
11028,ENSMUSG00000056749,Nfil3, 1.0210400208, 5.05311685, 25.6863062679587,0.00000040166711078682163143583,0.0001150053271604827606189,UP,nuclear factor, interleukin 3, regulated
3939,ENSMUSG00000025784,Clec3b,-0.7237501246, 4.68463291, 25.5746572719406,0.00000042559250771184275966228,0.0001194663204000537352336,DOWN,C-type lectin domain family 3, member b
3744,ENSMUSG00000025225,Nfkb2, 0.7001534398, 4.39894264, 25.5198578382030,0.00000043785312150657055433928,0.0001205443324516935511836,UP,nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100
12391,ENSMUSG00000074794,Arrdc3, 0.7700600013, 6.19801468, 25.2382496980484,0.00000050667312463463072713150,0.0001368591028730070408449,UP,arrestin domain containing 3
4821,ENSMUSG00000027907,S100a11,-0.8903335944, 3.39571960, 24.6481413108817,0.00000068811088120096810090637,0.0001824258402828344183440,DOWN,S100 calcium binding protein A11
2197,ENSMUSG00000020963,Tshr,-1.5556147586, 0.61392498, 23.7422367798326,0.00000110138730749616475861020,0.0002866811035293653667048,DOWN,thyroid stimulating hormone receptor
2792,ENSMUSG00000022416,Cacna1i, 1.4609541395, 1.23124583, 23.6815900969387,0.00000113664674400769910415660,0.0002905756212002539445871,UP,calcium channel, voltage-dependent, alpha 1I subunit
8719,ENSMUSG00000040016,Ptger3,-1.3858336455, 1.75518065, 23.6037969710396,0.00000118353747279531561387058,0.0002972547800094339927844,DOWN,prostaglandin E receptor 3 (subtype EP3)
3013,ENSMUSG00000022894,Adamts5,-0.6495064761, 4.29124505, 23.0240134152678,0.00000159990473419700201606166,0.0003912195096910585606458,DOWN,a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggre
7320,ENSMUSG00000034709,Ppp1r21, 0.9056773145, 4.74296051, 23.0091540904164,0.00000161231845988910692264306,0.0003912195096910585606458,UP,protein phosphatase 1, regulatory subunit 21
8278,ENSMUSG00000038463,Olfml2b,-1.0465310804, 1.93149104, 22.6143127367226,0.00000198004035557491308270923,0.0004724376288401742449326,DOWN,olfactomedin-like 2B
6333,ENSMUSG00000031613,Hpgd, 1.1970538674, 2.34823932, 22.5674609136244,0.00000202892045085916248906249,0.0004761643471229470348828,UP,hydroxyprostaglandin dehydrogenase 15 (NAD)
